table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 134,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,2098,1007,1091,261,230,362,326,369,329,451,580,582,460,476,190,87,212,173,181,164,113,190,269,272,182,65,1730,,,
Table 134,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,2098,1026,1072,289,249,350,325,361,302,471,570,592,426,510,175,83*,232,171,183,151,100*,197,277,287,179,63*,1760,,,
Table 134,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 11th to 13th September 2020,Washing hands regularly and thoroughly,470,209,261,61,51,67,68,85,75,114,116,127,108,119,36,26,48,27,39,26,34,45,60,57,55,17,383,,,
Table 134,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 11th to 13th September 2020,Limiting your contact with other people (including family and friends),246,124,122,41,34,34,37,42,31,60,73,66,46,62,20,8,36,19,19,18,14,17,41,27,22,5,207,,,
Table 134,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 11th to 13th September 2020,Maintaining social distancing,540,270,269,73,59,84,81,91,81,129,159,131,115,135,45,19,55,47,49,45,20,47,67,85,41,19,456,,,
Table 134,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 11th to 13th September 2020,Wearing a face mask/ covering,426,208,218,51,50,74,71,75,54,101,116,126,80,104,54,17,37,36,35,35,9,45,52,62,32,11,352,,,
Table 134,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 11th to 13th September 2020,Staying at home as much as possible,199,117,82,21,19,36,25,39,36,42,47,64,34,53,9,4,30,22,16,19,7,24,20,31,13,4,179,,,
Table 134,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 11th to 13th September 2020,Work from home (if possible),120,59,61,23,21,24,29,19,16,9,38,50,16,16,8,7,15,10,14,2,6,12,17,16,11,3,104,,,
Table 134,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 11th to 13th September 2020,Not touching your face when outside,97,39,58,19,16,30,13,10,10,15,23,27,26,22,3,3,11,9,12,5,10,6,20,7,5,5,78,,,
Table 134,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 11th to 13th September 2020,None of these,1,-,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,1,,,
