table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 132,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,2098,1007,1091,261,230,362,326,369,329,451,580,582,460,476,190,87,212,173,181,164,113,190,269,272,182,65,1730,,,
Table 132,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,2098,1026,1072,289,249,350,325,361,302,471,570,592,426,510,175,83*,232,171,183,151,100*,197,277,287,179,63*,1760,,,
Table 132,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 11th to 13th September 2020,Washing hands regularly and thoroughly,1402,646,757,165,142,211,213,262,219,331,366,392,311,334,122,65,151,111,122,99,65,127,167,191,139,42,1173,,,
Table 132,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 11th to 13th September 2020,Limiting your contact with other people (including family and friends),808,421,387,99,84,115,116,148,130,201,234,219,154,202,69,31,96,70,71,64,39,68,112,99,63,26,674,,,
Table 132,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 11th to 13th September 2020,Maintaining social distancing,1492,721,771,193,162,238,211,252,226,372,398,407,312,375,121,53,163,111,130,108,78,143,194,202,140,48,1244,,,
Table 132,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 11th to 13th September 2020,Wearing a face mask/ covering,1182,556,626,191,157,196,187,191,150,267,324,345,227,286,110,37,126,97,105,80,32,131,175,161,92,36,1004,,,
Table 132,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 11th to 13th September 2020,Staying at home as much as possible,801,421,380,102,94,139,122,139,120,179,205,220,159,217,60,35,96,71,65,60,42,79,91,130,57,15,684,,,
Table 132,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 11th to 13th September 2020,Work from home (if possible),353,199,154,64,60,79,86,55,43,26,119,124,50,60,25,17,36,31,36,24,20,27,53,42,29,12,296,,,
Table 132,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 11th to 13th September 2020,Not touching your face when outside,251,114,137,54,48,67,39,35,19,37,66,68,60,57,16,12,28,22,21,16,23,17,39,31,17,10,202,,,
Table 132,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 11th to 13th September 2020,None of these,1,-,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,1,,,
Table 135,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 6th to 8th November 2020,Unweighted base,2101,1040,1061,258,227,336,346,377,310,474,646,571,407,477,179,82,217,160,173,169,103,204,295,299,158,62,1757,,,
Table 135,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 6th to 8th November 2020,Weighted base,2101,1027,1074,290,251,351,326,361,303,471,572,592,426,511,175,84*,232,171,183,151,100*,198,277,287,179,63*,1763,,,
