table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 142,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,2098,1007,1091,261,230,362,326,369,329,451,580,582,460,476,190,87,212,173,181,164,113,190,269,272,182,65,1730,,,
Table 142,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,2098,1026,1072,289,249,350,325,361,302,471,570,592,426,510,175,83*,232,171,183,151,100*,197,277,287,179,63*,1760,,,
Table 142,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 11th to 13th September 2020,NET: Important,251,114,137,54,48,67,39,35,19,37,66,68,60,57,16,12,28,22,21,16,23,17,39,31,17,10,202,,,
Table 142,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 11th to 13th September 2020,1st most important,50,26,24,20,17,12,4,8,2,3,22,11,9,8,9,3,8,3,2,2,5,1,7,5,3,2,34,,,
Table 142,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 11th to 13th September 2020,2nd most important,97,39,58,19,16,30,13,10,10,15,23,27,26,22,3,3,11,9,12,5,10,6,20,7,5,5,78,,,
Table 142,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 11th to 13th September 2020,3rd most important,105,50,55,15,15,25,22,17,7,19,21,31,26,27,4,6,9,10,7,9,9,10,12,19,9,2,90,,,
Table 142,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 11th to 13th September 2020,No answer,1847,912,935,235,201,283,285,326,283,434,505,523,366,453,159,72,204,149,162,135,76,180,238,256,162,53,1558,,,
Table 145,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 6th to 8th November 2020,Unweighted base,2101,1040,1061,258,227,336,346,377,310,474,646,571,407,477,179,82,217,160,173,169,103,204,295,299,158,62,1757,,,
Table 145,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 6th to 8th November 2020,Weighted base,2101,1027,1074,290,251,351,326,361,303,471,572,592,426,511,175,84*,232,171,183,151,100*,198,277,287,179,63*,1763,,,
Table 145,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 6th to 8th November 2020,NET: Important,199,92,107,44,39,37,49,19,29,21,44,53,51,51,14,7,24,10,23,15,15,11,36,22,17,4,165,,,
Table 145,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 6th to 8th November 2020,1st most important,51,20,31,12,10,14,9,4,6,5,10,11,13,16,3,2,1,3,6,5,4,3,14,4,6,-,43,,,
Table 145,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 6th to 8th November 2020,2nd most important,65,32,33,10,9,11,20,6,10,8,12,19,18,16,7,3,10,3,4,6,4,4,6,9,5,4,51,,,
Table 145,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 6th to 8th November 2020,3rd most important,82,40,43,22,21,12,19,9,12,8,22,23,19,19,4,2,13,4,12,4,7,4,16,9,6,1,71,,,
Table 145,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 6th to 8th November 2020,No answer,1902,936,967,245,211,314,277,342,274,450,527,540,376,460,161,76,208,161,161,136,85,187,241,265,163,59,1598,,,
Table 153,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 4th to 6th December 2020,Unweighted base,2107,1075,1032,272,241,366,329,356,313,471,582,631,352,542,184,89,205,178,201,148,101,206,293,278,153,71,1751,48,907,741
Table 153,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 4th to 6th December 2020,Weighted base,2107,1030,1077,291,252,352,327,362,303,472,573,594,428,512,176,84*,233,172,184,151,100*,198,278,288,180,63*,1768,55*,906,757
Table 153,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 4th to 6th December 2020,NET: Important,193,106,87,50,44,56,32,20,14,21,54,51,50,38,21,5,19,14,22,11,9,16,39,16,16,4,159,13,72,70
Table 153,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 4th to 6th December 2020,1st most important,49,33,16,12,9,20,7,4,2,4,13,9,15,12,2,3,5,5,8,1,2,6,8,5,4,1,45,4,17,23
Table 153,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 4th to 6th December 2020,2nd most important,69,42,28,15,13,22,10,11,4,7,14,24,16,15,6,-,9,5,7,5,4,5,14,6,7,2,57,6,24,25
Table 153,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 4th to 6th December 2020,3rd most important,74,31,43,23,22,14,15,5,8,10,27,18,19,11,12,2,6,5,7,5,4,5,17,5,5,1,57,3,32,22
Table 153,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 4th to 6th December 2020,No answer,1914,925,990,241,207,296,294,342,290,451,519,544,378,474,155,79,214,158,162,140,91,182,239,272,163,59,1609,42,833,687
Table 157,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 15th to 17th January 2021,Unweighted base,2115,1003,1112,261,228,325,342,367,332,488,584,640,359,532,186,88,220,166,174,162,105,182,296,296,177,63,1761,,,
Table 157,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 15th to 17th January 2021,Weighted base,2115,1034,1081,292,250,353,328,364,305,473,575,597,429,514,176,84*,234,172,185,152,100*,199,279,289,181,63*,1775,,,
Table 157,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 15th to 17th January 2021,NET: Important,135,82,53,23,21,44,27,12,14,14,38,32,37,28,12,2,8,9,22,11,6,6,34,13,10,2,115,,,
Table 157,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 15th to 17th January 2021,1st most important,27,19,8,5,5,9,6,1,1,4,6,7,8,6,3,-,4,-,3,1,-,1,7,4,3,1,23,,,
Table 157,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 15th to 17th January 2021,2nd most important,48,30,19,5,3,15,11,7,4,5,17,6,16,9,1,-,3,3,9,7,5,2,10,5,2,2,40,,,
Table 157,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 15th to 17th January 2021,3rd most important,60,34,26,12,12,20,10,5,8,5,15,19,13,13,7,2,2,6,10,3,1,3,17,3,6,-,52,,,
Table 157,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 15th to 17th January 2021,No answer,1980,952,1028,269,229,309,301,351,291,459,537,564,392,486,165,82,226,164,163,141,95,193,245,276,170,61,1660,,,
Table 139,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 7th to 9th August 2020,Unweighted base,2120,1031,1089,252,219,339,351,389,311,478,605,573,429,513,,,,,,,,,,,,,,,,
Table 139,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 7th to 9th August 2020,Weighted base,2120,1037,1083,292,251,354,328,365,305,475,577,598,430,515,,,,,,,,,,,,,,,,
Table 139,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 7th to 9th August 2020,NET: Important,249,123,126,48,43,53,46,38,28,35,61,67,61,60,,,,,,,,,,,,,,,,
Table 139,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 7th to 9th August 2020,1st most important,53,26,27,13,12,13,9,7,6,6,10,14,18,11,,,,,,,,,,,,,,,,
Table 139,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 7th to 9th August 2020,2nd most important,92,43,49,16,16,24,18,9,10,14,22,26,18,26,,,,,,,,,,,,,,,,
Table 139,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 7th to 9th August 2020,3rd most important,104,54,50,19,15,16,19,23,12,15,29,27,25,22,,,,,,,,,,,,,,,,
Table 139,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Not touching your face when outside,ONLINE Fieldwork: 7th to 9th August 2020,No answer,1871,914,958,244,208,301,283,327,277,440,516,531,369,456,,,,,,,,,,,,,,,,
