table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 140,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,2098,1007,1091,261,230,362,326,369,329,451,580,582,460,476,190,87,212,173,181,164,113,190,269,272,182,65,1730,,,
Table 140,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,2098,1026,1072,289,249,350,325,361,302,471,570,592,426,510,175,83*,232,171,183,151,100*,197,277,287,179,63*,1760,,,
Table 140,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 11th to 13th September 2020,NET: Important,801,421,380,102,94,139,122,139,120,179,205,220,159,217,60,35,96,71,65,60,42,79,91,130,57,15,684,,,
Table 140,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 11th to 13th September 2020,1st most important,430,206,225,59,59,72,66,67,64,103,104,121,91,114,43,24,45,34,39,29,20,42,50,66,34,6,362,,,
Table 140,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 11th to 13th September 2020,2nd most important,199,117,82,21,19,36,25,39,36,42,47,64,34,53,9,4,30,22,16,19,7,24,20,31,13,4,179,,,
Table 140,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 11th to 13th September 2020,3rd most important,171,98,73,21,17,31,31,34,20,34,54,34,33,50,9,8,20,15,10,12,14,13,22,34,10,5,143,,,
Table 140,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 11th to 13th September 2020,No answer,1297,605,693,187,155,211,203,221,182,292,366,372,267,293,115,48,136,100,119,90,58,118,186,157,122,48,1076,,,
Table 143,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 6th to 8th November 2020,Unweighted base,2101,1040,1061,258,227,336,346,377,310,474,646,571,407,477,179,82,217,160,173,169,103,204,295,299,158,62,1757,,,
Table 143,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 6th to 8th November 2020,Weighted base,2101,1027,1074,290,251,351,326,361,303,471,572,592,426,511,175,84*,232,171,183,151,100*,198,277,287,179,63*,1763,,,
Table 143,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 6th to 8th November 2020,NET: Important,1125,564,561,132,112,192,155,193,156,298,304,311,237,273,85,41,138,101,107,82,47,112,138,155,87,31,962,,,
Table 143,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 6th to 8th November 2020,1st most important,605,289,316,71,58,96,72,96,84,186,149,175,115,166,42,26,74,66,57,42,28,71,67,76,43,13,521,,,
Table 143,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 6th to 8th November 2020,2nd most important,270,145,124,32,27,54,47,52,32,54,81,75,67,47,17,3,40,17,26,26,10,20,38,41,24,8,235,,,
Table 143,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 6th to 8th November 2020,3rd most important,250,130,120,29,27,42,36,44,40,58,75,61,55,59,25,12,24,18,24,14,9,21,34,38,20,10,205,,,
Table 143,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 6th to 8th November 2020,No answer,976,463,513,158,139,159,170,169,147,173,267,282,189,238,91,43,95,70,76,69,53,85,139,132,92,32,801,,,
Table 151,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 4th to 6th December 2020,Unweighted base,2107,1075,1032,272,241,366,329,356,313,471,582,631,352,542,184,89,205,178,201,148,101,206,293,278,153,71,1751,48,907,741
Table 151,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 4th to 6th December 2020,Weighted base,2107,1030,1077,291,252,352,327,362,303,472,573,594,428,512,176,84*,233,172,184,151,100*,198,278,288,180,63*,1768,55*,906,757
Table 151,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 4th to 6th December 2020,NET: Important,1074,512,561,135,117,172,160,178,164,264,303,301,194,276,88,39,128,92,99,77,49,103,139,138,86,35,902,23,450,404
Table 151,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 4th to 6th December 2020,1st most important,582,271,311,57,49,87,79,102,101,157,181,146,96,158,50,23,77,58,48,45,26,55,77,63,44,17,490,16,240,222
Table 151,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 4th to 6th December 2020,2nd most important,263,124,138,43,38,43,43,46,35,53,66,86,55,56,25,9,25,21,29,21,8,27,28,42,23,6,225,5,110,103
Table 151,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 4th to 6th December 2020,3rd most important,229,117,112,36,29,42,38,31,28,54,56,68,42,62,14,7,26,14,23,10,16,22,34,33,20,11,188,3,100,79
Table 151,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 4th to 6th December 2020,No answer,1033,518,515,156,135,180,167,184,139,208,270,293,234,236,88,45,105,79,85,74,51,95,139,150,93,29,866,32,456,353
Table 155,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 15th to 17th January 2021,Unweighted base,2115,1003,1112,261,228,325,342,367,332,488,584,640,359,532,186,88,220,166,174,162,105,182,296,296,177,63,1761,,,
Table 155,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 15th to 17th January 2021,Weighted base,2115,1034,1081,292,250,353,328,364,305,473,575,597,429,514,176,84*,234,172,185,152,100*,199,279,289,181,63*,1775,,,
Table 155,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 15th to 17th January 2021,NET: Important,1537,707,830,203,171,223,207,268,232,404,410,440,292,395,128,54,167,128,134,114,80,153,178,229,131,40,1289,,,
Table 155,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 15th to 17th January 2021,1st most important,984,446,538,126,99,126,121,180,151,281,265,290,185,245,76,33,102,71,83,82,55,109,110,150,85,28,825,,,
Table 155,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 15th to 17th January 2021,2nd most important,336,161,175,41,37,52,49,54,53,88,87,96,62,91,37,11,38,38,30,18,11,22,37,55,31,9,279,,,
Table 155,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 15th to 17th January 2021,3rd most important,217,100,117,36,35,45,38,35,28,35,58,53,45,60,15,10,28,19,21,14,14,21,31,24,15,4,184,,,
Table 155,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 15th to 17th January 2021,No answer,578,328,250,89,79,131,121,95,73,69,165,157,138,118,48,30,67,45,50,38,21,46,101,60,50,23,486,,,
Table 137,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 7th to 9th August 2020,Unweighted base,2120,1031,1089,252,219,339,351,389,311,478,605,573,429,513,,,,,,,,,,,,,,,,
Table 137,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 7th to 9th August 2020,Weighted base,2120,1037,1083,292,251,354,328,365,305,475,577,598,430,515,,,,,,,,,,,,,,,,
Table 137,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 7th to 9th August 2020,NET: Important,881,457,423,121,104,132,135,147,130,217,233,241,186,221,,,,,,,,,,,,,,,,
Table 137,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 7th to 9th August 2020,1st most important,429,222,207,65,57,63,62,64,59,116,116,119,79,115,,,,,,,,,,,,,,,,
Table 137,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 7th to 9th August 2020,2nd most important,215,125,89,32,28,30,28,38,37,50,59,59,43,53,,,,,,,,,,,,,,,,
Table 137,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 7th to 9th August 2020,3rd most important,237,111,127,24,20,39,45,45,34,51,58,62,64,53,,,,,,,,,,,,,,,,
Table 137,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 7th to 9th August 2020,No answer,1239,579,660,171,147,222,194,218,176,259,344,357,244,294,,,,,,,,,,,,,,,,
Table 140,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 9th to 11th October 2020,Unweighted base,2189,1062,1127,268,237,337,362,371,330,521,627,625,385,552,196,87,242,172,200,169,101,199,293,277,187,66,1826,,,
Table 140,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Staying at home as much as possible,ONLINE Fieldwork: 9th to 11th October 2020,Weighted base,2189,1070,1119,302,261,365,339,376,315,491,595,617,444,532,183,87*,242,178,191,157,104*,206,289,299,187,66*,1837,,,
