table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 139,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,2098,1007,1091,261,230,362,326,369,329,451,580,582,460,476,190,87,212,173,181,164,113,190,269,272,182,65,1730,,,
Table 139,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,2098,1026,1072,289,249,350,325,361,302,471,570,592,426,510,175,83*,232,171,183,151,100*,197,277,287,179,63*,1760,,,
Table 139,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 11th to 13th September 2020,NET: Important,1182,556,626,191,157,196,187,191,150,267,324,345,227,286,110,37,126,97,105,80,32,131,175,161,92,36,1004,,,
Table 139,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 11th to 13th September 2020,1st most important,292,131,161,77,53,59,36,43,27,50,83,64,68,78,23,8,28,26,25,12,8,36,66,36,18,7,255,,,
Table 139,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 11th to 13th September 2020,2nd most important,426,208,218,51,50,74,71,75,54,101,116,126,80,104,54,17,37,36,35,35,9,45,52,62,32,11,352,,,
Table 139,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 11th to 13th September 2020,3rd most important,464,217,247,63,54,63,79,73,69,116,126,155,79,104,34,12,61,35,45,33,15,50,56,63,41,18,397,,,
Table 139,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 11th to 13th September 2020,No answer,916,470,446,98,92,154,138,169,153,204,246,247,199,224,65,47,106,74,78,70,68,66,102,126,87,27,757,,,
Table 142,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 6th to 8th November 2020,Unweighted base,2101,1040,1061,258,227,336,346,377,310,474,646,571,407,477,179,82,217,160,173,169,103,204,295,299,158,62,1757,,,
Table 142,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 6th to 8th November 2020,Weighted base,2101,1027,1074,290,251,351,326,361,303,471,572,592,426,511,175,84*,232,171,183,151,100*,198,277,287,179,63*,1763,,,
Table 142,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 6th to 8th November 2020,NET: Important,1135,519,616,182,151,184,168,189,159,252,294,322,213,306,103,46,108,84,109,69,56,121,154,162,97,26,950,,,
Table 142,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 6th to 8th November 2020,1st most important,290,136,154,58,49,45,43,52,34,59,65,83,59,83,27,10,28,20,28,22,7,26,50,36,20,17,239,,,
Table 142,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 6th to 8th November 2020,2nd most important,396,179,217,65,60,62,63,60,59,87,101,102,77,116,37,24,30,31,40,20,22,36,59,56,38,4,333,,,
Table 142,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 6th to 8th November 2020,3rd most important,449,203,245,59,42,78,62,77,67,105,129,137,76,107,39,12,51,34,42,27,26,58,45,70,39,5,378,,,
Table 142,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 6th to 8th November 2020,No answer,966,509,458,107,99,166,158,172,143,219,277,270,214,205,72,38,124,87,74,81,44,77,123,126,82,37,813,,,
Table 150,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 4th to 6th December 2020,Unweighted base,2107,1075,1032,272,241,366,329,356,313,471,582,631,352,542,184,89,205,178,201,148,101,206,293,278,153,71,1751,48,907,741
Table 150,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 4th to 6th December 2020,Weighted base,2107,1030,1077,291,252,352,327,362,303,472,573,594,428,512,176,84*,233,172,184,151,100*,198,278,288,180,63*,1768,55*,906,757
Table 150,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 4th to 6th December 2020,NET: Important,1141,544,597,182,148,185,174,201,140,259,275,317,250,299,98,46,113,82,89,89,57,105,156,163,113,30,956,35,508,383
Table 150,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 4th to 6th December 2020,1st most important,322,153,169,82,65,53,47,54,29,57,82,86,67,87,25,11,34,20,24,18,16,34,46,54,33,7,275,10,147,110
Table 150,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 4th to 6th December 2020,2nd most important,389,194,195,47,39,78,67,65,49,85,89,103,95,102,39,16,43,27,29,32,20,32,56,52,31,12,319,7,176,131
Table 150,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 4th to 6th December 2020,3rd most important,429,197,232,53,43,54,60,83,62,117,103,128,88,109,35,19,35,35,36,39,21,39,53,57,50,11,362,18,186,143
Table 150,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 4th to 6th December 2020,No answer,966,487,480,109,104,167,153,161,163,213,298,277,178,213,77,38,120,90,95,62,43,93,122,125,67,33,812,20,397,373
Table 154,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 15th to 17th January 2021,Unweighted base,2115,1003,1112,261,228,325,342,367,332,488,584,640,359,532,186,88,220,166,174,162,105,182,296,296,177,63,1761,,,
Table 154,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 15th to 17th January 2021,Weighted base,2115,1034,1081,292,250,353,328,364,305,473,575,597,429,514,176,84*,234,172,185,152,100*,199,279,289,181,63*,1775,,,
Table 154,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Wearing a face mask/covering,ONLINE Fieldwork: 15th to 17th January 2021,NET: Important,1126,552,574,171,143,211,156,173,157,258,294,324,232,276,98,42,124,84,92,80,49,106,159,163,99,30,948,,,
