table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s)
Table 114,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 29th to 31st May 2020,Unweighted base,2119,1016,1103,261,229,328,340,383,329,478,554,596,460,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 114,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 29th to 31st May 2020,Weighted base,2119,1036,1083,292,253,354,328,364,305,475,576,597,430,515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 114,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 29th to 31st May 2020,Washing hands regularly and thoroughly,427,185,242,49,43,62,60,87,63,106,108,120,89,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 114,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 29th to 31st May 2020,Limiting your contact with other people (including family and friends),425,220,205,58,51,67,68,80,53,99,131,117,76,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 114,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 29th to 31st May 2020,Maintaining social distancing (staying 2 metres apart from people) when outside,571,267,304,82,69,92,78,82,100,138,146,179,115,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 114,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 29th to 31st May 2020,Wearing a face mask/ covering,103,50,54,20,19,23,20,9,7,25,28,28,23,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 114,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 29th to 31st May 2020,Staying at home as much as possible,324,174,150,44,37,56,50,62,47,65,93,69,73,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 114,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 29th to 31st May 2020,Work from home (if possible),152,82,70,22,20,37,26,27,19,22,33,51,29,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 114,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 29th to 31st May 2020,Not touching your face when outside,115,59,57,18,14,18,27,15,17,21,37,32,25,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 114,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 29th to 31st May 2020,None of these,*,-,*,-,-,-,*,-,-,-,-,*,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
