table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s)
Table 111,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 29th to 31st May 2020,Unweighted base,2119,1016,1103,261,229,328,340,383,329,478,554,596,460,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 111,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 29th to 31st May 2020,Weighted base,2119,1036,1083,292,253,354,328,364,305,475,576,597,430,515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 111,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 29th to 31st May 2020,Washing hands regularly and thoroughly,1421,654,767,162,143,211,224,273,204,347,376,389,299,357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 111,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 29th to 31st May 2020,Limiting your contact with other people (including family and friends),1040,533,507,135,111,172,155,183,154,242,297,301,190,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 111,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 29th to 31st May 2020,Maintaining social distancing (staying 2 metres apart from people) when outside,1452,703,750,207,176,223,212,227,222,362,397,414,294,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 111,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 29th to 31st May 2020,Wearing a face mask/ covering,216,111,105,49,47,54,35,25,20,33,60,67,39,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 111,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 29th to 31st May 2020,Staying at home as much as possible,1483,714,770,213,177,221,216,264,223,346,396,403,306,379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 111,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 29th to 31st May 2020,Work from home (if possible),472,255,217,74,71,117,85,82,60,54,127,148,95,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 111,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 29th to 31st May 2020,Not touching your face when outside,271,139,131,37,33,62,57,38,33,44,75,68,67,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 111,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - NET: Important,ONLINE Fieldwork: 29th to 31st May 2020,None of these,*,-,*,-,-,-,*,-,-,-,-,*,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
