table,question,date,response,NET: Important,1st most important,2nd most important,3rd most important,No answer
Table 110,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - Summary,ONLINE Fieldwork: 29th to 31st May 2020,Unweighted base,2119,2119,2119,2119,2119
Table 110,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - Summary,ONLINE Fieldwork: 29th to 31st May 2020,Weighted base,2119,2119,2119,2119,2119
Table 110,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - Summary,ONLINE Fieldwork: 29th to 31st May 2020,Washing hands regularly and thoroughly,1421,488,506,427,698
Table 110,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - Summary,ONLINE Fieldwork: 29th to 31st May 2020,Limiting your contact with other people (including family and friends),1040,262,353,425,1079
Table 110,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - Summary,ONLINE Fieldwork: 29th to 31st May 2020,Maintaining social distancing (staying 2 metres apart from people) when outside,1452,322,559,571,667
Table 110,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - Summary,ONLINE Fieldwork: 29th to 31st May 2020,Wearing a face mask/ covering,216,50,63,103,1903
Table 110,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - Summary,ONLINE Fieldwork: 29th to 31st May 2020,Staying at home as much as possible,1483,828,331,324,636
Table 110,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - Summary,ONLINE Fieldwork: 29th to 31st May 2020,Work from home (if possible),472,132,188,152,1647
Table 110,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - Summary,ONLINE Fieldwork: 29th to 31st May 2020,Not touching your face when outside,271,37,118,115,1848
Table 328,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - Summary,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2093,2093,2093,2093,2093
Table 328,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - Summary,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2093,2093,2093,2093,2093
Table 328,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - Summary,ONLINE Fieldwork: 22nd to 24th May 2020,Washing hands regularly and thoroughly,1316,393,502,421,777
Table 328,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - Summary,ONLINE Fieldwork: 22nd to 24th May 2020,Limiting your contact with other people (including family and friends),1083,256,419,408,1010
Table 328,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - Summary,ONLINE Fieldwork: 22nd to 24th May 2020,Maintaining social distancing (staying 2 metres apart from people) when outside,1418,311,501,605,675
Table 328,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - Summary,ONLINE Fieldwork: 22nd to 24th May 2020,Wearing a face mask/ covering,204,51,69,84,1889
Table 328,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - Summary,ONLINE Fieldwork: 22nd to 24th May 2020,Staying at home as much as possible,1543,906,344,293,550
Table 328,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - Summary,ONLINE Fieldwork: 22nd to 24th May 2020,Work from home (if possible),482,131,181,170,1611
Table 328,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - Summary,ONLINE Fieldwork: 22nd to 24th May 2020,Not touching your face when outside,230,44,76,110,1863
Table 110,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - Summary,ONLINE Fieldwork: 5th to 7th June 2020,Unweighted base,2126,2126,2126,2126,2126
Table 110,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - Summary,ONLINE Fieldwork: 5th to 7th June 2020,Weighted base,2126,2126,2126,2126,2126
Table 110,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - Summary,ONLINE Fieldwork: 5th to 7th June 2020,Washing hands regularly and thoroughly,1388,437,479,472,738
Table 110,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - Summary,ONLINE Fieldwork: 5th to 7th June 2020,Limiting your contact with other people (including family and friends),1042,246,403,392,1084
Table 110,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - Summary,ONLINE Fieldwork: 5th to 7th June 2020,Maintaining social distancing (staying 2 metres apart from people) when outside,1477,358,552,567,649
Table 110,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - Summary,ONLINE Fieldwork: 5th to 7th June 2020,Wearing a face mask/ covering,292,79,84,129,1834
Table 110,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - Summary,ONLINE Fieldwork: 5th to 7th June 2020,Staying at home as much as possible,1467,820,334,312,659
Table 110,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - Summary,ONLINE Fieldwork: 5th to 7th June 2020,Work from home (if possible),459,136,178,146,1667
Table 110,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - Summary,ONLINE Fieldwork: 5th to 7th June 2020,Not touching your face when outside,254,51,96,108,1872
Table 110,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - Summary,ONLINE Fieldwork: 12th to 15th June 2020,Unweighted base,2115,2115,2115,2115,2115
Table 110,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - Summary,ONLINE Fieldwork: 12th to 15th June 2020,Weighted base,2115,2115,2115,2115,2115
Table 110,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - Summary,ONLINE Fieldwork: 12th to 15th June 2020,Washing hands regularly and thoroughly,1442,516,509,417,673
Table 110,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - Summary,ONLINE Fieldwork: 12th to 15th June 2020,Limiting your contact with other people (including family and friends),1022,250,377,395,1093
Table 110,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - Summary,ONLINE Fieldwork: 12th to 15th June 2020,Maintaining social distancing (staying 2 metres apart from people) when outside,1446,327,552,568,669
Table 110,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - Summary,ONLINE Fieldwork: 12th to 15th June 2020,Wearing a face mask/ covering,365,72,112,181,1750
Table 110,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - Summary,ONLINE Fieldwork: 12th to 15th June 2020,Staying at home as much as possible,1368,781,309,279,747
Table 110,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - Summary,ONLINE Fieldwork: 12th to 15th June 2020,Work from home (if possible),416,112,148,155,1699
Table 110,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - Summary,ONLINE Fieldwork: 12th to 15th June 2020,Not touching your face when outside,281,55,106,120,1834
Table 120,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - Summary,ONLINE Fieldwork: 19th to 21st June 2020,Unweighted base,2164,2164,2164,2164,2164
Table 120,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - Summary,ONLINE Fieldwork: 19th to 21st June 2020,Weighted base,2164,2164,2164,2164,2164
Table 120,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - Summary,ONLINE Fieldwork: 19th to 21st June 2020,Washing hands regularly and thoroughly,1498,567,510,420,666
Table 120,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - Summary,ONLINE Fieldwork: 19th to 21st June 2020,Limiting your contact with other people (including family and friends),1030,231,356,444,1134
Table 120,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - Summary,ONLINE Fieldwork: 19th to 21st June 2020,Maintaining social distancing (staying 2 metres apart from people) when outside,1406,336,528,542,758
Table 120,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - Summary,ONLINE Fieldwork: 19th to 21st June 2020,Wearing a face mask/ covering,397,83,119,194,1767
Table 120,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - Summary,ONLINE Fieldwork: 19th to 21st June 2020,Staying at home as much as possible,1344,726,344,273,820
Table 120,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - Summary,ONLINE Fieldwork: 19th to 21st June 2020,Work from home (if possible),501,151,175,176,1663
Table 120,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - Summary,ONLINE Fieldwork: 19th to 21st June 2020,Not touching your face when outside,311,68,130,113,1853
