table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s)
Table 115,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Washing hands regularly and thoroughly,ONLINE Fieldwork: 29th to 31st May 2020,Unweighted base,2119,1016,1103,261,229,328,340,383,329,478,554,596,460,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 115,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Washing hands regularly and thoroughly,ONLINE Fieldwork: 29th to 31st May 2020,Weighted base,2119,1036,1083,292,253,354,328,364,305,475,576,597,430,515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 115,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Washing hands regularly and thoroughly,ONLINE Fieldwork: 29th to 31st May 2020,NET: Important,1421,654,767,162,143,211,224,273,204,347,376,389,299,357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 115,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Washing hands regularly and thoroughly,ONLINE Fieldwork: 29th to 31st May 2020,1st most important,488,231,257,50,46,82,87,104,68,96,136,141,95,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 115,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Washing hands regularly and thoroughly,ONLINE Fieldwork: 29th to 31st May 2020,2nd most important,506,238,268,63,53,67,77,81,73,144,133,128,115,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 115,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Washing hands regularly and thoroughly,ONLINE Fieldwork: 29th to 31st May 2020,3rd most important,427,185,242,49,43,62,60,87,63,106,108,120,89,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 115,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Washing hands regularly and thoroughly,ONLINE Fieldwork: 29th to 31st May 2020,No answer,698,382,316,130,110,142,104,91,101,129,200,209,131,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 341,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Washing hands regularly and thoroughly,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2093,1038,1055,264,232,340,332,333,308,516,585,546,430,532,195,78,247,150,170,165,105,217,289,243,173,61,341,911,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 341,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Washing hands regularly and thoroughly,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2093,1023,1070,289,247,349,324,360,301,469,569,590,425,509,175,83*,231,171,183,150,99*,197,276,286,179,63*,330,849,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 341,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Washing hands regularly and thoroughly,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Important,1316,616,700,149,128,211,209,243,190,314,363,349,280,324,116,52,141,105,112,92,56,122,159,209,107,45,214,519,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 341,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Washing hands regularly and thoroughly,ONLINE Fieldwork: 22nd to 24th May 2020,1st most important,393,181,212,29,25,71,64,85,60,84,95,117,89,92,37,18,45,23,41,23,15,37,59,51,30,13,77,171,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 341,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Washing hands regularly and thoroughly,ONLINE Fieldwork: 22nd to 24th May 2020,2nd most important,502,234,268,61,53,78,70,90,76,129,145,125,109,124,39,15,47,49,38,44,21,52,54,90,40,15,65,191,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 341,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Washing hands regularly and thoroughly,ONLINE Fieldwork: 22nd to 24th May 2020,3rd most important,421,202,220,59,50,63,75,68,55,101,123,108,83,108,40,19,49,33,33,26,20,33,46,67,37,17,72,157,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 341,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus? Washing hands regularly and thoroughly,ONLINE Fieldwork: 22nd to 24th May 2020,No answer,777,407,370,140,119,138,115,117,111,155,207,241,145,185,59,31,90,65,71,58,44,75,117,77,71,18,116,329,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
