table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 1,Q1. Device usage to connect to internet,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,2127,1021,1106,267,236,343,347,383,319,468,606,513,453,555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 1,Q1. Device usage to connect to internet,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,2127,1040,1087,294,258,355,329,366,306,477,578,600,432,517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 1,Q1. Device usage to connect to internet,ONLINE Fieldwork: 9th to 13th April 2020,NET: Used device to connect to internet,2116,1032,1084,292,256,351,326,363,306,477,574,599,430,514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 1,Q1. Device usage to connect to internet,ONLINE Fieldwork: 9th to 13th April 2020,Smartphone,1693,844,848,267,234,327,299,297,226,276,486,479,347,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 1,Q1. Device usage to connect to internet,ONLINE Fieldwork: 9th to 13th April 2020,Laptop,1386,691,695,222,196,245,224,242,190,263,422,395,268,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 1,Q1. Device usage to connect to internet,ONLINE Fieldwork: 9th to 13th April 2020,Tablet computer (e.g. iPad),1015,483,532,102,83,169,172,175,144,252,289,275,213,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 1,Q1. Device usage to connect to internet,ONLINE Fieldwork: 9th to 13th April 2020,TV set,923,467,457,129,106,176,160,159,120,179,256,256,214,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 1,Q1. Device usage to connect to internet,ONLINE Fieldwork: 9th to 13th April 2020,Desktop PC,701,430,272,86,80,85,92,121,105,212,211,202,135,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 1,Q1. Device usage to connect to internet,ONLINE Fieldwork: 9th to 13th April 2020,Games console,403,246,157,111,95,108,94,67,14,9,115,108,83,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 1,Q1. Device usage to connect to internet,ONLINE Fieldwork: 9th to 13th April 2020,"Smart speaker (e.g. Amazon Echo, Google Home)",400,217,183,51,46,99,81,75,41,54,135,102,92,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
