table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 9,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,63,27,36,42,34,15,3,2,-,1,26,19,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 9,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,72*,31**,41*,50*,39*,16**,3**,2**,-**,1**,27**,26**,8**,11**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 9,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 9th to 13th April 2020,"Directly from official sources such as NHS, Government etc",27,11,16,20,13,5,1,1,-,-,9,10,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 9,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 9th to 13th April 2020,"Directly from traditional TV or press news sources such as the BBC, Telegraph, The Daily Mail, etc",26,11,15,19,15,5,3,-,-,-,11,10,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 9,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 9th to 13th April 2020,"Directly from online news providers like Buzzfeed, Huffington Post, Vice, etc.",25,10,15,19,14,3,1,1,-,1,13,8,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 9,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 9th to 13th April 2020,Opinions from a person you know,22,8,14,17,14,4,-,1,-,-,7,6,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 9,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 9th to 13th April 2020,Facts forwarded/ posted/ shared from a person you know,15,6,9,11,7,2,1,-,-,-,3,7,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 9,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 9th to 13th April 2020,Opinions from a person you don't know,11,5,6,8,7,2,-,-,-,1,3,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 9,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 9th to 13th April 2020,Facts forwarded/ posted/ shared from a person you don't know,6,3,4,6,4,1,-,-,-,-,1,3,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 9,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 9th to 13th April 2020,"Directly from 'Nonmainstream' news sources such as Russia Today, Breitbart, Swawkbox etc",6,3,3,2,2,3,2,-,-,-,5,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 9,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 9th to 13th April 2020,I don't notice where the information is coming from,4,2,2,3,3,1,-,-,-,-,2,1,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 10,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,43,22,21,28,23,7,6,1,1,-,13,14,6,10,4,1,6,2,7,3,2,1,7,7,2,1,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 10,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,49*,23**,26**,35**,29**,6**,6**,1**,1**,-**,17**,15**,6**,10**,5**,2**,6**,2**,8**,3**,2**,1**,7**,7**,4**,1**,41**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 10,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 11th to 13th September 2020,"Directly from traditional TV or press news sources such as the BBC, Telegraph, The Daily Mail, etc",18,7,11,11,7,3,4,-,-,-,6,6,2,5,2,-,2,1,4,2,1,-,1,5,1,-,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 10,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 11th to 13th September 2020,Opinions from a person you know,15,12,3,12,11,1,-,1,1,-,5,6,2,2,4,-,1,1,3,-,-,-,3,2,-,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 10,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 11th to 13th September 2020,"Directly from official sources such as NHS, Government etc",12,6,7,8,5,1,2,1,-,-,4,5,2,2,-,-,1,2,4,-,-,-,-,1,4,-,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 10,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 11th to 13th September 2020,"Directly from online news providers like Buzzfeed, Huffington Post, Vice, etc.",12,6,6,9,9,1,2,-,-,-,5,2,2,3,1,-,*,-,4,1,1,-,2,3,-,-,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 10,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 11th to 13th September 2020,Opinions from a person you don't know,11,4,7,5,5,3,4,-,-,-,6,2,1,1,-,-,3,1,3,-,-,-,1,-,3,-,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 10,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 11th to 13th September 2020,Facts forwarded/ posted/ shared from a person you know,10,7,3,5,4,3,2,1,-,-,4,3,*,3,1,-,4,1,1,-,1,-,1,1,-,-,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 10,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 11th to 13th September 2020,Facts forwarded/ posted/ shared from a person you don't know,4,3,1,1,1,3,-,-,-,-,1,1,*,1,-,-,1,1,-,-,-,-,1,-,-,-,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 10,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 11th to 13th September 2020,"Directly from 'Nonmainstream' news sources such as Russia Today, Breitbart, Swawkbox etc",2,2,-,1,1,-,1,-,-,-,1,-,-,1,-,-,-,-,1,-,1,-,-,*,-,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 10,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,49*,23**,26**,35**,29**,6**,6**,1**,1**,-**,17**,15**,6**,10**,5**,2**,6**,2**,8**,3**,2**,1**,7**,7**,4**,1**,41**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 10,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 11th to 13th September 2020,I don't notice where the information is coming from,5,2,3,4,3,1,-,-,-,-,-,3,-,2,-,2,-,-,-,2,-,1,1,-,-,-,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 9,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 17th to 19th April 2020,Unweighted base,49,15,34,35,26,8,4,2,-,-,19,15,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 9,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 17th to 19th April 2020,Weighted base,54*,16**,39**,40**,31**,7**,6**,1**,-**,-**,20**,17**,5**,12**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 9,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 17th to 19th April 2020,"Directly from traditional TV or press news sources such as the BBC, Telegraph, The Daily Mail, etc",27,11,16,18,15,3,6,1,-,-,12,8,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 9,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 17th to 19th April 2020,Opinions from a person you know,17,3,14,14,10,1,2,1,-,-,9,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 9,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 17th to 19th April 2020,"Directly from online news providers like Buzzfeed, Huffington Post, Vice, etc.",17,4,13,14,10,2,*,-,-,-,6,5,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 9,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 17th to 19th April 2020,Facts forwarded/ posted/ shared from a person you know,15,2,14,11,8,2,2,1,-,-,4,6,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 9,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 17th to 19th April 2020,"Directly from official sources such as NHS, Government etc",12,4,8,9,3,3,-,1,-,-,4,5,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 9,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 17th to 19th April 2020,"Directly from 'Nonmainstream' news sources such as Russia Today, Breitbart, Swawkbox etc",9,4,5,2,2,2,5,-,-,-,4,5,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 9,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 17th to 19th April 2020,Facts forwarded/ posted/ shared from a person you don't know,8,1,8,5,3,1,2,1,-,-,1,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 9,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 17th to 19th April 2020,Opinions from a person you don't know,8,1,7,7,6,1,*,1,-,-,4,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 9,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 17th to 19th April 2020,I don't notice where the information is coming from,5,*,4,5,5,-,-,-,-,-,1,*,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 9,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 15th to 17th May 2020,Unweighted base,45,17,28,31,26,8,3,1,2,-,22,10,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 9,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 15th to 17th May 2020,Weighted base,52*,17**,35**,37**,30**,8**,2**,2**,3**,-**,25**,14**,6**,6**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 9,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 15th to 17th May 2020,Opinions from a person you know,20,9,11,15,10,3,1,-,1,-,11,5,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 9,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 15th to 17th May 2020,"Directly from traditional TV or press news sources such as the BBC, Telegraph, The Daily Mail, etc",20,5,14,16,14,2,1,-,-,-,12,7,1,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 9,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 15th to 17th May 2020,"Directly from online news providers like Buzzfeed, Huffington Post, Vice, etc.",19,3,15,14,13,-,1,2,2,-,6,8,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 9,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 15th to 17th May 2020,"Directly from official sources such as NHS, Government etc",15,3,12,11,11,-,1,2,2,-,7,5,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 9,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 15th to 17th May 2020,Facts forwarded/ posted/ shared from a person you know,12,3,9,6,5,2,1,-,3,-,8,2,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 9,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 15th to 17th May 2020,Opinions from a person you don't know,11,8,2,6,4,2,1,2,1,-,4,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 9,Q4a. Types of news/information seen on social media and search engines in last week: Snapchat,ONLINE Fieldwork: 15th to 17th May 2020,"Directly from 'Nonmainstream' news sources such as Russia Today, Breitbart, Swawkbox etc",8,6,2,3,3,2,1,2,-,-,5,-,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
