table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,855,396,459,141,130,197,163,137,109,108,246,244,167,198,79,37,95,69,74,71,53,64,111,101,70,31,692,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,857,402,455,158,144,189,160,136,100*,114*,242,244,157,214,73*,35*,105*,72*,76*,68*,48*,66*,110*,102*,69*,32**,703,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 11th to 13th September 2020,NET: Each time / most times / sometimes,416,216,200,91,85,113,88,52,37,34,113,119,89,95,31,17,50,33,47,30,29,29,63,45,25,16,339,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 11th to 13th September 2020,Each time I go onto social media,45,29,16,5,5,14,12,7,2,5,11,11,8,15,2,1,4,2,7,4,3,2,6,7,4,2,39,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 11th to 13th September 2020,Most times,113,55,58,39,36,27,24,10,7,5,31,38,29,16,5,6,11,8,16,7,10,11,18,10,8,2,96,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 11th to 13th September 2020,Sometimes,257,131,126,47,44,72,52,34,28,23,71,70,52,64,24,9,35,23,24,18,16,15,39,28,13,12,204,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 11th to 13th September 2020,Rarely,262,114,147,37,30,44,49,53,38,42,75,75,41,71,22,11,33,28,16,25,13,23,26,28,29,8,219,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 11th to 13th September 2020,Never,179,71,108,30,29,33,23,31,25,38,54,50,27,47,20,6,22,12,13,14,7,14,21,29,14,8,145,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 5th to 11th April 2021,Unweighted base,819,431,388,155,142,197,146,118,99,104,241,229,149,200,85,25,79,65,69,63,44,65,128,104,60,32,658,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 5th to 11th April 2021,Weighted base,834,428,405,167,153,186,157,135*,88*,101*,236,240,166,191,82*,27**,91*,72*,68*,67*,38*,67*,122,110*,65*,23**,690,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 5th to 11th April 2021,NET: Each time / most times / sometimes,448,247,201,106,97,120,89,63,30,41,141,115,94,99,37,12,54,36,39,30,23,36,72,60,34,16,373,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 5th to 11th April 2021,Each time I go onto social media,56,33,24,14,13,18,7,9,4,4,17,9,20,10,3,-,6,4,13,2,3,3,12,7,2,3,49,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 5th to 11th April 2021,Most times,137,75,61,41,40,46,24,13,5,8,46,43,26,22,9,3,18,17,7,10,4,12,24,20,8,4,120,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 5th to 11th April 2021,Sometimes,255,139,116,50,45,56,58,41,21,29,77,63,48,67,25,8,30,15,19,18,17,21,36,33,24,9,205,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 5th to 11th April 2021,Rarely,261,130,131,46,42,47,45,48,41,34,67,91,50,53,30,9,27,26,19,26,11,21,37,35,15,4,215,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 5th to 11th April 2021,Never,119,47,72,14,13,19,22,23,16,24,27,34,22,37,12,7,10,10,10,11,4,10,13,14,16,2,101,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 5th to 11th April 2021,Don't know,5,4,*,1,1,-,-,1,1,2,1,-,*,3,2,-,-,1,-,-,1,-,-,*,-,1,1,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 12th to 14th March 2021,Unweighted base,784,369,415,155,143,171,147,128,93,90,237,204,149,194,57,36,79,61,81,55,39,74,113,101,58,30,658,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 12th to 14th March 2021,Weighted base,799,392,407,168,156,183,151,129,85*,83*,230,228,149,192,60*,39**,90*,66*,79*,57*,35*,80*,111*,98*,61*,24**,680,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 12th to 14th March 2021,NET: Each time / most times / sometimes,414,213,201,99,91,121,74,54,44,22,121,115,85,92,29,25,41,40,42,29,17,45,61,44,34,8,359,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 12th to 14th March 2021,Each time I go onto social media,58,27,32,13,13,24,13,5,3,1,18,16,13,10,4,5,1,7,11,1,3,7,4,10,4,2,50,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 12th to 14th March 2021,Most times,104,57,48,27,26,39,15,16,5,3,28,31,26,20,13,9,12,12,7,8,6,6,19,6,5,1,84,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 12th to 14th March 2021,Sometimes,251,130,121,59,52,59,46,34,36,18,75,68,46,62,12,11,28,21,24,20,9,31,37,28,25,5,225,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 12th to 14th March 2021,Rarely,267,131,136,58,53,44,56,45,25,39,79,78,41,68,20,9,33,18,22,25,15,28,30,41,15,11,221,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 12th to 14th March 2021,Never,108,43,65,10,10,17,19,29,16,17,28,31,19,29,7,5,15,7,14,3,3,6,18,12,11,4,93,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 12th to 14th March 2021,Don't know,11,6,5,1,1,1,2,1,-,5,1,4,4,2,4,-,1,1,-,-,-,1,2,1,-,1,6,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 6th to 8th November 2020,Unweighted base,788,373,415,151,140,180,150,111,96,100,242,217,154,175,80,32,90,54,57,53,43,72,126,115,44,22,643,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 6th to 8th November 2020,Weighted base,800,374,425,168,155,190,141,106*,91*,104*,208,229,172,190,79*,33**,97*,61*,62*,47*,46*,71*,118,115*,48*,23**,652,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 6th to 8th November 2020,NET: Each time / most times / sometimes,407,203,204,102,93,119,70,46,38,31,107,99,91,111,35,16,56,29,35,18,23,34,76,58,23,4,345,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 6th to 8th November 2020,Each time I go onto social media,44,21,23,14,14,15,7,3,4,1,10,12,4,18,4,3,5,3,7,4,-,5,7,5,2,-,41,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 6th to 8th November 2020,Most times,124,53,70,32,30,46,23,8,10,5,36,28,33,27,13,2,21,11,9,5,3,8,23,21,6,1,106,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 6th to 8th November 2020,Sometimes,239,128,111,56,49,58,41,35,24,25,61,59,53,66,19,11,30,15,18,9,20,22,47,32,14,3,198,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 6th to 8th November 2020,Rarely,249,116,133,42,39,47,49,38,35,38,59,88,54,48,24,13,24,21,19,15,13,23,26,41,18,13,199,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 6th to 8th November 2020,Never,144,55,89,24,22,23,21,21,18,35,43,42,27,32,20,4,18,11,9,14,10,14,17,16,7,6,108,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 4th to 6th June 2021,Unweighted base,705,346,359,137,125,158,147,108,64,91,207,208,116,174,66,16,65,56,60,51,40,63,128,85,57,18,581,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 4th to 6th June 2021,Weighted base,716,369,346,158,143*,157,141,113*,63*,83*,195,212,137*,172,62*,14**,77*,58*,68*,49*,36*,59*,119*,95*,62*,17**,600,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 4th to 6th June 2021,NET: Each time / most times / sometimes,397,214,183,98,89,99,91,54,22,34,105,115,81,96,35,8,45,41,30,23,19,27,77,51,34,7,336,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 4th to 6th June 2021,Each time I go onto social media,54,32,23,16,16,12,14,6,1,5,16,14,10,13,6,1,10,4,4,3,2,7,13,5,1,1,46,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 4th to 6th June 2021,Most times,117,64,52,28,26,44,22,12,4,7,37,39,18,23,11,2,14,8,11,5,5,9,29,11,10,2,99,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 4th to 6th June 2021,Sometimes,226,118,108,55,47,42,55,36,16,23,52,62,53,59,18,5,21,30,15,15,12,11,36,35,23,5,191,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 4th to 6th June 2021,Rarely,212,105,107,44,39,42,31,44,23,28,67,58,42,45,19,4,20,9,28,11,12,22,34,32,17,5,176,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 4th to 6th June 2021,Never,95,41,54,16,14,16,16,14,16,17,21,34,13,27,7,3,10,8,8,14,5,6,7,12,11,5,78,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 4th to 6th June 2021,Don't know,11,9,2,-,-,-,3,1,3,4,2,4,1,4,1,-,2,-,2,1,-,4,-,1,-,-,10,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 4th to 6th December 2020,Unweighted base,785,409,376,157,145,188,139,133,86,82,212,233,149,191,79,27,71,72,84,57,28,69,132,95,45,26,652,22,320,285
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 4th to 6th December 2020,Weighted base,802,392,410,167,151,185,156,131,80*,83*,207,227,186,182,78*,25**,83*,70*,80*,63*,27**,69*,123,107*,53*,23**,674,23**,326,302
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 4th to 6th December 2020,NET: Each time / most times / sometimes,429,218,211,115,107,113,98,59,20,25,110,124,104,91,47,15,42,35,46,34,16,35,74,45,33,9,358,18,167,160
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 4th to 6th December 2020,Each time I go onto social media,59,25,34,18,18,17,12,7,4,1,14,11,19,15,7,3,3,2,5,6,2,3,8,10,8,2,48,5,21,21
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 4th to 6th December 2020,Most times,107,60,47,26,24,35,21,15,4,6,32,27,22,25,8,3,15,15,15,6,3,6,24,5,4,3,93,7,40,43
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 4th to 6th December 2020,Sometimes,264,134,130,71,65,61,65,36,13,19,64,86,63,51,32,9,24,17,26,22,11,25,42,30,21,5,217,6,106,96
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 4th to 6th December 2020,Rarely,251,114,137,40,33,48,32,50,39,40,60,75,58,58,24,8,27,26,19,19,7,20,31,45,17,9,211,4,110,93
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 4th to 6th December 2020,Never,112,53,60,12,10,23,25,20,17,16,36,25,21,31,6,2,12,10,15,10,5,14,18,14,4,2,99,1,46,47
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 4th to 6th December 2020,Don't know,10,8,2,1,1,1,2,1,3,2,1,3,4,2,2,-,1,-,1,-,-,-,-,3,-,2,6,-,3,2
Table 18,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 19th to 21st June 2020,Unweighted base,834,426,408,167,152,186,159,131,85,106,259,250,145,180,,,,,,,,,,,,,,,,
Table 18,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 19th to 21st June 2020,Weighted base,837,422,414,170,152,188,150,148,79*,102*,242,249,178,168,,,,,,,,,,,,,,,,
Table 18,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 19th to 21st June 2020,NET: Each time / most times / sometimes,339,169,170,92,82,84,69,45,24,25,90,101,84,64,,,,,,,,,,,,,,,,
Table 18,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 19th to 21st June 2020,Each time / most times I go onto social media,73,38,35,22,21,23,9,11,4,4,17,32,14,10,,,,,,,,,,,,,,,,
Table 18,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 19th to 21st June 2020,Sometimes,266,132,135,69,61,61,60,34,21,21,73,70,70,54,,,,,,,,,,,,,,,,
Table 18,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 19th to 21st June 2020,Rarely,297,157,141,42,36,69,49,60,38,39,92,95,52,58,,,,,,,,,,,,,,,,
Table 18,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 19th to 21st June 2020,Never,200,96,104,37,34,35,32,42,17,38,60,52,42,46,,,,,,,,,,,,,,,,
Table 19,"Q4b2 And when you go onto social media, how often are you coming across news or information that have warnings or notices from the social media platform attached to them,",ONLINE Fieldwork: 15th to 17th January 2021,Unweighted base,781,377,404,156,140,170,150,115,82,108,219,251,118,193,63,38,93,47,57,51,38,56,149,102,63,24,656,,,
