table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 23,Q4b3. To what extent do you agree or disagree with the following statements? I think that people and organisations have a right to say what they want,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,2098,1007,1091,261,230,362,326,369,329,451,580,582,460,476,190,87,212,173,181,164,113,190,269,272,182,65,1730,,,
Table 23,Q4b3. To what extent do you agree or disagree with the following statements? I think that people and organisations have a right to say what they want,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,2098,1026,1072,289,249,350,325,361,302,471,570,592,426,510,175,83*,232,171,183,151,100*,197,277,287,179,63*,1760,,,
Table 23,Q4b3. To what extent do you agree or disagree with the following statements? I think that people and organisations have a right to say what they want,ONLINE Fieldwork: 11th to 13th September 2020,NET: Agree,449,266,182,92,85,105,84,79,48,41,130,117,93,109,41,12,43,31,42,44,17,38,65,65,38,14,378,,,
Table 23,Q4b3. To what extent do you agree or disagree with the following statements? I think that people and organisations have a right to say what they want,ONLINE Fieldwork: 11th to 13th September 2020,Strongly agree      (+2),118,74,44,22,21,31,24,23,13,5,36,28,17,37,10,5,14,8,12,8,3,13,20,11,9,5,99,,,
Table 23,Q4b3. To what extent do you agree or disagree with the following statements? I think that people and organisations have a right to say what they want,ONLINE Fieldwork: 11th to 13th September 2020,Slightly agree      (+1),331,192,139,70,64,74,60,56,35,36,94,89,76,72,30,7,28,24,30,36,13,25,45,54,29,9,278,,,
Table 23,Q4b3. To what extent do you agree or disagree with the following statements? I think that people and organisations have a right to say what they want,ONLINE Fieldwork: 11th to 13th September 2020,Neither agree nor    (0) disagree,376,182,195,59,50,83,64,65,44,62,86,117,78,95,32,15,52,37,34,24,29,37,47,43,22,5,311,,,
Table 23,Q4b3. To what extent do you agree or disagree with the following statements? I think that people and organisations have a right to say what they want,ONLINE Fieldwork: 11th to 13th September 2020,Slightly disagree   (-1),462,208,254,61,46,69,74,82,59,115,137,119,90,115,39,14,51,39,42,24,14,52,54,72,49,12,397,,,
Table 23,Q4b3. To what extent do you agree or disagree with the following statements? I think that people and organisations have a right to say what they want,ONLINE Fieldwork: 11th to 13th September 2020,Strongly disagree   (-2),811,370,441,77,68,93,102,134,151,253,217,238,165,191,63,43,87,63,65,59,40,70,111,107,70,33,675,,,
Table 23,Q4b3. To what extent do you agree or disagree with the following statements? I think that people and organisations have a right to say what they want,ONLINE Fieldwork: 11th to 13th September 2020,NET: Disagree,1273,578,695,139,114,162,176,217,211,368,355,357,255,307,103,57,138,103,107,83,54,122,165,179,120,45,1072,,,
Table 23,Q4b3. To what extent do you agree or disagree with the following statements? I think that people and organisations have a right to say what they want,ONLINE Fieldwork: 11th to 13th September 2020,Mean,-0.72c,-0.59a,-0.85,-0.35a,-0.31a,-0.34a,-0.53a,-0.69i,-1.00j,-1.22,-0.71,-0.76,-0.73,-0.69,-0.66,-0.99,-0.72,-0.74,-0.64,-0.60p,-0.74,-0.71,-0.69,-0.74,-0.8,-0.94,-0.72,,,
