table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 16,Q4b. Most important type of news/information from social media or search engines,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,983,459,524,175,155,198,194,154,121,141,294,240,196,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 16,Q4b. Most important type of news/information from social media or search engines,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,988,472,516,195,172,208,185,143,112,145,281,278,189,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 16,Q4b. Most important type of news/information from social media or search engines,ONLINE Fieldwork: 9th to 13th April 2020,"Directly from official sources such as NHS, Government etc",490,231,260,99,82,114,98,66,49,65,144,124,83,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 16,Q4b. Most important type of news/information from social media or search engines,ONLINE Fieldwork: 9th to 13th April 2020,"Directly from traditional TV or press news sources such as the BBC, Telegraph, The Daily Mail, etc",283,134,149,56,51,53,52,47,35,40,89,89,55,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 16,Q4b. Most important type of news/information from social media or search engines,ONLINE Fieldwork: 9th to 13th April 2020,Facts forwarded/ posted/ shared from a person you know,64,30,34,14,14,5,9,7,11,18,15,21,15,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 16,Q4b. Most important type of news/information from social media or search engines,ONLINE Fieldwork: 9th to 13th April 2020,Opinions from a person you know,39,18,22,11,11,9,5,6,5,3,11,11,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 16,Q4b. Most important type of news/information from social media or search engines,ONLINE Fieldwork: 9th to 13th April 2020,"Directly from online news providers like Buzzfeed, Huffington Post, Vice, etc.",19,7,12,4,4,4,2,3,5,2,4,9,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 16,Q4b. Most important type of news/information from social media or search engines,ONLINE Fieldwork: 9th to 13th April 2020,"Directly from 'Nonmainstream' news sources such as Russia Today, Breitbart, Swawkbox etc",19,14,5,4,4,4,5,5,1,-,4,3,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 16,Q4b. Most important type of news/information from social media or search engines,ONLINE Fieldwork: 9th to 13th April 2020,Facts forwarded/ posted/ shared from a person you don't know,9,5,5,1,1,3,2,1,1,1,1,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 16,Q4b. Most important type of news/information from social media or search engines,ONLINE Fieldwork: 9th to 13th April 2020,Opinions from a person you don't know,4,2,2,-,-,3,-,-,1,-,1,2,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 16,Q4b. Most important type of news/information from social media or search engines,ONLINE Fieldwork: 9th to 13th April 2020,None of these,60,33,27,5,5,13,13,9,4,16,12,15,13,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 17,Q4b. Most important type of news/information from social media or search engines,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,914,427,487,143,131,199,172,150,118,132,273,259,177,205,85,42,99,76,86,74,54,62,119,108,76,33,742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 17,Q4b. Most important type of news/information from social media or search engines,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,918,428,490,161,146,191,168,151,108,140,267,263,168,220,79*,40*,112*,79*,88*,70*,51*,63*,118*,110*,74*,34**,754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 17,Q4b. Most important type of news/information from social media or search engines,ONLINE Fieldwork: 11th to 13th September 2020,"Directly from official sources such as NHS, Government etc",437,191,247,85,78,91,75,69,47,70,129,130,73,105,47,22,53,42,39,31,23,23,63,53,28,15,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 17,Q4b. Most important type of news/information from social media or search engines,ONLINE Fieldwork: 11th to 13th September 2020,"Directly from traditional TV or press news sources such as the BBC, Telegraph, The Daily Mail, etc",242,102,140,40,34,60,40,37,31,34,77,73,38,55,12,11,29,22,27,18,16,16,35,22,24,10,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 17,Q4b. Most important type of news/information from social media or search engines,ONLINE Fieldwork: 11th to 13th September 2020,Facts forwarded/ posted/ shared from a person you know,70,34,36,10,9,7,15,9,8,20,18,18,16,18,6,1,14,5,6,6,8,4,4,12,2,3,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 17,Q4b. Most important type of news/information from social media or search engines,ONLINE Fieldwork: 11th to 13th September 2020,Opinions from a person you know,45,24,21,7,7,10,12,8,4,4,13,10,13,9,7,-,5,4,7,2,-,2,7,5,4,2,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 17,Q4b. Most important type of news/information from social media or search engines,ONLINE Fieldwork: 11th to 13th September 2020,"Directly from online news providers like Buzzfeed, Huffington Post, Vice, etc.",31,24,7,6,6,9,3,8,2,3,10,8,5,8,-,2,-,1,2,4,1,6,4,5,6,1,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 17,Q4b. Most important type of news/information from social media or search engines,ONLINE Fieldwork: 11th to 13th September 2020,Facts forwarded/ posted/ shared from a person you don't know,16,8,7,3,3,2,2,4,5,1,5,1,4,6,2,1,3,-,-,2,1,4,*,1,1,-,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 17,Q4b. Most important type of news/information from social media or search engines,ONLINE Fieldwork: 11th to 13th September 2020,"Directly from 'Nonmainstream' news sources such as Russia Today, Breitbart, Swawkbox etc",15,11,4,1,1,3,4,4,2,1,5,2,5,3,1,2,2,1,1,2,-,-,-,2,4,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 17,Q4b. Most important type of news/information from social media or search engines,ONLINE Fieldwork: 11th to 13th September 2020,Opinions from a person you don't know,7,5,3,-,-,1,3,1,1,1,2,2,2,1,1,-,1,1,1,-,-,-,1,2,-,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 17,Q4b. Most important type of news/information from social media or search engines,ONLINE Fieldwork: 11th to 13th September 2020,None of these,56,30,26,9,8,8,14,11,7,7,10,18,13,15,4,1,5,5,6,5,2,8,4,9,5,1,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 16,Q4b. Most important type of news/information from social media or search engines,ONLINE Fieldwork: 17th to 19th April 2020,Unweighted base,953,443,510,183,162,179,185,168,104,134,296,277,143,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 16,Q4b. Most important type of news/information from social media or search engines,ONLINE Fieldwork: 17th to 19th April 2020,Weighted base,957,426,531,184,165,185,178,160,105*,145,287,258,198,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 16,Q4b. Most important type of news/information from social media or search engines,ONLINE Fieldwork: 17th to 19th April 2020,"Directly from official sources such as NHS, Government etc",462,181,282,109,95,94,90,73,53,43,135,129,106,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 16,Q4b. Most important type of news/information from social media or search engines,ONLINE Fieldwork: 17th to 19th April 2020,"Directly from traditional TV or press news sources such as the BBC, Telegraph, The Daily Mail, etc",283,133,150,38,34,49,49,59,31,57,82,74,52,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 16,Q4b. Most important type of news/information from social media or search engines,ONLINE Fieldwork: 17th to 19th April 2020,Facts forwarded/ posted/ shared from a person you know,57,24,33,11,11,9,6,8,6,17,14,17,9,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 16,Q4b. Most important type of news/information from social media or search engines,ONLINE Fieldwork: 17th to 19th April 2020,"Directly from online news providers like Buzzfeed, Huffington Post, Vice, etc.",36,15,21,10,10,8,8,4,2,5,18,6,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 16,Q4b. Most important type of news/information from social media or search engines,ONLINE Fieldwork: 17th to 19th April 2020,Opinions from a person you know,27,19,8,5,5,3,7,6,2,4,9,5,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 16,Q4b. Most important type of news/information from social media or search engines,ONLINE Fieldwork: 17th to 19th April 2020,Facts forwarded/ posted/ shared from a person you don't know,15,7,8,1,1,4,5,2,3,1,4,4,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 16,Q4b. Most important type of news/information from social media or search engines,ONLINE Fieldwork: 17th to 19th April 2020,"Directly from 'Nonmainstream' news sources such as Russia Today, Breitbart, Swawkbox etc",10,7,2,-,-,6,-,1,-,3,3,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 16,Q4b. Most important type of news/information from social media or search engines,ONLINE Fieldwork: 17th to 19th April 2020,Opinions from a person you don't know,8,5,3,1,1,-,1,3,3,1,4,3,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 16,Q4b. Most important type of news/information from social media or search engines,ONLINE Fieldwork: 17th to 19th April 2020,None of these,59,35,24,10,9,12,12,5,6,14,18,16,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 16,Q4b. Most important type of news/information from social media or search engines,ONLINE Fieldwork: 15th to 17th May 2020,Unweighted base,949,450,499,160,148,217,171,158,106,137,289,251,199,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
