table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i)
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,2105,1010,1095,265,234,336,342,379,317,466,600,510,448,547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,2106,1029,1077,292,256,347,325,362,305,475,573,596,427,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 9th to 13th April 2020,NET: More,687,308,379,129,122,124,129,113,86,106,181,191,148,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 9th to 13th April 2020,A lot more          (+3),239,96,143,38,38,58,43,39,31,30,64,57,51,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 9th to 13th April 2020,A little more       (+2),448,212,236,92,84,65,85,75,55,76,117,134,97,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 9th to 13th April 2020,About the same      (+1),893,462,431,80,66,155,131,178,137,213,241,255,172,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 9th to 13th April 2020,Don't use            (0),526,259,267,82,69,69,65,70,82,157,151,150,106,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 9th to 13th April 2020,Mean,1.19,1.14,1.24,1.29,1.35,1.33,1.33,1.23,1.11,0.96,1.17,1.16,1.22,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 9th to 13th April 2020,Standard deviation Standard error,0.94,0.9,0.97,1.02,1.03,0.98,0.94,0.88,0.92,0.86,0.94,0.91,0.95,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 17th to 19th April 2020,Unweighted base,2122,1097,1025,298,267,336,346,368,309,465,626,638,306,552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 17th to 19th April 2020,Weighted base,2125,1038,1087,293,266,356,327,366,306,478,578,601,433,513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 17th to 19th April 2020,NET: More,646,298,348,109,104,138,103,105,91,100,188,153,143,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 17th to 19th April 2020,A lot more          (+3),196,87,109,31,29,43,31,39,32,19,54,45,42,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 17th to 19th April 2020,A little more       (+2),450,211,239,78,75,95,72,66,58,81,134,108,102,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 17th to 19th April 2020,About the same      (+1),939,482,457,96,85,135,164,179,138,227,236,280,180,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 17th to 19th April 2020,Don't use            (0),540,258,283,88,77,83,60,81,77,151,154,168,109,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 17th to 19th April 2020,Mean,1.14,1.12,1.16,1.18,1.21,1.28,1.23,1.17,1.15,0.93,1.15,1.05,1.17,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 17th to 19th April 2020,Standard deviation Standard error,0.9,0.88,0.92,0.98,0.98,0.95,0.86,0.89,0.92,0.8,0.92,0.87,0.92,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 15th to 17th May 2020,Unweighted base,2092,1030,1062,256,226,354,346,368,305,463,605,570,402,515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 15th to 17th May 2020,Weighted base,2091,1021,1070,287,247,350,324,360,300,470,570,594,421,506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 15th to 17th May 2020,NET: More,498,242,256,91,77,110,95,79,54,70,134,130,112,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 15th to 17th May 2020,A lot more          (+3),157,77,80,33,30,33,31,30,10,19,44,51,27,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 15th to 17th May 2020,A little more       (+2),341,165,176,58,47,76,63,49,44,51,90,79,85,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 15th to 17th May 2020,About the same      (+1),1008,511,497,101,89,164,165,195,159,225,251,288,214,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 15th to 17th May 2020,Don't use            (0),585,268,317,95,80,76,65,86,88,175,186,176,95,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 15th to 17th May 2020,Mean,1.03,1.05,1.02,1.1,1.11,1.19,1.19,1.06,0.92,0.82,0.98,1.01,1.1,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 18,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 15th to 17th May 2020,Standard deviation Standard error,0.86,0.85,0.87,0.99,1,0.88,0.87,0.84,0.75,0.78,0.89,0.88,0.82,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: Local media organisations,ONLINE Fieldwork: 29th to 31st May 2020,Unweighted base,2084,998,1086,255,223,321,329,380,325,474,544,588,454,498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
