table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i)
Table 23,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,329,163,166,35,31,52,62,59,52,69,82,84,60,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,339,177,162,38*,34**,62*,59*,58*,52*,71*,80*,104*,56*,99*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 9th to 13th April 2020,NET: More,185,92,94,24,22,34,32,28,24,43,51,53,33,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 9th to 13th April 2020,A lot more          (+3),65,29,37,12,11,12,14,8,8,12,16,17,12,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 9th to 13th April 2020,A little more       (+2),120,63,57,12,11,22,18,21,16,32,36,36,20,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 9th to 13th April 2020,About the same      (+1),121,67,54,8,8,24,17,25,23,23,23,41,18,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 9th to 13th April 2020,Don't use            (0),33,19,14,6,4,4,11,4,5,4,6,9,5,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 9th to 13th April 2020,Mean,1.64,1.57,1.72,1.81,1.84,1.68,1.6,1.55,1.53,1.72,1.75,1.59,1.72,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 9th to 13th April 2020,Standard deviation Standard error,0.9,0.89,0.91,1.06,1.04,0.87,1.04,0.81,0.86,0.81,0.86,0.87,0.9,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 17th to 19th April 2020,Unweighted base,358,185,173,31,28,54,68,68,56,81,106,90,58,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 17th to 19th April 2020,Weighted base,343,170,173,28**,25**,59*,69*,64*,51*,72*,96*,79*,80*,88*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 17th to 19th April 2020,NET: More,167,80,87,16,14,31,35,35,20,30,53,34,38,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 17th to 19th April 2020,A lot more          (+3),53,19,34,4,3,12,10,13,6,8,21,5,10,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 23,Q4c. Use of types of media organisations: NET: Scotland/ Northern Ireland/ Wales-wide media organisations,ONLINE Fieldwork: 17th to 19th April 2020,A little more       (+2),113,61,52,11,11,18,25,22,15,22,32,29,29,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
