table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i)
Table 19,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,2105,1010,1095,265,234,336,342,379,317,466,600,510,448,547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,2106,1029,1077,292,256,347,325,362,305,475,573,596,427,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 9th to 13th April 2020,NET: More,1204,559,644,208,185,208,205,200,166,218,356,351,227,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 9th to 13th April 2020,A lot more          (+3),494,205,289,88,81,96,81,79,68,81,147,136,101,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 9th to 13th April 2020,A little more       (+2),710,354,356,121,103,111,124,120,97,137,209,215,126,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 9th to 13th April 2020,About the same      (+1),755,404,351,65,54,118,103,136,122,211,197,202,159,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 9th to 13th April 2020,Don't use            (0),147,65,81,18,17,22,17,26,17,46,20,43,40,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 9th to 13th April 2020,Mean,1.74,1.68,1.79,1.95,1.97,1.81,1.82,1.7,1.71,1.53,1.84,1.74,1.67,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 9th to 13th April 2020,Standard deviation Standard error,0.9,0.86,0.92,0.88,0.89,0.91,0.87,0.89,0.88,0.89,0.85,0.89,0.94,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 17th to 19th April 2020,Unweighted base,2122,1097,1025,298,267,336,346,368,309,465,626,638,306,552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 17th to 19th April 2020,Weighted base,2125,1038,1087,293,266,356,327,366,306,478,578,601,433,513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 17th to 19th April 2020,NET: More,1101,509,592,186,170,199,159,209,147,203,316,311,221,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 19,Q4c. Use of types of media organisations: UK-wide media organisations,ONLINE Fieldwork: 17th to 19th April 2020,A lot more          (+3),410,180,230,63,59,79,52,76,60,80,110,111,96,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
