table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 55,Q5. Trust in the sources for information/news about Coronavirus used in last week: Apple iMessage,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,28,11,17,9,9,9,3,-,3,4,13,6,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 55,Q5. Trust in the sources for information/news about Coronavirus used in last week: Apple iMessage,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,28**,10**,17**,9**,9**,8**,3**,-**,3**,5**,12**,8**,1**,8**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 55,Q5. Trust in the sources for information/news about Coronavirus used in last week: Apple iMessage,ONLINE Fieldwork: 9th to 13th April 2020,NET: Trust,10,7,3,2,2,4,2,-,-,2,3,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 55,Q5. Trust in the sources for information/news about Coronavirus used in last week: Apple iMessage,ONLINE Fieldwork: 9th to 13th April 2020,5 - Trust completely,3,3,-,-,-,2,-,-,-,1,1,2,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 55,Q5. Trust in the sources for information/news about Coronavirus used in last week: Apple iMessage,ONLINE Fieldwork: 9th to 13th April 2020,4,7,4,3,2,2,2,2,-,-,1,2,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 55,Q5. Trust in the sources for information/news about Coronavirus used in last week: Apple iMessage,ONLINE Fieldwork: 9th to 13th April 2020,3,9,3,6,3,3,3,1,-,1,1,6,2,-,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 55,Q5. Trust in the sources for information/news about Coronavirus used in last week: Apple iMessage,ONLINE Fieldwork: 9th to 13th April 2020,2,7,-,7,4,4,1,-,-,1,1,2,2,-,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 55,Q5. Trust in the sources for information/news about Coronavirus used in last week: Apple iMessage,ONLINE Fieldwork: 9th to 13th April 2020,1 - Do not trust at all,2,1,1,-,-,1,-,-,1,-,2,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 55,Q5. Trust in the sources for information/news about Coronavirus used in last week: Apple iMessage,ONLINE Fieldwork: 9th to 13th April 2020,NET: Do not trust,9,1,8,4,4,2,-,-,2,1,3,2,-,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 55,Q5. Trust in the sources for information/news about Coronavirus used in last week: Apple iMessage,ONLINE Fieldwork: 9th to 13th April 2020,Mean,3.07,3.79,2.64,2.75,2.75,3.27,3.73,-,2.16,3.5,2.91,3.38,4,2.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 55,Q5. Trust in the sources for information/news about Coronavirus used in last week: Apple iMessage,ONLINE Fieldwork: 9th to 13th April 2020,Standard deviation Standard error,1.09,1.13,0.83,0.78,0.78,1.35,0.55,-,0.96,1.22,1.14,1.24,-,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 79,Q5. Trust in the sources for information/news about Coronavirus used in last week: Apple iMessage,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,23,16,7,9,9,5,6,2,-,1,10,4,5,4,1,1,2,-,5,-,-,3,5,3,3,-,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 79,Q5. Trust in the sources for information/news about Coronavirus used in last week: Apple iMessage,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,24**,15**,9**,10**,10**,5**,5**,2**,-**,1**,11**,3**,5**,5**,1**,1**,2**,-**,5**,-**,-**,3**,4**,3**,4**,-**,23**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
