table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 50,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( printed ),ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,94,58,36,8,8,10,11,10,16,39,50,26,13,5,6,4,9,6,6,7,3,6,11,22,14,-,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 50,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( printed ),ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,93*,58*,35*,10**,10**,9**,11**,9**,15**,39*,50*,26**,13**,4**,4**,5**,11**,5**,7**,6**,2**,5**,10**,24**,14**,-**,87*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 50,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( printed ),ONLINE Fieldwork: 11th to 13th September 2020,NET: Trust,69,43,26,2,2,6,9,9,11,32,41,18,8,2,2,3,7,5,7,4,1,5,8,16,10,-,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 50,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( printed ),ONLINE Fieldwork: 11th to 13th September 2020,5 - Trust completely,17,11,6,-,-,*,3,3,1,10,12,3,2,1,1,1,2,1,2,2,1,2,-,6,-,-,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 50,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( printed ),ONLINE Fieldwork: 11th to 13th September 2020,4,52,32,20,2,2,5,6,6,10,22,30,15,6,1,2,2,5,4,5,2,-,3,8,10,10,-,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 50,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( printed ),ONLINE Fieldwork: 11th to 13th September 2020,3,22,13,8,5,5,3,2,*,4,8,8,7,4,2,2,2,4,-,-,2,*,-,1,6,4,-,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 50,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( printed ),ONLINE Fieldwork: 11th to 13th September 2020,2,3,2,1,3,3,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,3,-,-,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 50,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( printed ),ONLINE Fieldwork: 11th to 13th September 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 50,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( printed ),ONLINE Fieldwork: 11th to 13th September 2020,NET: Do not trust,3,2,1,3,3,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,3,-,-,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 50,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( printed ),ONLINE Fieldwork: 11th to 13th September 2020,Mean,3.9,3.9,3.89,2.96,2.96,3.68,4.09,4.3,3.81,4.05,4.03,3.7,3.79,3.85,3.59,3.87,3.82,4.15,4.3,4.05,4.48,4.37,3.85,3.78,3.69,-,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
