table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 5,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,140,70,70,15,15,19,23,24,20,39,27,42,34,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 5,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,141,68*,72*,18**,18**,19**,23**,21**,19**,40*,25**,52*,31*,33*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 5,ONLINE Fieldwork: 9th to 13th April 2020,NET: Trust,91,40,51,12,12,9,12,16,10,32,18,35,20,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 5,ONLINE Fieldwork: 9th to 13th April 2020,5 - Trust completely,27,10,17,6,6,3,4,5,3,7,8,12,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 5,ONLINE Fieldwork: 9th to 13th April 2020,4,64,30,34,7,7,6,9,11,7,24,10,23,17,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 5,ONLINE Fieldwork: 9th to 13th April 2020,3,44,26,18,6,6,7,9,5,8,9,5,16,8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 5,ONLINE Fieldwork: 9th to 13th April 2020,2,5,2,3,-,-,2,1,*,1,-,1,1,3,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 5,ONLINE Fieldwork: 9th to 13th April 2020,1 - Do not trust at all,1,1,-,-,-,1,-,-,-,-,1,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 5,ONLINE Fieldwork: 9th to 13th April 2020,NET: Do not trust,6,3,3,-,-,3,1,*,1,-,2,1,3,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 34,Q5. Trust in the sources for information/news about Coronavirus used in last week: Channel 5,ONLINE Fieldwork: 9th to 13th April 2020,Mean,3.79,3.67,3.9,4.01,4.01,3.34,3.65,3.95,3.62,3.97,3.92,3.89,3.69,3.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
