table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 60,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,327,163,164,41,38,50,50,48,54,84,105,87,55,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 60,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,327,164,163,46*,42*,50*,48*,45*,53*,85*,98*,103*,51*,75*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 60,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 9th to 13th April 2020,NET: Trust,145,63,82,18,16,23,20,25,26,33,36,46,23,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 60,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 9th to 13th April 2020,5 - Trust completely,31,12,19,6,4,11,2,4,6,3,9,8,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 60,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 9th to 13th April 2020,4,114,51,63,12,11,12,18,21,20,30,28,38,21,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 60,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 9th to 13th April 2020,3,140,73,68,23,22,21,21,16,25,35,45,47,25,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 60,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 9th to 13th April 2020,2,33,21,12,3,3,5,4,5,1,15,15,8,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 60,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 9th to 13th April 2020,1 - Do not trust at all,9,7,2,2,2,1,3,-,1,2,1,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 60,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 9th to 13th April 2020,NET: Do not trust,42,28,14,5,5,6,7,5,2,17,17,11,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 60,Q5. Trust in the sources for information/news about Coronavirus used in last week: Email,ONLINE Fieldwork: 9th to 13th April 2020,Mean,3.38,3.24,3.53,3.37,3.33,3.53,3.27,3.53,3.54,3.2,3.27,3.4,3.43,3.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
