table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 29,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,694,314,380,59,52,76,99,141,118,201,155,164,163,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 29,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,694,320,374,68*,59*,78*,92*,136,118,203,146,198,152,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 29,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV,ONLINE Fieldwork: 9th to 13th April 2020,NET: Trust,528,228,300,55,47,53,70,101,92,157,110,144,120,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 29,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV,ONLINE Fieldwork: 9th to 13th April 2020,5 - Trust completely,179,72,107,23,20,21,21,29,26,59,30,52,33,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 29,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV,ONLINE Fieldwork: 9th to 13th April 2020,4,349,156,194,32,27,32,49,73,65,98,80,92,86,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 29,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV,ONLINE Fieldwork: 9th to 13th April 2020,3,140,73,67,11,9,22,20,29,22,37,32,46,27,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 29,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV,ONLINE Fieldwork: 9th to 13th April 2020,2,21,16,5,2,2,1,2,5,4,5,3,7,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 29,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV,ONLINE Fieldwork: 9th to 13th April 2020,1 - Do not trust at all,5,3,1,-,-,1,-,-,-,3,1,-,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 29,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV,ONLINE Fieldwork: 9th to 13th April 2020,NET: Do not trust,25,19,6,2,2,2,2,5,4,9,5,7,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 29,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV,ONLINE Fieldwork: 9th to 13th April 2020,Mean,3.98,3.87,4.07,4.11,4.1,3.91,3.96,3.92,3.97,4.01,3.92,3.95,3.97,4.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 29,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV,ONLINE Fieldwork: 9th to 13th April 2020,Standard deviation Standard error,0.8,0.85,0.74,0.8,0.81,0.88,0.74,0.76,0.75,0.85,0.77,0.81,0.76,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 39,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,575,265,310,42,38,61,68,112,116,176,134,153,142,146,26,30,69,51,53,54,18,57,59,87,51,20,511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 39,Q5. Trust in the sources for information/news about Coronavirus used in last week: ITV,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,592,277,315,51*,46*,63*,69*,111*,113*,186,137,161,137,157,28**,26**,78*,56*,58*,43*,17**,59*,62*,94*,50*,21**,526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
