table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A)
Table 62,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Local sources across TV, radio and online",ONLINE Fieldwork: 5th to 11th April 2021,Unweighted base,345,172,173,39,34,53,52,55,59,87,86,85,72,102,34,12,38,34,27,21,16,31,36,46,36,14,281
Table 62,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Local sources across TV, radio and online",ONLINE Fieldwork: 5th to 11th April 2021,Weighted base,359,171,189,44*,39**,50*,58*,63*,59*,86*,89*,91*,76*,103*,31**,17**,41*,38**,27**,21**,11**,34**,35**,51*,42*,11**,307
Table 62,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Local sources across TV, radio and online",ONLINE Fieldwork: 5th to 11th April 2021,NET: Trust,227,114,113,26,24,29,35,42,34,60,53,54,53,67,19,12,28,21,15,17,4,27,19,30,26,10,194
Table 62,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Local sources across TV, radio and online",ONLINE Fieldwork: 5th to 11th April 2021,5 - Trust completely,45,25,21,8,7,4,6,11,4,13,8,14,9,14,5,3,5,6,2,2,1,5,5,6,4,1,39
Table 62,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Local sources across TV, radio and online",ONLINE Fieldwork: 5th to 11th April 2021,4,181,90,92,18,17,25,30,31,30,48,45,39,44,53,14,8,22,15,13,15,4,21,14,23,22,9,154
Table 62,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Local sources across TV, radio and online",ONLINE Fieldwork: 5th to 11th April 2021,3,109,44,65,12,12,15,17,19,23,23,31,34,20,24,11,5,8,14,12,3,7,6,15,15,13,1,92
Table 62,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Local sources across TV, radio and online",ONLINE Fieldwork: 5th to 11th April 2021,2,18,12,6,6,2,3,6,2,1,1,4,3,1,10,-,-,5,1,-,1,-,1,-,6,3,-,18
Table 62,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Local sources across TV, radio and online",ONLINE Fieldwork: 5th to 11th April 2021,1 - Do not trust at all,5,-,5,-,-,2,-,-,1,1,1,-,2,1,1,-,1,1,-,-,-,-,-,1,*,-,4
Table 62,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Local sources across TV, radio and online",ONLINE Fieldwork: 5th to 11th April 2021,NET: Do not trust,23,12,11,6,2,6,6,2,2,2,5,3,3,12,1,-,6,3,-,1,-,1,-,7,3,-,22
Table 62,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Local sources across TV, radio and online",ONLINE Fieldwork: 5th to 11th April 2021,Mean,3.68,3.74,3.63,3.64,3.75,3.51,3.61,3.83,3.58,3.82,3.62,3.71,3.75,3.66,3.72,3.88,3.64,3.6,3.61,3.85,3.46,3.9,3.71,3.55,3.61,4,3.68
