table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 51,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,130,66,64,5,4,9,12,20,17,67,30,36,37,27,13,5,12,7,9,11,9,10,14,24,13,3,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 51,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,129,66*,63*,5**,4**,9**,13**,18**,16**,68*,28**,37*,37*,27**,11**,5**,13**,6**,10**,11**,8**,9**,13**,25**,14**,3**,106*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 51,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 11th to 13th September 2020,NET: Trust,59,31,28,2,2,3,5,7,5,36,13,19,14,14,7,3,6,2,8,4,5,5,5,5,8,3,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 51,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 11th to 13th September 2020,5 - Trust completely,10,5,5,-,-,1,1,1,-,7,3,1,1,5,-,1,1,-,2,-,1,2,-,1,2,-,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 51,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 11th to 13th September 2020,4,50,26,24,2,2,3,4,7,5,29,10,17,13,10,7,2,5,2,5,4,4,3,5,4,6,3,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 51,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 11th to 13th September 2020,3,45,22,22,2,2,3,5,8,5,22,9,13,12,11,3,-,5,2,1,6,3,4,5,10,5,-,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 51,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 11th to 13th September 2020,2,19,9,10,-,-,3,2,*,5,8,5,2,10,2,*,1,1,2,1,1,1,-,3,6,1,-,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 51,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 11th to 13th September 2020,1 - Do not trust at all,6,4,2,1,-,-,1,2,1,1,2,3,1,-,-,1,-,-,-,1,-,-,-,4,-,-,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 51,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 11th to 13th September 2020,NET: Do not trust,25,12,12,1,-,3,3,2,6,9,7,5,11,2,*,2,1,2,1,2,1,-,3,10,1,-,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 51,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),ONLINE Fieldwork: 11th to 13th September 2020,Mean,3.3,3.31,3.3,3.07,3.56,3.1,3.17,3.25,2.89,3.48,3.26,3.31,3.08,3.64,3.63,3.14,3.46,3,3.83,3.1,3.57,3.68,3.17,2.68,3.59,4,3.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
