table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 63,Q5. Trust in the sources for information/news about Coronavirus used in last week: People in your local area/neighbourhood,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,190,79,111,26,24,28,33,27,31,45,59,40,36,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 63,Q5. Trust in the sources for information/news about Coronavirus used in last week: People in your local area/neighbourhood,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,189,81*,107*,29**,27**,29**,32**,24**,28**,46*,56*,45*,35*,53*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 63,Q5. Trust in the sources for information/news about Coronavirus used in last week: People in your local area/neighbourhood,ONLINE Fieldwork: 9th to 13th April 2020,NET: Trust,56,23,33,6,6,12,9,7,7,15,17,9,13,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 63,Q5. Trust in the sources for information/news about Coronavirus used in last week: People in your local area/neighbourhood,ONLINE Fieldwork: 9th to 13th April 2020,5 - Trust completely,9,2,6,1,1,4,1,-,3,1,1,-,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 63,Q5. Trust in the sources for information/news about Coronavirus used in last week: People in your local area/neighbourhood,ONLINE Fieldwork: 9th to 13th April 2020,4,47,21,26,5,5,8,8,7,5,14,17,9,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 63,Q5. Trust in the sources for information/news about Coronavirus used in last week: People in your local area/neighbourhood,ONLINE Fieldwork: 9th to 13th April 2020,3,81,34,46,11,11,12,15,9,12,21,27,21,15,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 63,Q5. Trust in the sources for information/news about Coronavirus used in last week: People in your local area/neighbourhood,ONLINE Fieldwork: 9th to 13th April 2020,2,43,18,25,9,8,5,6,8,7,7,9,11,5,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 63,Q5. Trust in the sources for information/news about Coronavirus used in last week: People in your local area/neighbourhood,ONLINE Fieldwork: 9th to 13th April 2020,1 - Do not trust at all,10,6,4,3,2,-,2,-,1,4,2,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 63,Q5. Trust in the sources for information/news about Coronavirus used in last week: People in your local area/neighbourhood,ONLINE Fieldwork: 9th to 13th April 2020,NET: Do not trust,52,24,29,12,9,5,8,8,9,11,11,15,8,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 63,Q5. Trust in the sources for information/news about Coronavirus used in last week: People in your local area/neighbourhood,ONLINE Fieldwork: 9th to 13th April 2020,Mean,3.02,2.95,3.07,2.76,2.87,3.35,2.98,3,2.99,3.02,3.1,2.81,3.16,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 63,Q5. Trust in the sources for information/news about Coronavirus used in last week: People in your local area/neighbourhood,ONLINE Fieldwork: 9th to 13th April 2020,Standard deviation Standard error,0.93,0.95,0.92,1,0.96,0.93,0.9,0.81,1.01,0.92,0.8,0.85,1.03,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 87,Q5. Trust in the sources for information/news about Coronavirus used in last week: People in your local area/neighbourhood,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,174,80,94,22,19,32,27,26,25,42,57,45,34,38,21,8,16,20,18,19,7,7,17,21,15,5,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 87,Q5. Trust in the sources for information/news about Coronavirus used in last week: People in your local area/neighbourhood,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,172,75*,96*,24**,21**,29**,25**,25**,24**,45*,55*,49*,31**,36*,19**,8**,15**,22**,17**,19**,7**,6**,14**,22**,17**,5**,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
