table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 52,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Daily Mirror ( printed ),ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,80,47,33,4,4,6,16,15,15,24,15,15,22,28,6,4,8,10,10,6,4,5,4,18,4,1,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 52,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Daily Mirror ( printed ),ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,87*,52*,35**,4**,4**,8**,15**,18**,16**,26**,16**,17**,20**,34**,6**,4**,11**,9**,15**,5**,4**,5**,5**,18**,3**,1**,75*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 52,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Daily Mirror ( printed ),ONLINE Fieldwork: 11th to 13th September 2020,NET: Trust,36,23,13,2,2,4,6,8,5,10,5,7,4,20,5,2,4,5,9,1,3,3,2,1,1,-,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 52,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Daily Mirror ( printed ),ONLINE Fieldwork: 11th to 13th September 2020,5 - Trust completely,6,5,1,1,1,-,-,2,2,2,-,2,1,4,2,-,-,2,1,1,-,-,-,1,-,-,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 52,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Daily Mirror ( printed ),ONLINE Fieldwork: 11th to 13th September 2020,4,30,18,11,1,1,4,6,6,3,9,5,5,4,16,3,2,4,3,8,-,3,3,2,*,1,-,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 52,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Daily Mirror ( printed ),ONLINE Fieldwork: 11th to 13th September 2020,3,30,14,17,1,1,1,7,3,8,10,5,7,10,9,1,2,4,3,2,-,1,1,3,10,1,1,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 52,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Daily Mirror ( printed ),ONLINE Fieldwork: 11th to 13th September 2020,2,18,13,6,1,1,3,2,5,3,5,6,2,5,5,-,-,2,1,4,4,*,1,-,6,1,-,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 52,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Daily Mirror ( printed ),ONLINE Fieldwork: 11th to 13th September 2020,1 - Do not trust at all,2,2,-,-,-,-,-,2,-,1,1,-,2,-,-,-,-,-,-,1,-,-,-,1,1,-,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 52,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Daily Mirror ( printed ),ONLINE Fieldwork: 11th to 13th September 2020,NET: Do not trust,21,15,6,1,1,3,2,6,3,6,7,2,6,5,-,-,2,1,4,4,*,1,-,7,1,-,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 52,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Daily Mirror ( printed ),ONLINE Fieldwork: 11th to 13th September 2020,Mean,3.22,3.2,3.25,3.54,3.54,3.2,3.27,3.12,3.21,3.21,2.81,3.36,2.87,3.54,4.07,3.5,3.19,3.78,3.39,2.15,3.51,3.46,3.32,2.68,2.66,3,3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
