table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A)
Table 95,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Stickers, e.g. on lamp posts or other places in your neighbourhood",ONLINE Fieldwork: 5th to 11th April 2021,Unweighted base,36,19,17,7,5,10,4,3,5,7,12,6,4,14,3,1,4,1,3,4,2,3,8,5,1,1,30
Table 95,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Stickers, e.g. on lamp posts or other places in your neighbourhood",ONLINE Fieldwork: 5th to 11th April 2021,Weighted base,42**,22**,19**,9**,8**,9**,7**,4**,6**,8**,14**,10**,6**,13**,2**,1**,4**,2**,3**,5**,2**,5**,9**,6**,2**,1**,36**
Table 95,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Stickers, e.g. on lamp posts or other places in your neighbourhood",ONLINE Fieldwork: 5th to 11th April 2021,NET: Trust,21,15,6,5,4,5,3,4,2,3,9,2,4,6,1,1,2,2,3,1,2,4,3,2,-,-,18
Table 95,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Stickers, e.g. on lamp posts or other places in your neighbourhood",ONLINE Fieldwork: 5th to 11th April 2021,5 - Trust completely,3,3,-,-,-,2,-,1,-,-,3,-,-,-,-,-,2,-,-,-,-,-,1,-,-,-,3
Table 95,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Stickers, e.g. on lamp posts or other places in your neighbourhood",ONLINE Fieldwork: 5th to 11th April 2021,4,18,12,6,5,4,3,3,3,2,3,6,2,4,6,1,1,-,2,3,1,2,4,2,2,-,-,15
Table 95,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Stickers, e.g. on lamp posts or other places in your neighbourhood",ONLINE Fieldwork: 5th to 11th April 2021,3,15,5,10,2,2,3,4,-,3,3,4,5,-,6,-,-,2,-,-,4,-,-,6,2,-,1,14
Table 95,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Stickers, e.g. on lamp posts or other places in your neighbourhood",ONLINE Fieldwork: 5th to 11th April 2021,2,3,2,1,*,-,*,-,-,1,2,-,1,2,1,-,-,-,-,*,-,-,1,*,2,-,-,3
Table 95,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Stickers, e.g. on lamp posts or other places in your neighbourhood",ONLINE Fieldwork: 5th to 11th April 2021,1 - Do not trust at all,3,-,3,2,2,1,-,-,-,-,1,2,-,-,1,-,-,-,-,-,-,-,-,-,2,-,2
Table 95,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Stickers, e.g. on lamp posts or other places in your neighbourhood",ONLINE Fieldwork: 5th to 11th April 2021,NET: Do not trust,6,2,4,2,2,1,-,-,1,2,1,3,2,1,1,-,-,-,*,-,-,1,*,2,2,-,5
Table 95,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Stickers, e.g. on lamp posts or other places in your neighbourhood",ONLINE Fieldwork: 5th to 11th April 2021,Mean,3.36,3.68,2.99,3.06,3.01,3.48,3.42,4.17,3.19,3.24,3.69,2.81,3.45,3.4,2.79,4,3.94,4,3.78,3.26,4,3.66,3.35,3.1,1,3,3.37
