table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 52,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,142,64,78,32,30,33,31,13,13,20,59,32,21,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 52,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,138,65*,73*,34**,32**,36**,27**,9**,12**,20**,55*,38*,20**,25**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 52,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp,ONLINE Fieldwork: 9th to 13th April 2020,NET: Trust,33,17,16,12,12,8,3,2,2,5,10,9,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 52,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp,ONLINE Fieldwork: 9th to 13th April 2020,5 - Trust completely,8,5,4,1,1,3,2,-,-,2,1,-,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 52,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp,ONLINE Fieldwork: 9th to 13th April 2020,4,25,12,12,11,11,5,2,2,2,3,9,9,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 52,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp,ONLINE Fieldwork: 9th to 13th April 2020,3,66,35,32,14,13,18,14,6,3,10,28,17,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 52,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp,ONLINE Fieldwork: 9th to 13th April 2020,2,22,4,18,2,2,6,8,1,4,2,9,8,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 52,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp,ONLINE Fieldwork: 9th to 13th April 2020,1 - Do not trust at all,17,9,7,6,5,3,1,1,3,2,7,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 52,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp,ONLINE Fieldwork: 9th to 13th April 2020,NET: Do not trust,39,14,25,8,7,9,10,1,7,4,16,12,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 52,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp,ONLINE Fieldwork: 9th to 13th April 2020,Mean,2.9,2.98,2.82,2.98,3.05,2.99,2.78,2.95,2.31,3.06,2.76,2.81,3.43,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 52,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp,ONLINE Fieldwork: 9th to 13th April 2020,Standard deviation Standard error,1.03,1.06,1,1.1,1.08,1.02,0.91,0.76,1.08,1.12,0.94,0.93,1.14,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 76,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,121,67,54,15,14,35,28,14,15,14,47,29,17,28,4,2,17,6,14,10,8,2,25,20,8,5,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 76,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,127,71*,56*,20**,18**,34*,28**,14**,14**,17**,47*,30**,19**,31**,4**,3**,18**,7**,16**,12**,8**,3**,22**,21**,8**,6**,109*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 76,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp,ONLINE Fieldwork: 11th to 13th September 2020,NET: Trust,39,22,16,8,8,8,10,5,3,5,15,8,6,10,2,2,3,1,9,4,5,3,3,5,2,1,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
