table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 53,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp group(s),ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,129,52,77,23,20,33,28,13,13,19,53,33,17,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 53,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp group(s),ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,126,54*,72*,24**,21**,34**,25**,10**,12**,19**,48*,38*,17**,23**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 53,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp group(s),ONLINE Fieldwork: 9th to 13th April 2020,NET: Trust,38,19,19,7,6,7,7,6,6,5,11,9,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 53,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp group(s),ONLINE Fieldwork: 9th to 13th April 2020,5 - Trust completely,9,8,1,3,2,3,-,1,-,1,1,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 53,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp group(s),ONLINE Fieldwork: 9th to 13th April 2020,4,29,11,18,3,3,4,7,5,6,4,10,8,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 53,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp group(s),ONLINE Fieldwork: 9th to 13th April 2020,3,53,20,33,7,7,19,13,3,1,9,19,19,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 53,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp group(s),ONLINE Fieldwork: 9th to 13th April 2020,2,21,8,14,4,3,4,3,1,2,6,11,5,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 53,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp group(s),ONLINE Fieldwork: 9th to 13th April 2020,1 - Do not trust at all,14,8,7,6,5,4,1,-,2,-,7,5,-,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 53,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp group(s),ONLINE Fieldwork: 9th to 13th April 2020,NET: Do not trust,35,15,20,10,8,8,5,1,5,6,18,10,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 53,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp group(s),ONLINE Fieldwork: 9th to 13th April 2020,Mean,2.97,3.07,2.9,2.74,2.78,2.95,3.03,3.53,2.88,3,2.72,2.87,3.79,3.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 53,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp group(s),ONLINE Fieldwork: 9th to 13th April 2020,Standard deviation Standard error,1.06,1.22,0.93,1.37,1.32,1.06,0.82,0.89,1.26,0.84,1.02,0.99,0.93,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 77,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp group(s),ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,89,47,42,17,15,23,17,13,10,9,39,27,9,14,10,2,10,4,14,5,3,1,19,10,9,2,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 77,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp group(s),ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,97*,52*,45*,20**,18**,23**,17**,14**,11**,11**,43*,26**,11**,17**,9**,2**,12**,5**,15**,6**,3**,1**,21**,11**,9**,2**,83*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 77,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp group(s),ONLINE Fieldwork: 11th to 13th September 2020,NET: Trust,24,16,8,4,4,6,3,7,-,3,9,5,4,6,1,-,2,1,4,4,-,1,6,4,1,-,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 77,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp group(s),ONLINE Fieldwork: 11th to 13th September 2020,5 - Trust completely,7,4,3,1,1,1,2,2,-,1,1,2,1,3,-,-,2,-,1,1,-,1,-,*,1,-,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 77,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp group(s),ONLINE Fieldwork: 11th to 13th September 2020,4,17,12,5,3,3,5,2,5,-,2,8,3,3,3,1,-,-,1,3,3,-,-,6,3,*,-,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 77,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp group(s),ONLINE Fieldwork: 11th to 13th September 2020,3,47,23,24,6,6,12,12,4,7,5,20,14,4,9,8,-,6,2,9,*,3,-,6,5,5,2,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 77,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp group(s),ONLINE Fieldwork: 11th to 13th September 2020,2,21,8,12,8,6,3,1,1,4,3,10,6,3,2,1,2,2,1,2,2,-,-,6,2,2,-,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 77,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp group(s),ONLINE Fieldwork: 11th to 13th September 2020,1 - Do not trust at all,5,4,1,1,1,2,-,2,-,-,4,1,-,-,-,-,2,-,-,-,-,-,2,-,1,-,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 77,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp group(s),ONLINE Fieldwork: 11th to 13th September 2020,NET: Do not trust,26,13,13,10,7,5,1,3,4,3,14,7,3,2,1,2,4,1,2,2,-,-,9,2,3,-,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 77,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp group(s),ONLINE Fieldwork: 11th to 13th September 2020,Mean,3.01,3.07,2.94,2.72,2.81,3.04,3.24,3.29,2.65,3.13,2.82,2.96,3.28,3.38,2.97,2,2.84,2.92,3.18,3.65,3,5,2.76,3.17,2.86,3,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 77,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp group(s),ONLINE Fieldwork: 11th to 13th September 2020,Standard deviation Standard error,0.95,1.03,0.85,1.01,1.03,0.97,0.73,1.26,0.5,0.93,0.94,0.9,1,0.96,0.4,-,1.26,0.79,0.79,1.17,*,-,1.01,0.85,1.05,*,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 53,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp group(s),ONLINE Fieldwork: 17th to 19th April 2020,Unweighted base,105,56,49,17,15,25,23,18,13,9,41,32,13,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 53,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp group(s),ONLINE Fieldwork: 17th to 19th April 2020,Weighted base,109*,55*,54*,19**,18**,23**,23**,20**,13**,9**,42*,30**,18**,19**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 53,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp group(s),ONLINE Fieldwork: 17th to 19th April 2020,NET: Trust,23,15,9,3,3,5,8,2,2,3,10,2,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 53,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp group(s),ONLINE Fieldwork: 17th to 19th April 2020,5 - Trust completely,8,6,2,2,2,1,3,-,1,1,3,-,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 53,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp group(s),ONLINE Fieldwork: 17th to 19th April 2020,4,16,9,7,1,1,4,6,2,1,2,7,2,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 53,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp group(s),ONLINE Fieldwork: 17th to 19th April 2020,3,55,24,31,13,11,9,11,10,8,4,24,15,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 53,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp group(s),ONLINE Fieldwork: 17th to 19th April 2020,2,29,16,13,4,4,9,3,8,3,2,8,12,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 53,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp group(s),ONLINE Fieldwork: 17th to 19th April 2020,1 - Do not trust at all,2,1,1,-,-,*,1,1,-,-,-,1,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 53,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp group(s),ONLINE Fieldwork: 17th to 19th April 2020,NET: Do not trust,31,17,14,4,4,10,3,8,3,2,8,13,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 53,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp group(s),ONLINE Fieldwork: 17th to 19th April 2020,Mean,2.99,3.05,2.92,3.08,3.09,2.81,3.29,2.68,2.94,3.23,3.11,2.62,3.18,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 53,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp group(s),ONLINE Fieldwork: 17th to 19th April 2020,Standard deviation Standard error,0.88,0.97,0.78,0.87,0.9,0.89,0.97,0.72,0.81,0.95,0.8,0.67,1.14,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 61,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp group(s),ONLINE Fieldwork: 15th to 17th May 2020,Unweighted base,90,46,44,18,17,27,20,8,5,12,34,30,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 61,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp group(s),ONLINE Fieldwork: 15th to 17th May 2020,Weighted base,94*,51*,44*,21**,19**,28**,22**,7**,7**,10**,33**,33**,16**,12**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 61,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp group(s),ONLINE Fieldwork: 15th to 17th May 2020,NET: Trust,26,14,12,5,5,7,7,2,4,2,7,6,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 61,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp group(s),ONLINE Fieldwork: 15th to 17th May 2020,5 - Trust completely,8,3,5,3,3,-,2,1,2,1,2,2,4,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 61,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp group(s),ONLINE Fieldwork: 15th to 17th May 2020,4,18,11,8,2,2,7,5,1,2,1,5,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 61,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp group(s),ONLINE Fieldwork: 15th to 17th May 2020,3,46,25,22,7,5,16,12,5,1,6,18,18,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 61,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp group(s),ONLINE Fieldwork: 15th to 17th May 2020,2,19,11,8,7,7,6,2,1,1,2,8,7,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 61,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp group(s),ONLINE Fieldwork: 15th to 17th May 2020,1 - Do not trust at all,3,1,2,3,3,-,*,-,-,-,-,1,1,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 61,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp group(s),ONLINE Fieldwork: 15th to 17th May 2020,NET: Do not trust,22,12,9,9,9,6,3,1,1,2,8,9,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 61,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp group(s),ONLINE Fieldwork: 15th to 17th May 2020,Mean,3.1,3.08,3.13,2.8,2.78,3.04,3.25,3.24,3.68,3.1,3.02,2.94,3.58,3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 61,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp group(s),ONLINE Fieldwork: 15th to 17th May 2020,Standard deviation Standard error,0.92,0.89,0.97,1.21,1.27,0.68,0.84,0.84,1.19,0.84,0.8,0.86,1.19,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 69,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp group(s),ONLINE Fieldwork: 29th to 31st May 2020,Unweighted base,85,44,41,11,10,23,20,13,7,11,33,22,14,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 69,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp group(s),ONLINE Fieldwork: 29th to 31st May 2020,Weighted base,91*,50*,41*,13**,12**,27**,23**,10**,6**,12**,37**,21**,13**,21**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 69,Q5. Trust in the sources for information/news about Coronavirus used in last week: WhatsApp group(s),ONLINE Fieldwork: 29th to 31st May 2020,NET: Trust,30,17,13,6,6,7,11,2,2,3,9,5,5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
