table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 93,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,2058,992,1066,257,228,350,317,362,323,449,570,574,450,464,186,87,209,169,177,162,112,186,262,266,179,63,1697,,,
Table 93,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,2056,1010,1045,286,248,338,314,353,297,468,561,581,416,497,171,83*,228,167,179,148,98*,193,269,280,177,62*,1725,,,
Table 93,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 11th to 13th September 2020,NET: Top 2 box,272,156,117,58,53,68,50,45,27,24,86,58,63,66,19,14,30,27,35,19,10,20,43,33,16,7,236,,,
Table 93,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 11th to 13th September 2020,5 - Relying completely on people I know/people in my local area/people on social media,64,35,29,11,11,16,17,11,4,6,15,13,18,19,7,3,10,1,14,4,2,4,9,7,2,1,55,,,
Table 93,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 11th to 13th September 2020,4,208,121,87,47,42,52,34,34,23,18,71,46,45,47,12,11,20,26,21,14,9,15,34,26,14,7,181,,,
Table 93,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 11th to 13th September 2020,3,651,283,369,98,79,108,117,101,78,148,154,170,148,178,59,24,75,60,57,50,41,70,67,78,56,14,537,,,
Table 93,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 11th to 13th September 2020,2,632,316,316,97,85,103,90,106,99,138,177,194,114,147,48,31,71,46,53,48,21,63,88,91,53,20,544,,,
Table 93,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 11th to 13th September 2020,1 - Relying completely on media/official sources,500,256,244,33,30,59,57,101,92,158,144,158,91,107,45,15,52,35,34,31,26,40,72,78,51,21,408,,,
Table 93,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 11th to 13th September 2020,NET: Bottom 2 box,1132,572,560,130,115,162,147,207,191,296,321,353,205,254,93,46,124,80,87,79,47,103,160,169,105,40,952,,,
Table 93,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 11th to 13th September 2020,Mean,2.37ij,2.37,2.37,2.67ah,2.67ah,2.60ah,2.56ah,2.29j,2.15,2.09,2.35,2.24,2.48al,2.44l,2.34,2.48,2.4,2.48xy,2.60ao,2.41,2.38,2.38,2.33,2.26,2.22,2.15,2.38,,,
