table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i)
Table 69,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,2105,1010,1095,265,234,336,342,379,317,466,600,510,448,547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 69,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,2106,1029,1077,292,256,347,325,362,305,475,573,596,427,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 69,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 9th to 13th April 2020,Yes,1049,531,519,173,158,188,184,157,128,219,322,305,202,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 69,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 9th to 13th April 2020,No,579,296,282,67,55,85,77,118,97,134,166,147,119,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 69,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 9th to 13th April 2020,Don't know,477,202,275,51,43,74,65,87,79,121,85,144,105,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 69,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 17th to 19th April 2020,Unweighted base,2122,1097,1025,298,267,336,346,368,309,465,626,638,306,552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 69,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 17th to 19th April 2020,Weighted base,2125,1038,1087,293,266,356,327,366,306,478,578,601,433,513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 69,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 17th to 19th April 2020,Yes,929,451,478,140,130,170,135,159,130,196,273,271,193,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 69,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 17th to 19th April 2020,No,698,362,336,105,93,107,107,121,99,158,192,199,135,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 69,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 17th to 19th April 2020,Don't know,498,225,273,49,43,79,84,86,77,123,114,131,105,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 78,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 15th to 17th May 2020,Unweighted base,2092,1030,1062,256,226,354,346,368,305,463,605,570,402,515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 78,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 15th to 17th May 2020,Weighted base,2091,1021,1070,287,247,350,324,360,300,470,570,594,421,506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 78,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 15th to 17th May 2020,Yes,903,455,448,141,121,169,143,145,129,175,271,260,189,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 78,Q8. Whether came across information/news about Coronavirus that you think has been false/missing in last week,ONLINE Fieldwork: 15th to 17th May 2020,No,666,324,343,98,83,106,100,107,99,156,185,182,128,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
