table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 105,Which of the following best describes where you live?,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,2127,1021,1106,267,236,343,347,383,319,468,606,513,453,555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 105,Which of the following best describes where you live?,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,2127,1040,1087,294,258,355,329,366,306,477,578,600,432,517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 105,Which of the following best describes where you live?,ONLINE Fieldwork: 9th to 13th April 2020,NET: Urban,1755,866,889,251,219,302,289,290,249,375,474,504,335,441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 105,Which of the following best describes where you live?,ONLINE Fieldwork: 9th to 13th April 2020,"Urban - Population over 10,000",933,500,433,145,129,158,157,150,134,189,282,268,157,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 105,Which of the following best describes where you live?,ONLINE Fieldwork: 9th to 13th April 2020,Town and Fringe,822,367,456,106,90,143,132,140,115,186,192,237,178,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 105,Which of the following best describes where you live?,ONLINE Fieldwork: 9th to 13th April 2020,NET: Rural,372,174,198,43,39,53,41,76,58,102,104,95,96,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 105,Which of the following best describes where you live?,ONLINE Fieldwork: 9th to 13th April 2020,Village,332,157,175,38,34,50,37,66,52,89,89,90,83,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 105,Which of the following best describes where you live?,ONLINE Fieldwork: 9th to 13th April 2020,Hamlet & Isolated Dwelling,40,17,23,5,5,3,4,10,6,12,15,5,13,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 154,Which of the following best describes where you live?,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,2098,1007,1091,261,230,362,326,369,329,451,580,582,460,476,190,87,212,173,181,164,113,190,269,272,182,65,1730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 154,Which of the following best describes where you live?,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,2098,1026,1072,289,249,350,325,361,302,471,570,592,426,510,175,83*,232,171,183,151,100*,197,277,287,179,63*,1760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 154,Which of the following best describes where you live?,ONLINE Fieldwork: 11th to 13th September 2020,NET: Urban,1691,840,851,244,215,309,279,284,226,348,449,496,324,423,134,69,206,123,165,104,66,149,274,227,127,48,1444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 154,Which of the following best describes where you live?,ONLINE Fieldwork: 11th to 13th September 2020,"Urban - Population over 10,000",909,482,427,160,145,184,149,137,107,172,264,278,147,220,86,34,86,65,84,51,32,60,234,92,62,22,769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 154,Which of the following best describes where you live?,ONLINE Fieldwork: 11th to 13th September 2020,Town and Fringe,783,359,424,84,70,125,130,148,120,176,186,218,176,203,48,34,120,58,81,52,34,89,40,135,65,26,675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 154,Which of the following best describes where you live?,ONLINE Fieldwork: 11th to 13th September 2020,NET: Rural,407,185,221,45,34,41,45,76,76,123,121,96,102,87,40,15,26,48,18,47,34,48,3,60,52,15,317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 154,Which of the following best describes where you live?,ONLINE Fieldwork: 11th to 13th September 2020,Village,359,157,202,41,29,37,43,63,61,113,107,82,90,80,33,15,24,47,16,43,30,45,3,53,40,9,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 154,Which of the following best describes where you live?,ONLINE Fieldwork: 11th to 13th September 2020,Hamlet & Isolated Dwelling,48,28,19,4,4,3,2,13,15,10,14,14,12,8,7,-,2,1,2,4,4,4,-,7,11,6,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 94,Which of the following best describes where you live?,ONLINE Fieldwork: 17th to 19th April 2020,Unweighted base,2136,1106,1030,299,268,338,352,370,311,466,629,639,307,561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 94,Which of the following best describes where you live?,ONLINE Fieldwork: 17th to 19th April 2020,Weighted base,2136,1045,1091,295,268,357,331,367,308,479,581,602,434,519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 94,Which of the following best describes where you live?,ONLINE Fieldwork: 17th to 19th April 2020,NET: Urban,1678,842,836,251,229,298,277,283,233,335,446,481,322,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 94,Which of the following best describes where you live?,ONLINE Fieldwork: 17th to 19th April 2020,"Urban - Population over 10,000",885,483,402,134,124,178,154,139,120,159,243,272,168,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 94,Which of the following best describes where you live?,ONLINE Fieldwork: 17th to 19th April 2020,Town and Fringe,793,359,434,118,104,120,123,143,114,176,204,209,155,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 94,Which of the following best describes where you live?,ONLINE Fieldwork: 17th to 19th April 2020,NET: Rural,458,202,256,44,39,58,54,85,74,144,135,122,111,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 94,Which of the following best describes where you live?,ONLINE Fieldwork: 17th to 19th April 2020,Village,387,170,217,40,35,51,48,68,60,121,113,108,89,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 94,Which of the following best describes where you live?,ONLINE Fieldwork: 17th to 19th April 2020,Hamlet & Isolated Dwelling,71,32,38,4,4,7,6,17,14,23,22,14,22,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 103,Which of the following best describes where you live?,ONLINE Fieldwork: 15th to 17th May 2020,Unweighted base,2105,1038,1067,258,227,355,349,371,307,465,608,570,407,520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 103,Which of the following best describes where you live?,ONLINE Fieldwork: 15th to 17th May 2020,Weighted base,2105,1029,1076,290,248,351,326,362,303,472,573,594,427,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 103,Which of the following best describes where you live?,ONLINE Fieldwork: 15th to 17th May 2020,NET: Urban,1680,823,857,248,214,311,281,280,228,333,459,462,351,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
