date,confirmed,deaths,recovered,confirmed_diff,deaths_diff,recovered_diff,last_update,active,active_diff,fatality_rate,iso,name,province,lat,long,cities
2020-01-23,0,0,0,0,0,0,2020-01-23 17:00:00,0,0,0.0,BRA,Brazil,,-14.2350,-51.9253,[]
2020-02-26,1,0,0,1,0,0,2020-02-26 23:53:02,1,1,0.0,BRA,Brazil,,-14.2350,-51.9253,[]
2020-02-27,1,0,0,0,0,0,2020-02-26 23:53:02,1,0,0.0,BRA,Brazil,,-14.2350,-51.9253,[]
2020-02-28,1,0,0,0,0,0,2020-02-26 23:53:02,1,0,0.0,BRA,Brazil,,-14.2350,-51.9253,[]
2020-02-29,2,0,0,1,0,0,2020-02-29 21:03:05,2,1,0.0,BRA,Brazil,,-14.2350,-51.9253,[]
2020-03-01,2,0,0,0,0,0,2020-02-29 21:03:05,2,0,0.0,BRA,Brazil,,-14.2350,-51.9253,[]
2020-03-02,2,0,0,0,0,0,2020-02-29 21:03:05,2,0,0.0,BRA,Brazil,,-14.2350,-51.9253,[]
2020-03-03,2,0,0,0,0,0,2020-02-29 21:03:05,2,0,0.0,BRA,Brazil,,-14.2350,-51.9253,[]
2020-03-04,4,0,0,2,0,0,2020-03-04 20:33:02,4,2,0.0,BRA,Brazil,,-14.2350,-51.9253,[]
2020-03-05,4,0,0,0,0,0,2020-03-04 20:33:02,4,0,0.0,BRA,Brazil,,-14.2350,-51.9253,[]
2020-03-06,13,0,0,9,0,0,2020-03-06 20:33:03,13,9,0.0,BRA,Brazil,,-14.2350,-51.9253,[]
2020-03-07,13,0,0,0,0,0,2020-03-06 20:33:03,13,0,0.0,BRA,Brazil,,-14.2350,-51.9253,[]
2020-03-08,20,0,0,7,0,0,2020-03-08 17:23:07,20,7,0.0,BRA,Brazil,,-14.2350,-51.9253,[]
2020-03-09,25,0,0,5,0,0,2020-03-09 10:13:06,25,5,0.0,BRA,Brazil,,-14.2350,-51.9253,[]
2020-03-10,31,0,0,6,0,0,2020-03-10 16:53:13,31,6,0.0,BRA,Brazil,,-14.2350,-51.9253,[]
2020-03-11,38,0,0,7,0,0,2020-03-11 22:13:12,38,7,0.0,BRA,Brazil,,-14.2350,-51.9253,[]
2020-03-12,52,0,0,14,0,0,2020-03-12 01:33:03,52,14,0.0,BRA,Brazil,,-14.2350,-51.9253,[]
