date,confirmed,deaths,recovered,confirmed_diff,deaths_diff,recovered_diff,last_update,active,active_diff,fatality_rate,iso,name,province,lat,long,cities
2020-01-30,1,0,0,0,0,0,2020-01-30 16:00:00,1,0,0.0,IND,India,,20.5937,78.9629,[]
2020-01-31,1,0,0,0,0,0,2020-01-31 23:59:00,1,0,0.0,IND,India,,20.5937,78.9629,[]
2020-02-01,1,0,0,0,0,0,2020-01-31 08:15:00,1,0,0.0,IND,India,,20.5937,78.9629,[]
2020-02-02,2,0,0,1,0,0,2020-02-02 06:03:08,2,1,0.0,IND,India,,20.5937,78.9629,[]
2020-02-03,3,0,0,1,0,0,2020-02-03 21:43:02,3,1,0.0,IND,India,,20.5937,78.9629,[]
2020-02-04,3,0,0,0,0,0,2020-02-03 21:43:02,3,0,0.0,IND,India,,20.5937,78.9629,[]
2020-02-05,3,0,0,0,0,0,2020-02-03 21:43:02,3,0,0.0,IND,India,,20.5937,78.9629,[]
2020-02-06,3,0,0,0,0,0,2020-02-03 21:43:02,3,0,0.0,IND,India,,20.5937,78.9629,[]
2020-02-07,3,0,0,0,0,0,2020-02-03 21:43:02,3,0,0.0,IND,India,,20.5937,78.9629,[]
2020-02-08,3,0,0,0,0,0,2020-02-03 21:43:02,3,0,0.0,IND,India,,20.5937,78.9629,[]
2020-02-09,3,0,0,0,0,0,2020-02-03 21:43:02,3,0,0.0,IND,India,,20.5937,78.9629,[]
2020-02-10,3,0,0,0,0,0,2020-02-03 21:43:02,3,0,0.0,IND,India,,20.5937,78.9629,[]
2020-02-11,3,0,0,0,0,0,2020-02-03 21:43:02,3,0,0.0,IND,India,,20.5937,78.9629,[]
2020-02-12,3,0,0,0,0,0,2020-02-03 21:43:02,3,0,0.0,IND,India,,20.5937,78.9629,[]
2020-02-13,3,0,0,0,0,0,2020-02-13 18:53:02,3,0,0.0,IND,India,,20.5937,78.9629,[]
2020-02-14,3,0,0,0,0,0,2020-02-13 18:53:02,3,0,0.0,IND,India,,20.5937,78.9629,[]
2020-02-15,3,0,0,0,0,0,2020-02-13 18:53:02,3,0,0.0,IND,India,,20.5937,78.9629,[]
2020-02-16,3,0,3,0,0,3,2020-02-16 07:43:02,0,-3,0.0,IND,India,,20.5937,78.9629,[]
2020-02-17,3,0,3,0,0,0,2020-02-16 07:43:02,0,0,0.0,IND,India,,20.5937,78.9629,[]
2020-02-18,3,0,3,0,0,0,2020-02-16 07:43:02,0,0,0.0,IND,India,,20.5937,78.9629,[]
2020-02-19,3,0,3,0,0,0,2020-02-16 07:43:02,0,0,0.0,IND,India,,20.5937,78.9629,[]
