date,confirmed,deaths,recovered,confirmed_diff,deaths_diff,recovered_diff,last_update,active,active_diff,fatality_rate,iso,name,province,lat,long,cities
2020-01-31,2,0,0,0,0,0,2020-01-31 23:59:00,2,0,0.0,ITA,Italy,,41.8719,12.5674,[]
2020-02-01,2,0,0,0,0,0,2020-01-31 08:15:00,2,0,0.0,ITA,Italy,,41.8719,12.5674,[]
2020-02-02,2,0,0,0,0,0,2020-01-31 08:15:53,2,0,0.0,ITA,Italy,,41.8719,12.5674,[]
2020-02-03,2,0,0,0,0,0,2020-01-31 08:15:53,2,0,0.0,ITA,Italy,,41.8719,12.5674,[]
2020-02-04,2,0,0,0,0,0,2020-01-31 08:15:53,2,0,0.0,ITA,Italy,,41.8719,12.5674,[]
2020-02-05,2,0,0,0,0,0,2020-01-31 08:15:53,2,0,0.0,ITA,Italy,,41.8719,12.5674,[]
2020-02-06,2,0,0,0,0,0,2020-01-31 08:15:53,2,0,0.0,ITA,Italy,,41.8719,12.5674,[]
2020-02-07,3,0,0,1,0,0,2020-02-07 17:53:02,3,1,0.0,ITA,Italy,,41.8719,12.5674,[]
2020-02-08,3,0,0,0,0,0,2020-02-07 17:53:02,3,0,0.0,ITA,Italy,,41.8719,12.5674,[]
2020-02-09,3,0,0,0,0,0,2020-02-07 17:53:02,3,0,0.0,ITA,Italy,,41.8719,12.5674,[]
2020-02-10,3,0,0,0,0,0,2020-02-07 17:53:02,3,0,0.0,ITA,Italy,,41.8719,12.5674,[]
2020-02-11,3,0,0,0,0,0,2020-02-07 17:53:02,3,0,0.0,ITA,Italy,,41.8719,12.5674,[]
2020-02-12,3,0,0,0,0,0,2020-02-07 17:53:02,3,0,0.0,ITA,Italy,,41.8719,12.5674,[]
2020-02-13,3,0,0,0,0,0,2020-02-07 17:53:02,3,0,0.0,ITA,Italy,,41.8719,12.5674,[]
2020-02-14,3,0,0,0,0,0,2020-02-07 17:53:02,3,0,0.0,ITA,Italy,,41.8719,12.5674,[]
2020-02-15,3,0,0,0,0,0,2020-02-07 17:53:02,3,0,0.0,ITA,Italy,,41.8719,12.5674,[]
2020-02-16,3,0,0,0,0,0,2020-02-07 17:53:02,3,0,0.0,ITA,Italy,,41.8719,12.5674,[]
2020-02-17,3,0,0,0,0,0,2020-02-07 17:53:02,3,0,0.0,ITA,Italy,,41.8719,12.5674,[]
2020-02-18,3,0,0,0,0,0,2020-02-07 17:53:02,3,0,0.0,ITA,Italy,,41.8719,12.5674,[]
2020-02-19,3,0,0,0,0,0,2020-02-07 17:53:02,3,0,0.0,ITA,Italy,,41.8719,12.5674,[]
2020-02-20,3,0,0,0,0,0,2020-02-07 17:53:02,3,0,0.0,ITA,Italy,,41.8719,12.5674,[]
2020-02-21,20,1,0,17,1,0,2020-02-21 23:33:06,19,16,0.05,ITA,Italy,,41.8719,12.5674,[]
2020-02-22,62,2,1,42,1,1,2020-02-22 23:43:02,59,40,0.0323,ITA,Italy,,41.8719,12.5674,[]
2020-02-23,155,3,2,93,1,1,2020-02-23 23:43:02,150,91,0.0194,ITA,Italy,,41.8719,12.5674,[]
2020-02-24,229,7,1,74,4,-1,2020-02-24 23:43:01,221,71,0.0306,ITA,Italy,,41.8719,12.5674,[]
2020-02-25,322,10,1,93,3,0,2020-02-25 18:55:32,311,90,0.0311,ITA,Italy,,41.8719,12.5674,[]
2020-02-26,453,12,3,131,2,2,2020-02-26 23:43:03,438,127,0.0265,ITA,Italy,,41.8719,12.5674,[]
2020-02-27,655,17,45,202,5,42,2020-02-27 23:23:02,593,155,0.026,ITA,Italy,,41.8719,12.5674,[]
2020-02-28,888,21,46,233,4,1,2020-02-28 20:13:09,821,228,0.0236,ITA,Italy,,41.8719,12.5674,[]
