date,confirmed,deaths,recovered,confirmed_diff,deaths_diff,recovered_diff,last_update,active,active_diff,fatality_rate,iso,name,province,lat,long,cities
2020-03-17,990,6,984,0,0,0,2020-03-11 02:18:14,0,0,0.0061,CHN,China,Anhui,31.8257,117.2264,[]
2020-03-17,456,8,369,4,0,9,2020-03-17 10:53:03,79,-5,0.0175,CHN,China,Beijing,40.1824,116.4142,[]
2020-03-17,576,6,570,0,0,0,2020-03-15 03:53:04,0,0,0.0104,CHN,China,Chongqing,30.0572,107.8740,[]
2020-03-17,296,1,295,0,0,0,2020-03-11 02:18:14,0,0,0.0034,CHN,China,Fujian,26.0789,117.9874,[]
2020-03-17,133,2,91,0,0,0,2020-03-15 18:20:18,40,0,0.015,CHN,China,Gansu,36.0611,103.8343,[]
2020-03-17,1364,8,1307,3,0,1,2020-03-17 01:53:03,49,2,0.0059,CHN,China,Guangdong,23.3417,113.4244,[]
2020-03-17,253,2,248,1,0,0,2020-03-17 00:33:02,3,1,0.0079,CHN,China,Guangxi,23.8298,108.7881,[]
2020-03-17,147,2,144,1,0,0,2020-03-17 07:33:03,1,1,0.0136,CHN,China,Guizhou,26.8154,106.8748,[]
2020-03-17,168,6,161,0,0,0,2020-03-16 14:38:45,1,0,0.0357,CHN,China,Hainan,19.1959,109.7453,[]
2020-03-17,318,6,310,0,0,0,2020-03-13 11:09:03,2,0,0.0189,CHN,China,Hebei,38.0428,114.5149,[]
2020-03-17,482,13,456,0,0,1,2020-03-17 01:33:02,13,-1,0.027,CHN,China,Heilongjiang,47.8620,127.7615,[]
2020-03-17,1273,22,1250,0,0,0,2020-03-14 09:53:08,1,0,0.0173,CHN,China,Henan,33.8820,113.6140,[]
2020-03-17,162,4,88,7,0,4,2020-03-17 10:13:11,70,3,0.0247,CHN,China,Hong Kong,22.3000,114.2000,[]
2020-03-17,67799,3111,56003,1,12,861,2020-03-17 11:53:10,8685,-872,0.0459,CHN,China,Hubei,30.9756,112.2707,[]
2020-03-17,1018,4,1014,0,0,0,2020-03-14 08:33:03,0,0,0.0039,CHN,China,Hunan,27.6104,111.7088,[]
2020-03-17,75,1,73,0,0,0,2020-03-16 14:38:45,1,0,0.0133,CHN,China,Inner Mongolia,44.0935,113.9448,[]
2020-03-17,631,0,631,0,0,0,2020-03-15 01:53:02,0,0,0.0,CHN,China,Jiangsu,32.9711,119.4550,[]
2020-03-17,935,1,934,0,0,0,2020-03-12 02:13:04,0,0,0.0011,CHN,China,Jiangxi,27.6140,115.7221,[]
2020-03-17,93,1,92,0,0,0,2020-03-16 00:22:10,0,0,0.0108,CHN,China,Jilin,43.6661,126.1923,[]
2020-03-17,125,1,120,0,0,5,2020-03-17 12:13:13,4,-5,0.008,CHN,China,Liaoning,41.2956,122.6085,[]
2020-03-17,12,0,10,1,0,0,2020-03-17 04:32:18,2,1,0.0,CHN,China,Macau,22.1667,113.5500,[]
2020-03-17,75,0,75,0,0,0,2020-03-16 14:38:45,0,0,0.0,CHN,China,Ningxia,37.2692,106.1655,[]
2020-03-17,18,0,18,0,0,0,2020-03-11 02:18:14,0,0,0.0,CHN,China,Qinghai,35.7452,95.9956,[]
2020-03-17,246,3,236,1,1,3,2020-03-17 10:53:03,7,-3,0.0122,CHN,China,Shaanxi,35.1917,108.8701,[]
2020-03-17,761,7,746,1,0,0,2020-03-17 00:33:02,8,1,0.0092,CHN,China,Shandong,36.3427,118.1498,[]
2020-03-17,358,3,325,3,0,0,2020-03-17 02:13:20,30,3,0.0084,CHN,China,Shanghai,31.2020,121.4491,[]
2020-03-17,133,0,133,0,0,0,2020-03-13 11:09:03,0,0,0.0,CHN,China,Shanxi,37.5777,112.2922,[]
2020-03-17,540,3,520,1,0,4,2020-03-17 08:33:02,17,-3,0.0056,CHN,China,Sichuan,30.6171,102.7103,[]
2020-03-17,136,3,133,0,0,0,2020-03-15 18:20:18,0,0,0.0221,CHN,China,Tianjin,39.3054,117.3230,[]
2020-03-17,1,0,1,0,0,0,2020-03-11 02:18:14,0,0,0.0,CHN,China,Tibet,31.6927,88.0924,[]
2020-03-17,76,3,73,0,0,0,2020-03-11 02:18:14,0,0,0.0395,CHN,China,Xinjiang,41.1129,85.2401,[]
