,classifier,questions,response,All persons %,Most deprived %,2nd quintile %,3rd quintile %,4th quintile %,Least deprived %,All persons LCL,All persons UCL,Most deprived LCL,Most deprived UCL,2nd quintile LCL,2nd quintile UCL,3rd quintile LCL,3rd quintile UCL,4th quintile LCL,4th quintile UCL,Least deprived LCL,Least deprived UCL
1,,"Between January and March 2021, when you were in Year 11, schools were closed to most students as part of the national lockdown.
Did you attend school in person during this time, even if only for a few days or on a part-time basis?",Did not attend school in person,83,79,81,83,86,87,82,84,77,80,79,83,81,85,83,88,85,89
2,,"Between January and March 2021, when you were in Year 11, schools were closed to most students as part of the national lockdown.
Did you attend school in person during this time, even if only for a few days or on a part-time basis?",Attended school in person,17,21,19,17,14,13,16,18,20,23,17,21,15,19,12,17,11,15
4,,"Still thinking about the period of disruption in Year 11 – that is, January to March 2021.
At that time, did your school provide any real-time online learning which involved logging on and joining a lesson at a specific time, even if you didn’t personally attend? [note 2]","Yes, for subject lessons",87,81,84,89,90,93,86,88,79,83,82,86,87,90,88,91,91,94
5,,"Still thinking about the period of disruption in Year 11 – that is, January to March 2021.
At that time, did your school provide any real-time online learning which involved logging on and joining a lesson at a specific time, even if you didn’t personally attend? [note 2]","Yes, for other reasons",20,15,18,19,24,23,19,21,14,17,16,20,17,21,22,26,21,26
6,,"Still thinking about the period of disruption in Year 11 – that is, January to March 2021.
At that time, did your school provide any real-time online learning which involved logging on and joining a lesson at a specific time, even if you didn’t personally attend? [note 2]",No,6,8,7,5,4,3,5,6,7,9,6,9,4,6,3,5,2,5
9,Among those who reported that their school provided real-time online learning for subject lessons:,"Thinking only about your subject lessons, on average, during the period of disruption in Year 11 – that is, January to March 2021 – about how many live online lessons did you attend?",None,3,4,3,3,2,2,2,3,3,5,2,4,2,4,1,3,1,3
10,Among those who reported that their school provided real-time online learning for subject lessons:,"Thinking only about your subject lessons, on average, during the period of disruption in Year 11 – that is, January to March 2021 – about how many live online lessons did you attend?",Less than one a week,3,4,3,3,2,2,3,3,3,5,3,5,2,5,1,3,1,3
11,Among those who reported that their school provided real-time online learning for subject lessons:,"Thinking only about your subject lessons, on average, during the period of disruption in Year 11 – that is, January to March 2021 – about how many live online lessons did you attend?",1 to 4 per week,14,17,16,14,12,11,13,15,16,19,14,18,12,16,10,14,9,14
12,Among those who reported that their school provided real-time online learning for subject lessons:,"Thinking only about your subject lessons, on average, during the period of disruption in Year 11 – that is, January to March 2021 – about how many live online lessons did you attend?",1 to 2 per day ,13,11,13,12,13,13,11,14,10,13,12,15,11,15,11,15,11,16
13,Among those who reported that their school provided real-time online learning for subject lessons:,"Thinking only about your subject lessons, on average, during the period of disruption in Year 11 – that is, January to March 2021 – about how many live online lessons did you attend?",3 or more per day,68,64,64,67,71,72,66,70,61,67,61,67,64,70,68,74,69,75
15,Among those who reported that their school provided real-time online learning for subject lessons:,"At the start of the school term during the second period of school disruption, that is in January 2021, did you have a suitable device - for example, a laptop, tablet or Chromebook - to access online work?","Yes, I had a suitable device such as a laptop, tablet, Chromebook",89,83,87,90,93,95,89,90,82,85,85,88,89,92,91,94,94,96
16,Among those who reported that their school provided real-time online learning for subject lessons:,"At the start of the school term during the second period of school disruption, that is in January 2021, did you have a suitable device - for example, a laptop, tablet or Chromebook - to access online work?",I could only access online work via a mobile,7,12,9,7,5,3,7,8,11,13,8,11,6,8,4,7,3,5
17,Among those who reported that their school provided real-time online learning for subject lessons:,"At the start of the school term during the second period of school disruption, that is in January 2021, did you have a suitable device - for example, a laptop, tablet or Chromebook - to access online work?",No access to any device,3,5,4,3,2,1,3,3,4,6,3,5,2,4,1,2,1,2
19,Among those who reported that their school provided real-time online learning for subject lessons:,"Did your school provide you with any digital devices - for example a laptop, tablet or Chromebook - to help you study at home during the second period of disruption in Year 11, that is January to March 2021?",Yes,30,45,35,26,21,16,28,31,43,48,33,38,23,28,18,23,14,19
20,Among those who reported that their school provided real-time online learning for subject lessons:,"Did your school provide you with any digital devices - for example a laptop, tablet or Chromebook - to help you study at home during the second period of disruption in Year 11, that is January to March 2021?",No,70,55,65,74,79,84,69,72,52,57,62,67,72,77,77,82,81,86
22,Among those who reported that their school provided real-time online learning for subject lessons:,"Apart from any contact with teachers about subjects you were learning, about how often during the second period of school disruption in Year 11 – that is, January to March 2021 - did you have any other contact with teachers or form tutors?",At least weekly,53,52,52,52,56,53,52,55,50,54,50,55,50,55,53,59,50,57
23,Among those who reported that their school provided real-time online learning for subject lessons:,"Apart from any contact with teachers about subjects you were learning, about how often during the second period of school disruption in Year 11 – that is, January to March 2021 - did you have any other contact with teachers or form tutors?",At least monthly (less than weekly),17,17,17,16,18,18,16,18,16,19,15,19,14,18,16,20,16,21
24,Among those who reported that their school provided real-time online learning for subject lessons:,"Apart from any contact with teachers about subjects you were learning, about how often during the second period of school disruption in Year 11 – that is, January to March 2021 - did you have any other contact with teachers or form tutors?",Less than monthly or not at all,29,31,31,31,26,28,28,31,29,33,29,33,29,34,24,29,25,31
26,Among those who reported that their school provided real-time online learning for subject lessons:,"Still thinking back to the second period of school disruption in Year 11 – that is, January to March 2021. On average, on about how many days a week did you spend time on school work, even if not for a whole day?",None,6,8,6,6,5,5,6,7,7,9,5,7,5,8,4,6,4,7
27,Among those who reported that their school provided real-time online learning for subject lessons:,"Still thinking back to the second period of school disruption in Year 11 – that is, January to March 2021. On average, on about how many days a week did you spend time on school work, even if not for a whole day?",1 to 5 days,82,82,83,81,83,81,81,82,80,83,81,84,79,83,80,85,78,83
