,classifier,questions,response,All persons %,Most deprived %,2nd quintile %,3rd quintile %,4th quintile %,Least deprived %,All persons LCL,All persons UCL,Most deprived LCL,Most deprived UCL,2nd quintile LCL,2nd quintile UCL,3rd quintile LCL,3rd quintile UCL,4th quintile LCL,4th quintile UCL,Least deprived LCL,Least deprived UCL
1,,"During Year 11, did you attend school in person at any point during the year even if you did not attend the whole time?",Yes,97,95,96,97,98,98,96,97,94,96,95,97,96,98,98,99,97,99
2,,"During Year 11, did you attend school in person at any point during the year even if you did not attend the whole time?","In Year 11, I was home-schooled for the whole year",3,5,4,3,2,2,3,4,4,6,3,5,2,4,1,2,1,3
5,Among those who attended school in person at any point during Year 11:,"Still thinking about these periods when most schools were open – that is September to December 2020 and March to July 2021. During these times, how many days of school or college in total were you unable to attend in person as a result of COVID-19 or possible COVID-19 cases?
Please include term-time closures during the period when most schools were open.",None,10,9,10,9,10,10,9,11,7,11,8,13,7,11,8,12,8,14
6,Among those who attended school in person at any point during Year 11:,"Still thinking about these periods when most schools were open – that is September to December 2020 and March to July 2021. During these times, how many days of school or college in total were you unable to attend in person as a result of COVID-19 or possible COVID-19 cases?
Please include term-time closures during the period when most schools were open.",1 to 5 days  / up to a week,18,17,18,17,18,18,16,19,15,19,15,21,14,20,15,21,15,21
7,Among those who attended school in person at any point during Year 11:,"Still thinking about these periods when most schools were open – that is September to December 2020 and March to July 2021. During these times, how many days of school or college in total were you unable to attend in person as a result of COVID-19 or possible COVID-19 cases?
Please include term-time closures during the period when most schools were open.",6 to 10 days / 2 to 3 weeks,31,30,30,31,31,32,29,33,27,32,27,34,28,35,28,35,28,36
8,Among those who attended school in person at any point during Year 11:,"Still thinking about these periods when most schools were open – that is September to December 2020 and March to July 2021. During these times, how many days of school or college in total were you unable to attend in person as a result of COVID-19 or possible COVID-19 cases?
Please include term-time closures during the period when most schools were open.",11 to 20 days / 3 to 4 weeks,24,23,25,25,25,22,22,25,21,26,22,28,22,28,22,28,19,25
9,Among those who attended school in person at any point during Year 11:,"Still thinking about these periods when most schools were open – that is September to December 2020 and March to July 2021. During these times, how many days of school or college in total were you unable to attend in person as a result of COVID-19 or possible COVID-19 cases?
Please include term-time closures during the period when most schools were open.",More than 20 days / More than 4 weeks,18,21,17,18,16,18,17,20,19,24,14,19,15,21,13,19,14,22
13,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?","During Year 11, did your school offer you any of the following to help you catch up on learning missed due to COVID-19 disruption/ or to support you if you had to stay at home?","My school offered this to me, and I took it up",14,19,15,12,12,9,13,14,17,21,13,17,10,14,10,13,8,11
14,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?","During Year 11, did your school offer you any of the following to help you catch up on learning missed due to COVID-19 disruption/ or to support you if you had to stay at home?","My school offered this to me, but I didn't take it up",13,12,13,13,13,14,12,14,11,13,11,14,11,15,11,15,12,16
15,"Thinking about the disruption to your education as a result of the COVID-19 pandemic, how much do you agree or disagree with the following statements?","During Year 11, did your school offer you any of the following to help you catch up on learning missed due to COVID-19 disruption/ or to support you if you had to stay at home?","No, not offered to me by my school",74,69,72,76,76,76,72,75,67,71,70,74,73,78,73,78,74,79
