table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 113,Do you have a longstanding physical or mental condition or disability that has lasted or is likely to last 12 months,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,2127,1021,1106,267,236,343,347,383,319,468,606,513,453,555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 113,Do you have a longstanding physical or mental condition or disability that has lasted or is likely to last 12 months,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,2127,1040,1087,294,258,355,329,366,306,477,578,600,432,517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 113,Do you have a longstanding physical or mental condition or disability that has lasted or is likely to last 12 months,ONLINE Fieldwork: 9th to 13th April 2020,NET: Yes,493,211,282,39,35,56,57,111,97,134,95,119,89,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 113,Do you have a longstanding physical or mental condition or disability that has lasted or is likely to last 12 months,ONLINE Fieldwork: 9th to 13th April 2020,Yes - physical condition,321,134,187,10,8,23,30,72,72,113,57,75,60,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 113,Do you have a longstanding physical or mental condition or disability that has lasted or is likely to last 12 months,ONLINE Fieldwork: 9th to 13th April 2020,Yes - mental condition,211,89,122,31,30,40,39,62,29,10,43,44,32,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 113,Do you have a longstanding physical or mental condition or disability that has lasted or is likely to last 12 months,ONLINE Fieldwork: 9th to 13th April 2020,Yes - disability,143,63,80,10,8,10,14,27,34,48,20,34,28,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 113,Do you have a longstanding physical or mental condition or disability that has lasted or is likely to last 12 months,ONLINE Fieldwork: 9th to 13th April 2020,Yes - other,21,10,11,-,-,2,1,4,9,5,4,4,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 113,Do you have a longstanding physical or mental condition or disability that has lasted or is likely to last 12 months,ONLINE Fieldwork: 9th to 13th April 2020,No,1580,807,772,246,214,288,265,252,196,333,467,469,331,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 113,Do you have a longstanding physical or mental condition or disability that has lasted or is likely to last 12 months,ONLINE Fieldwork: 9th to 13th April 2020,Prefer not to say,54,21,33,9,9,11,7,3,13,11,17,11,11,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 163,Do you have a longstanding physical or mental condition or disability that has lasted or is likely to last 12 months,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,2098,1007,1091,261,230,362,326,369,329,451,580,582,460,476,190,87,212,173,181,164,113,190,269,272,182,65,1730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 163,Do you have a longstanding physical or mental condition or disability that has lasted or is likely to last 12 months,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,2098,1026,1072,289,249,350,325,361,302,471,570,592,426,510,175,83*,232,171,183,151,100*,197,277,287,179,63*,1760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 163,Do you have a longstanding physical or mental condition or disability that has lasted or is likely to last 12 months,ONLINE Fieldwork: 11th to 13th September 2020,NET: Yes,518,237,281,58,46,48,59,110,95,148,106,125,93,193,45,22,61,46,44,40,30,54,49,75,37,14,429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 163,Do you have a longstanding physical or mental condition or disability that has lasted or is likely to last 12 months,ONLINE Fieldwork: 11th to 13th September 2020,Yes - physical condition,343,150,193,22,18,20,31,79,71,121,60,78,70,135,28,16,39,36,32,31,18,32,31,47,24,10,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 163,Do you have a longstanding physical or mental condition or disability that has lasted or is likely to last 12 months,ONLINE Fieldwork: 11th to 13th September 2020,Yes - mental condition,210,97,114,43,33,36,33,47,28,22,51,46,27,87,22,10,21,18,20,12,12,20,23,32,16,4,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 163,Do you have a longstanding physical or mental condition or disability that has lasted or is likely to last 12 months,ONLINE Fieldwork: 11th to 13th September 2020,Yes - disability,157,74,83,9,6,6,18,36,35,53,24,39,17,77,13,2,17,11,15,13,12,24,20,22,5,5,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 163,Do you have a longstanding physical or mental condition or disability that has lasted or is likely to last 12 months,ONLINE Fieldwork: 11th to 13th September 2020,Yes - other,29,12,17,2,2,2,3,9,6,6,4,8,5,12,5,1,7,1,2,3,2,4,1,2,1,-,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 163,Do you have a longstanding physical or mental condition or disability that has lasted or is likely to last 12 months,ONLINE Fieldwork: 11th to 13th September 2020,No,1532,763,770,215,192,292,260,242,206,317,451,451,324,306,124,61,169,122,135,106,68,142,215,202,140,49,1292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 163,Do you have a longstanding physical or mental condition or disability that has lasted or is likely to last 12 months,ONLINE Fieldwork: 11th to 13th September 2020,Prefer not to say,48,27,21,16,11,11,6,8,1,6,13,16,9,10,6,-,2,3,4,5,2,2,12,10,3,-,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 104,Do you have a longstanding physical or mental condition or disability that has lasted or is likely to last 12 months,ONLINE Fieldwork: 17th to 19th April 2020,Unweighted base,2136,1106,1030,299,268,338,352,370,311,466,629,639,307,561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 104,Do you have a longstanding physical or mental condition or disability that has lasted or is likely to last 12 months,ONLINE Fieldwork: 17th to 19th April 2020,Weighted base,2136,1045,1091,295,268,357,331,367,308,479,581,602,434,519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 104,Do you have a longstanding physical or mental condition or disability that has lasted or is likely to last 12 months,ONLINE Fieldwork: 17th to 19th April 2020,NET: Yes,486,232,254,51,45,60,62,95,91,128,102,125,91,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 104,Do you have a longstanding physical or mental condition or disability that has lasted or is likely to last 12 months,ONLINE Fieldwork: 17th to 19th April 2020,Yes - physical condition,295,140,154,17,14,24,33,51,64,105,56,74,54,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 104,Do you have a longstanding physical or mental condition or disability that has lasted or is likely to last 12 months,ONLINE Fieldwork: 17th to 19th April 2020,Yes - mental condition,228,92,136,42,38,46,43,49,33,15,44,46,46,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 104,Do you have a longstanding physical or mental condition or disability that has lasted or is likely to last 12 months,ONLINE Fieldwork: 17th to 19th April 2020,Yes - disability,135,57,78,8,5,17,12,29,29,39,22,38,16,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 104,Do you have a longstanding physical or mental condition or disability that has lasted or is likely to last 12 months,ONLINE Fieldwork: 17th to 19th April 2020,Yes - other,17,13,3,1,1,2,2,4,4,4,4,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 104,Do you have a longstanding physical or mental condition or disability that has lasted or is likely to last 12 months,ONLINE Fieldwork: 17th to 19th April 2020,No,1600,786,814,237,217,288,258,258,212,347,469,463,332,335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 104,Do you have a longstanding physical or mental condition or disability that has lasted or is likely to last 12 months,ONLINE Fieldwork: 17th to 19th April 2020,Prefer not to say,50,27,23,7,6,8,12,15,5,4,9,14,11,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 112,Do you have a longstanding physical or mental condition or disability that has lasted or is likely to last 12 months,ONLINE Fieldwork: 15th to 17th May 2020,Unweighted base,2105,1038,1067,258,227,355,349,371,307,465,608,570,407,520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 112,Do you have a longstanding physical or mental condition or disability that has lasted or is likely to last 12 months,ONLINE Fieldwork: 15th to 17th May 2020,Weighted base,2105,1029,1076,290,248,351,326,362,303,472,573,594,427,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 112,Do you have a longstanding physical or mental condition or disability that has lasted or is likely to last 12 months,ONLINE Fieldwork: 15th to 17th May 2020,NET: Yes,500,236,264,43,33,53,70,107,95,132,97,136,87,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 112,Do you have a longstanding physical or mental condition or disability that has lasted or is likely to last 12 months,ONLINE Fieldwork: 15th to 17th May 2020,Yes - physical condition,333,157,175,15,10,24,39,76,70,109,62,94,62,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 112,Do you have a longstanding physical or mental condition or disability that has lasted or is likely to last 12 months,ONLINE Fieldwork: 15th to 17th May 2020,Yes - mental condition,214,92,122,34,27,36,49,52,27,16,42,52,37,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 112,Do you have a longstanding physical or mental condition or disability that has lasted or is likely to last 12 months,ONLINE Fieldwork: 15th to 17th May 2020,Yes - disability,150,74,76,11,5,9,20,37,31,42,21,34,21,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 112,Do you have a longstanding physical or mental condition or disability that has lasted or is likely to last 12 months,ONLINE Fieldwork: 15th to 17th May 2020,Yes - other,18,7,11,*,-,2,1,3,5,6,4,9,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
