table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 108,"Do you have any children aged 18 or under? If so, how old are they?",ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,2127,1021,1106,267,236,343,347,383,319,468,606,513,453,555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 108,"Do you have any children aged 18 or under? If so, how old are they?",ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,2127,1040,1087,294,258,355,329,366,306,477,578,600,432,517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 108,"Do you have any children aged 18 or under? If so, how old are they?",ONLINE Fieldwork: 9th to 13th April 2020,No children aged 18 or under,1565,772,793,258,225,204,127,233,276,466,425,461,291,388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 108,"Do you have any children aged 18 or under? If so, how old are they?",ONLINE Fieldwork: 9th to 13th April 2020,NET: Yes,554,261,293,33,31,147,201,132,29,11,149,138,138,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 108,"Do you have any children aged 18 or under? If so, how old are they?",ONLINE Fieldwork: 9th to 13th April 2020,NET: Any 5-18,444,211,233,17,15,85,174,129,29,11,120,106,107,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 108,"Do you have any children aged 18 or under? If so, how old are they?",ONLINE Fieldwork: 9th to 13th April 2020,NET: Any 11-18,279,129,149,9,7,29,103,104,24,9,69,64,72,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 108,"Do you have any children aged 18 or under? If so, how old are they?",ONLINE Fieldwork: 9th to 13th April 2020,Yes - children aged under 5 years old,197,93,104,20,20,98,67,11,-,-,52,54,56,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 108,"Do you have any children aged 18 or under? If so, how old are they?",ONLINE Fieldwork: 9th to 13th April 2020,Yes - children aged 5 to 10 years old,251,115,136,10,8,73,115,44,8,1,70,66,57,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 108,"Do you have any children aged 18 or under? If so, how old are they?",ONLINE Fieldwork: 9th to 13th April 2020,Yes - children aged 11 to 15 years old,203,94,109,6,6,28,81,70,13,5,45,46,55,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 108,"Do you have any children aged 18 or under? If so, how old are they?",ONLINE Fieldwork: 9th to 13th April 2020,Yes - children aged 16 to 18 years old,126,60,66,5,3,2,35,61,17,6,34,26,30,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
