table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 107,Do you work in any of the following occupations?,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,1213,632,581,138,135,285,268,282,171,69,388,317,289,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 107,Do you work in any of the following occupations?,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,1197,651,547,146,144,295,260,267,161,68*,366,366,274,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 107,Do you work in any of the following occupations?,ONLINE Fieldwork: 9th to 13th April 2020,NET: Public Sector,341,164,177,45,45,93,69,70,53,11,125,122,55,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 107,Do you work in any of the following occupations?,ONLINE Fieldwork: 9th to 13th April 2020,A nationalised industry/state corporation,29,14,16,10,10,5,7,2,3,1,8,7,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 107,Do you work in any of the following occupations?,ONLINE Fieldwork: 9th to 13th April 2020,Central government or civil service (including Courts service and Bank of England),33,18,15,5,5,4,4,8,11,1,14,13,6,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 107,Do you work in any of the following occupations?,ONLINE Fieldwork: 9th to 13th April 2020,"Local government or council (including fire services, police and local authority controlled schools/colleges)",105,51,53,12,12,27,20,24,17,4,34,49,14,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 107,Do you work in any of the following occupations?,ONLINE Fieldwork: 9th to 13th April 2020,"A university, or other grant funded establishment (include opted-out schools)",38,19,19,3,3,12,10,7,5,-,19,11,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 107,Do you work in any of the following occupations?,ONLINE Fieldwork: 9th to 13th April 2020,A health authority or NHS Trust,74,27,47,7,7,26,15,15,11,-,29,27,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 107,Do you work in any of the following occupations?,ONLINE Fieldwork: 9th to 13th April 2020,The armed forces,6,5,1,-,-,2,3,1,-,-,1,2,2,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 107,Do you work in any of the following occupations?,ONLINE Fieldwork: 9th to 13th April 2020,Other public sector occupation (Please specify as much detail as possible),57,32,25,7,7,16,10,13,5,4,20,13,10,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 107,Do you work in any of the following occupations?,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,1197,651,547,146,144,295,260,267,161,68*,366,366,274,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 107,Do you work in any of the following occupations?,ONLINE Fieldwork: 9th to 13th April 2020,NET: Private Sector,856,486,370,101,98,201,191,197,109,58,241,244,219,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 107,Do you work in any of the following occupations?,ONLINE Fieldwork: 9th to 13th April 2020,"A charity, voluntary organisation or trust",58,19,39,8,8,16,12,9,10,2,14,23,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 107,Do you work in any of the following occupations?,ONLINE Fieldwork: 9th to 13th April 2020,Self-employed (Private sector),150,90,59,5,5,21,33,38,30,22,38,40,46,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 107,Do you work in any of the following occupations?,ONLINE Fieldwork: 9th to 13th April 2020,None of the above/ I work in the Private sector,649,378,272,87,85,164,146,150,69,33,189,181,163,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 157,Do you work in any of the following occupations?,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,1209,621,588,134,131,294,264,276,188,53,358,361,287,203,110,41,115,101,105,99,60,110,173,155,100,40,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 157,Do you work in any of the following occupations?,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,1181,632,549,153,150,284,264,263,166,51*,344,364,258,215,104*,38*,122*,101*,103*,86*,56*,112*,171,159,92*,37*,984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 157,Do you work in any of the following occupations?,ONLINE Fieldwork: 11th to 13th September 2020,NET: Public Sector,325,146,179,34,33,72,88,78,47,6,103,118,57,47,33,14,28,24,33,22,15,33,40,41,29,13,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 157,Do you work in any of the following occupations?,ONLINE Fieldwork: 11th to 13th September 2020,A nationalised industry/state corporation,31,16,15,10,10,11,5,4,2,-,10,8,9,4,1,-,3,2,3,2,-,4,4,4,8,-,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
