table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 102,How many cars are there in your household?,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,2127,1021,1106,267,236,343,347,383,319,468,606,513,453,555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 102,How many cars are there in your household?,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,2127,1040,1087,294,258,355,329,366,306,477,578,600,432,517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 102,How many cars are there in your household?,ONLINE Fieldwork: 9th to 13th April 2020,No cars in the household,446,199,247,75,69,81,79,86,55,72,77,125,51,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 102,How many cars are there in your household?,ONLINE Fieldwork: 9th to 13th April 2020,NET: Any,1681,841,840,219,189,274,251,280,252,405,502,475,381,323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 102,How many cars are there in your household?,ONLINE Fieldwork: 9th to 13th April 2020,1,863,412,450,72,63,130,119,153,138,251,234,243,173,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 102,How many cars are there in your household?,ONLINE Fieldwork: 9th to 13th April 2020,2,622,325,297,85,72,114,119,87,93,124,197,176,163,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 102,How many cars are there in your household?,ONLINE Fieldwork: 9th to 13th April 2020,3+,195,103,92,61,55,31,13,39,21,30,71,56,44,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 151,How many cars are there in your household?,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,2098,1007,1091,261,230,362,326,369,329,451,580,582,460,476,190,87,212,173,181,164,113,190,269,272,182,65,1730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 151,How many cars are there in your household?,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,2098,1026,1072,289,249,350,325,361,302,471,570,592,426,510,175,83*,232,171,183,151,100*,197,277,287,179,63*,1760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 151,How many cars are there in your household?,ONLINE Fieldwork: 11th to 13th September 2020,No cars in the household,440,190,251,56,55,88,80,86,49,82,75,138,52,176,52,18,44,32,33,19,19,34,110,41,30,7,361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 151,How many cars are there in your household?,ONLINE Fieldwork: 11th to 13th September 2020,NET: Any,1658,836,821,233,194,262,245,275,254,389,496,453,374,335,123,65,188,139,151,131,80,164,166,246,149,56,1399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 151,How many cars are there in your household?,ONLINE Fieldwork: 11th to 13th September 2020,1,851,432,419,66,60,125,136,130,141,254,250,237,163,201,72,44,99,86,64,67,38,79,97,125,59,23,719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 151,How many cars are there in your household?,ONLINE Fieldwork: 11th to 13th September 2020,2,614,310,304,101,75,113,96,105,89,111,190,166,156,102,38,19,75,38,70,51,30,64,54,88,65,23,523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
