table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s)
Table 425,,ONLINE Fieldwork: 22nd to 24th May 2020,Total,2093,1023,1070,289,247,349,324,360,301,469,569,590,425,509,175,83*,231,171,183,150,99*,197,276,286,179,63*,330,849,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 425,,ONLINE Fieldwork: 22nd to 24th May 2020,Sources, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 425,,ONLINE Fieldwork: 22nd to 24th May 2020,Broadcasters,1752,859,893,235,203,266,254,313,253,432,503,497,350,401,147,76,196,135,153,127,85,164,224,238,153,54,283,691,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 425,,ONLINE Fieldwork: 22nd to 24th May 2020,Non-BBC broadcasters,1015,495,520,107,95,138,152,202,154,263,264,270,221,260,100,51,114,77,91,63,58,79,137,124,81,41,164,394,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 425,,ONLINE Fieldwork: 22nd to 24th May 2020,BBC services,1563,787,776,207,178,232,222,263,240,399,458,460,307,338,130,68,169,121,137,114,72,151,200,217,145,40,253,614,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 425,,ONLINE Fieldwork: 22nd to 24th May 2020,Newspapers (printed and online),620,309,311,63,52,76,96,101,102,182,230,173,106,111,50,27,66,53,49,38,27,65,93,83,46,21,104,225,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 425,,ONLINE Fieldwork: 22nd to 24th May 2020,Officials,724,358,366,97,81,103,132,124,104,165,241,198,146,139,76,33,76,67,59,46,28,67,97,84,70,20,142,276,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 425,,ONLINE Fieldwork: 22nd to 24th May 2020,Social Media,814,380,434,142,127,174,159,143,86,110,238,229,166,181,90,34,94,66,64,60,28,75,95,114,69,25,159,342,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 425,,ONLINE Fieldwork: 22nd to 24th May 2020,YouTube,182,128,53,38,31,50,41,18,17,17,52,55,38,36,19,5,17,19,12,15,9,11,29,28,14,2,30,88,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 425,,ONLINE Fieldwork: 22nd to 24th May 2020,Facebook,617,271,346,93,87,130,115,118,64,98,161,155,130,171,71,25,67,50,50,45,24,57,55,94,54,24,107,259,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
