table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i)
Table 82,Q10. Whether came across any of these false or misleading recommendations about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,2105,1010,1095,265,234,336,342,379,317,466,600,510,448,547,,,,,,
Table 82,Q10. Whether came across any of these false or misleading recommendations about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,2106,1029,1077,292,256,347,325,362,305,475,573,596,427,510,,,,,,
Table 82,Q10. Whether came across any of these false or misleading recommendations about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 9th to 13th April 2020,NET: Any,1412,693,719,219,201,238,243,230,181,302,402,410,288,312,,,,,,
Table 82,Q10. Whether came across any of these false or misleading recommendations about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 9th to 13th April 2020,Theories linking the origins or causes of Coronavirus to 5G technology,1049,534,515,153,141,176,191,174,138,216,306,311,203,228,,,,,,
Table 82,Q10. Whether came across any of these false or misleading recommendations about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 9th to 13th April 2020,Drinking water more frequently,558,251,307,81,70,98,86,86,72,135,162,159,119,118,,,,,,
Table 82,Q10. Whether came across any of these false or misleading recommendations about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 9th to 13th April 2020,"Increasing use of natural remedies such as colloidal silver, essential oils, garlic, MMS (chlorine dioxide) or vitamin C",404,207,197,65,61,68,69,55,60,86,113,113,80,98,,,,,,
Table 82,Q10. Whether came across any of these false or misleading recommendations about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 9th to 13th April 2020,Gargling with salt water,357,172,185,58,53,57,61,46,52,83,106,95,78,78,,,,,,
Table 82,Q10. Whether came across any of these false or misleading recommendations about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 9th to 13th April 2020,Eating warm food/ drink and avoiding cold food/ drink,322,129,193,57,48,60,52,42,43,68,95,97,68,62,,,,,,
Table 82,Q10. Whether came across any of these false or misleading recommendations about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 9th to 13th April 2020,Drinking more lemon juice,282,155,127,34,32,38,41,49,49,71,85,75,57,64,,,,,,
Table 82,Q10. Whether came across any of these false or misleading recommendations about avoiding the Coronavirus in the last week,ONLINE Fieldwork: 9th to 13th April 2020,Inhaling steam,227,117,110,38,36,38,42,38,27,43,63,72,52,40,,,,,,
