table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 103,Q10. Whether they came across claims about Coronavirus that could be considered as false or misleading in the last week,ONLINE Fieldwork: 5th to 11th April 2021,Unweighted base,2071,1051,1020,257,227,356,311,323,336,488,600,569,391,511,178,75,211,155,180,144,127,201,288,272,166,74,1692,,,
Table 103,Q10. Whether they came across claims about Coronavirus that could be considered as false or misleading in the last week,ONLINE Fieldwork: 5th to 11th April 2021,Weighted base,2072,1018,1054,286,252,348,318,353,301,467,565,588,422,498,170,82*,231,166,179,145,99,197,278,286,177,62*,1741,,,
Table 103,Q10. Whether they came across claims about Coronavirus that could be considered as false or misleading in the last week,ONLINE Fieldwork: 5th to 11th April 2021,NET: Any,1108,565,543,173,164,217,201,163,153,201,319,312,236,241,93,37,129,95,98,82,50,93,157,151,96,29,937,,,
Table 103,Q10. Whether they came across claims about Coronavirus that could be considered as false or misleading in the last week,ONLINE Fieldwork: 5th to 11th April 2021,Face masks/coverings offer no protection or are harmful,431,230,201,68,60,77,84,71,55,75,112,125,99,95,33,18,44,46,24,35,18,43,53,66,38,11,368,,,
Table 103,Q10. Whether they came across claims about Coronavirus that could be considered as false or misleading in the last week,ONLINE Fieldwork: 5th to 11th April 2021,The number of deaths linked to Coronavirus is much lower in reality than is being reported,379,183,196,41,41,89,79,62,52,56,96,121,78,83,35,13,38,42,23,32,21,32,50,47,36,11,312,,,
Table 103,Q10. Whether they came across claims about Coronavirus that could be considered as false or misleading in the last week,ONLINE Fieldwork: 5th to 11th April 2021,The flu alone is killing more people than Coronavirus,371,182,189,48,47,81,78,56,45,63,92,98,88,92,39,11,34,36,28,27,17,30,48,60,26,13,301,,,
Table 103,Q10. Whether they came across claims about Coronavirus that could be considered as false or misleading in the last week,ONLINE Fieldwork: 5th to 11th April 2021,The Coronavirus vaccine is a cover for a plan to implant trackable microchips into people,335,162,174,59,56,71,65,48,36,55,95,88,74,79,31,6,35,38,28,24,16,25,50,45,24,13,275,,,
Table 103,Q10. Whether they came across claims about Coronavirus that could be considered as false or misleading in the last week,ONLINE Fieldwork: 5th to 11th April 2021,The number of cases linked to Coronavirus is much lower in reality than is being reported,332,173,159,51,50,58,68,65,43,48,83,104,75,70,31,15,36,40,21,26,19,27,46,40,24,7,275,,,
Table 103,Q10. Whether they came across claims about Coronavirus that could be considered as false or misleading in the last week,ONLINE Fieldwork: 5th to 11th April 2021,The Coronavirus vaccine may reduce fertility,331,135,195,57,55,67,64,42,47,55,78,111,62,79,23,17,39,40,27,22,10,19,45,45,35,11,286,,,
Table 103,Q10. Whether they came across claims about Coronavirus that could be considered as false or misleading in the last week,ONLINE Fieldwork: 5th to 11th April 2021,Flu and Coronavirus statistics are being combined to make Coronavirus look more harmful than it is,300,150,150,47,47,64,60,51,32,46,88,87,58,67,30,8,45,27,24,25,12,23,32,45,22,6,252,,,
