table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A)
Table 99,Q10b. How theory linking Coronavirus to 5G technology has been reported,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,313,174,139,48,43,74,58,36,41,56,88,96,64,65,29,13,36,25,29,20,23,21,48,38,21,10,251
Table 99,Q10b. How theory linking Coronavirus to 5G technology has been reported,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,308,173,135,48*,42*,76*,56*,34**,38*,56*,87*,99*,56*,65*,29**,9**,38*,24**,33**,19**,18**,24**,44*,41*,19**,11**,251
Table 99,Q10b. How theory linking Coronavirus to 5G technology has been reported,ONLINE Fieldwork: 11th to 13th September 2020,Reported / described as a true theory,123,68,55,15,15,34,25,10,17,23,29,38,27,29,16,5,20,8,10,11,6,10,15,14,3,5,96
Table 99,Q10b. How theory linking Coronavirus to 5G technology has been reported,ONLINE Fieldwork: 11th to 13th September 2020,Reported / described as a false theory,132,84,49,23,20,31,20,13,17,28,37,45,27,24,13,4,15,7,16,10,9,5,20,19,12,1,109
Table 99,Q10b. How theory linking Coronavirus to 5G technology has been reported,ONLINE Fieldwork: 11th to 13th September 2020,Unclear whether true or false,114,62,52,22,19,21,24,13,15,18,41,37,17,19,8,3,15,13,9,6,5,14,15,16,6,5,96
Table 89,Q10b. How theory linking Coronavirus to 5G technology has been reported,ONLINE Fieldwork: 29th to 31st May 2020,Unweighted base,617,329,288,92,81,93,83,113,103,133,178,179,122,138,,,,,,,,,,,,,
Table 89,Q10b. How theory linking Coronavirus to 5G technology has been reported,ONLINE Fieldwork: 29th to 31st May 2020,Weighted base,620,338,283,106*,91*,99*,88*,104*,88*,135,192,177,113*,138,,,,,,,,,,,,,
Table 89,Q10b. How theory linking Coronavirus to 5G technology has been reported,ONLINE Fieldwork: 29th to 31st May 2020,Reported / described as a true theory,185,108,77,25,25,40,32,35,24,29,59,45,37,43,,,,,,,,,,,,,
Table 89,Q10b. How theory linking Coronavirus to 5G technology has been reported,ONLINE Fieldwork: 29th to 31st May 2020,Reported / described as a false theory,407,236,171,74,63,58,53,58,65,98,132,120,73,81,,,,,,,,,,,,,
Table 89,Q10b. How theory linking Coronavirus to 5G technology has been reported,ONLINE Fieldwork: 29th to 31st May 2020,Unclear whether true or false,186,87,100,29,22,25,25,45,20,42,54,48,35,48,,,,,,,,,,,,,
Table 89,Q10b. How theory linking Coronavirus to 5G technology has been reported,ONLINE Fieldwork: 5th to 7th June 2020,Unweighted base,558,304,254,85,74,88,105,95,73,112,187,168,99,104,,,,,,,,,,,,,
Table 89,Q10b. How theory linking Coronavirus to 5G technology has been reported,ONLINE Fieldwork: 5th to 7th June 2020,Weighted base,567,307,260,113*,99*,90*,88*,88*,70*,119,178,168,104*,117*,,,,,,,,,,,,,
Table 89,Q10b. How theory linking Coronavirus to 5G technology has been reported,ONLINE Fieldwork: 5th to 7th June 2020,Reported / described as a true theory,196,101,94,57,51,33,29,21,26,30,65,58,35,37,,,,,,,,,,,,,
Table 89,Q10b. How theory linking Coronavirus to 5G technology has been reported,ONLINE Fieldwork: 5th to 7th June 2020,Reported / described as a false theory,306,188,118,57,48,43,45,39,45,76,112,101,47,46,,,,,,,,,,,,,
Table 89,Q10b. How theory linking Coronavirus to 5G technology has been reported,ONLINE Fieldwork: 5th to 7th June 2020,Unclear whether true or false,193,89,104,29,25,34,30,39,22,39,47,48,39,59,,,,,,,,,,,,,
Table 89,Q10b. How theory linking Coronavirus to 5G technology has been reported,ONLINE Fieldwork: 12th to 15th June 2020,Unweighted base,461,237,224,83,72,95,71,58,68,86,146,134,73,108,,,,,,,,,,,,,
Table 89,Q10b. How theory linking Coronavirus to 5G technology has been reported,ONLINE Fieldwork: 12th to 15th June 2020,Weighted base,458,239,219,92*,80*,90*,66*,65*,63*,82*,143,133,83*,99*,,,,,,,,,,,,,
Table 89,Q10b. How theory linking Coronavirus to 5G technology has been reported,ONLINE Fieldwork: 12th to 15th June 2020,Reported / described as a true theory,155,84,71,23,21,38,29,25,21,18,44,43,32,36,,,,,,,,,,,,,
Table 89,Q10b. How theory linking Coronavirus to 5G technology has been reported,ONLINE Fieldwork: 12th to 15th June 2020,Reported / described as a false theory,239,122,117,52,47,48,31,35,28,45,78,72,39,51,,,,,,,,,,,,,
Table 89,Q10b. How theory linking Coronavirus to 5G technology has been reported,ONLINE Fieldwork: 12th to 15th June 2020,Unclear whether true or false,157,79,78,27,22,33,23,24,21,29,46,42,26,44,,,,,,,,,,,,,
Table 95,Q10b. How theory linking Coronavirus to 5G technology has been reported,ONLINE Fieldwork: 19th to 21st June 2020,Unweighted base,407,225,182,70,64,66,63,53,61,94,151,100,61,95,,,,,,,,,,,,,
Table 95,Q10b. How theory linking Coronavirus to 5G technology has been reported,ONLINE Fieldwork: 19th to 21st June 2020,Weighted base,398,212,185,71*,65*,64*,59*,62*,57*,84*,138,97*,71*,91*,,,,,,,,,,,,,
Table 95,Q10b. How theory linking Coronavirus to 5G technology has been reported,ONLINE Fieldwork: 19th to 21st June 2020,Reported / described as a true theory,129,61,68,26,25,25,18,15,19,26,40,33,22,34,,,,,,,,,,,,,
Table 95,Q10b. How theory linking Coronavirus to 5G technology has been reported,ONLINE Fieldwork: 19th to 21st June 2020,Reported / described as a false theory,195,126,68,38,34,31,26,28,27,45,79,53,28,35,,,,,,,,,,,,,
Table 95,Q10b. How theory linking Coronavirus to 5G technology has been reported,ONLINE Fieldwork: 19th to 21st June 2020,Unclear whether true or false,146,69,77,24,20,20,28,23,21,30,43,31,30,42,,,,,,,,,,,,,
Table 98,Q10b. How theory linking Coronavirus to 5G technology has been reported,ONLINE Fieldwork: 7th to 9th August 2020,Unweighted base,306,151,155,45,36,56,52,52,42,59,90,81,51,84,,,,,,,,,,,,,
Table 98,Q10b. How theory linking Coronavirus to 5G technology has been reported,ONLINE Fieldwork: 7th to 9th August 2020,Weighted base,310,150,160,53*,41*,58*,48*,46*,43*,62*,91*,86*,52*,82*,,,,,,,,,,,,,
