table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A)
Table 107,Q10b/Q10d/Q10h. NET: Reported as true or false,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,813,395,418,104,94,159,134,123,117,176,227,230,181,175,85,36,98,67,64,61,53,61,104,90,66,28,647
Table 107,Q10b/Q10d/Q10h. NET: Reported as true or false,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,804,394,410,111*,98*,163,129,116,109,177,220,236,167,180,79*,33*,102*,67*,67*,54*,44*,65*,102*,98*,65*,27**,653
Table 107,Q10b/Q10d/Q10h. NET: Reported as true or false,ONLINE Fieldwork: 11th to 13th September 2020,Reported / described as a true claim,378,186,192,49,47,82,58,56,56,76,101,114,84,79,40,16,54,26,34,27,21,29,51,36,30,13,304
Table 107,Q10b/Q10d/Q10h. NET: Reported as true or false,ONLINE Fieldwork: 11th to 13th September 2020,Reported / described as a false claim,142,88,54,25,20,32,19,19,19,29,42,48,27,26,18,3,13,7,16,12,12,6,24,18,13,1,112
Table 107,Q10b/Q10d/Q10h. NET: Reported as true or false,ONLINE Fieldwork: 11th to 13th September 2020,Unclear whether true or false,284,120,164,37,31,49,52,40,34,72,77,74,57,76,21,13,35,34,18,16,11,29,28,44,22,14,238
Table 109,Q10b/Q10d/Q10h. NET: Reported as true or false,ONLINE Fieldwork: 6th to 8th November 2020,Unweighted base,767,373,394,108,96,135,147,121,93,163,240,198,155,174,57,40,92,56,57,60,27,71,123,107,58,19,664
Table 109,Q10b/Q10d/Q10h. NET: Reported as true or false,ONLINE Fieldwork: 6th to 8th November 2020,Weighted base,769,374,395,122*,105*,139,141,110,92*,166,212,212,168,178,54*,40*,100*,62*,65*,53*,24**,68*,112,109*,63*,20**,672
Table 109,Q10b/Q10d/Q10h. NET: Reported as true or false,ONLINE Fieldwork: 6th to 8th November 2020,Reported / described as a true claim,282,128,154,42,36,61,60,33,31,55,83,83,55,61,27,15,34,18,29,17,9,29,37,42,19,5,241
Table 109,Q10b/Q10d/Q10h. NET: Reported as true or false,ONLINE Fieldwork: 6th to 8th November 2020,Reported / described as a false claim,153,92,61,25,23,20,18,22,23,45,42,43,31,36,10,6,20,16,6,12,6,13,24,21,15,5,132
Table 109,Q10b/Q10d/Q10h. NET: Reported as true or false,ONLINE Fieldwork: 6th to 8th November 2020,Unclear whether true or false,271,120,151,42,33,45,53,43,33,55,70,66,69,66,11,15,43,26,20,19,8,20,44,34,25,8,244
Table 107,Q10b/Q10d/Q10h. NET: Reported as true or false,ONLINE Fieldwork: 9th to 11th October 2020,Unweighted base,790,378,412,93,84,136,134,127,123,177,250,211,132,197,63,38,73,68,70,59,38,68,108,101,75,29,660
Table 107,Q10b/Q10d/Q10h. NET: Reported as true or false,ONLINE Fieldwork: 9th to 11th October 2020,Weighted base,797,393,405,103*,92*,143,132,128,120,171,245,207,156,190,57*,38*,76*,70*,67*,55*,40*,67*,113*,114*,72*,29**,672
Table 107,Q10b/Q10d/Q10h. NET: Reported as true or false,ONLINE Fieldwork: 9th to 11th October 2020,Reported / described as a true claim,331,172,159,45,42,57,56,46,51,76,115,83,52,82,30,18,35,22,15,24,19,29,51,48,29,11,272
Table 107,Q10b/Q10d/Q10h. NET: Reported as true or false,ONLINE Fieldwork: 9th to 11th October 2020,Reported / described as a false claim,154,86,68,29,27,28,21,17,26,33,51,45,27,30,8,3,11,7,21,10,7,13,27,23,19,3,135
Table 107,Q10b/Q10d/Q10h. NET: Reported as true or false,ONLINE Fieldwork: 9th to 11th October 2020,Unclear whether true or false,312,135,178,29,23,59,55,65,43,63,79,78,77,79,18,17,30,41,30,21,14,25,34,43,24,16,265
