table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 100,Q10c. Source of theory that the origin or cause of Coronavirus is in some way linked to 5G technology reported as true,ONLINE Fieldwork: 6th to 8th November 2020,Unweighted base,148,72,76,22,20,29,30,23,19,25,47,40,26,35,12,9,11,13,15,7,4,20,26,18,10,3,129,,,
Table 100,Q10c. Source of theory that the origin or cause of Coronavirus is in some way linked to 5G technology reported as true,ONLINE Fieldwork: 6th to 8th November 2020,Weighted base,146,71*,75*,26**,22**,29**,28**,19**,19**,26**,44*,42*,27**,34**,15**,10**,11**,13**,15**,6**,3**,19**,20**,18**,12**,2**,126,,,
Table 100,Q10c. Source of theory that the origin or cause of Coronavirus is in some way linked to 5G technology reported as true,ONLINE Fieldwork: 6th to 8th November 2020,Facebook,54,18,37,11,9,10,13,6,8,8,16,14,7,17,10,6,4,4,5,1,2,6,6,5,5,-,43,,,
Table 100,Q10c. Source of theory that the origin or cause of Coronavirus is in some way linked to 5G technology reported as true,ONLINE Fieldwork: 6th to 8th November 2020,Twitter,19,16,3,3,3,3,7,*,4,1,7,3,3,7,-,2,*,4,3,-,1,1,1,3,4,-,19,,,
Table 100,Q10c. Source of theory that the origin or cause of Coronavirus is in some way linked to 5G technology reported as true,ONLINE Fieldwork: 6th to 8th November 2020,Unspecified social media,15,5,10,5,5,3,1,2,2,2,1,9,4,1,2,1,1,3,1,-,-,2,2,4,1,1,12,,,
Table 100,Q10c. Source of theory that the origin or cause of Coronavirus is in some way linked to 5G technology reported as true,ONLINE Fieldwork: 6th to 8th November 2020,Family and friends directly,14,6,7,1,1,7,2,2,-,3,3,4,4,2,1,1,-,-,2,-,-,4,2,4,-,-,12,,,
Table 100,Q10c. Source of theory that the origin or cause of Coronavirus is in some way linked to 5G technology reported as true,ONLINE Fieldwork: 6th to 8th November 2020,Websites or apps that bring together news from different news providers,12,6,6,-,-,4,3,1,2,2,4,4,3,1,-,-,-,2,1,1,-,2,5,1,-,-,12,,,
Table 100,Q10c. Source of theory that the origin or cause of Coronavirus is in some way linked to 5G technology reported as true,ONLINE Fieldwork: 6th to 8th November 2020,Search engine (e.g. Google),11,7,4,4,1,1,2,4,-,1,5,3,1,2,1,1,1,-,-,-,-,1,1,-,4,1,9,,,
Table 100,Q10c. Source of theory that the origin or cause of Coronavirus is in some way linked to 5G technology reported as true,ONLINE Fieldwork: 6th to 8th November 2020,People in your local area/neighbourhood,10,3,6,1,1,1,2,2,1,1,3,4,2,-,2,1,-,1,1,-,-,1,1,-,-,1,6,,,
Table 100,Q10c. Source of theory that the origin or cause of Coronavirus is in some way linked to 5G technology reported as true,ONLINE Fieldwork: 6th to 8th November 2020,BBC - TV,7,6,1,-,-,1,3,1,1,3,4,-,2,1,1,-,-,-,1,1,-,-,1,2,1,-,6,,,
Table 100,Q10c. Source of theory that the origin or cause of Coronavirus is in some way linked to 5G technology reported as true,ONLINE Fieldwork: 6th to 8th November 2020,“Mid-market tabloids” such as The Daily Mail or Daily Express ( printed ),6,5,1,-,-,1,-,1,-,4,3,2,-,1,1,-,1,2,-,-,-,-,1,-,-,1,4,,,
