table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 101,Q10d. How claims about the potential dangers associated with Coronavirus vaccine have been reported,ONLINE Fieldwork: 6th to 8th November 2020,Unweighted base,416,198,218,51,44,74,90,56,56,89,147,96,87,86,31,19,57,23,29,36,16,31,69,59,33,13,356,,,
Table 101,Q10d. How claims about the potential dangers associated with Coronavirus vaccine have been reported,ONLINE Fieldwork: 6th to 8th November 2020,Weighted base,417,198,218,55*,46*,77*,85*,48*,59*,93*,132,102*,96*,87*,29**,18**,60*,26**,33**,31*,15**,30**,64*,60*,35**,15**,357,,,
Table 101,Q10d. How claims about the potential dangers associated with Coronavirus vaccine have been reported,ONLINE Fieldwork: 6th to 8th November 2020,Reported / described as a true claim,150,67,83,14,13,36,35,14,19,32,46,43,30,31,16,9,18,10,15,7,8,14,19,22,9,3,123,,,
Table 101,Q10d. How claims about the potential dangers associated with Coronavirus vaccine have been reported,ONLINE Fieldwork: 6th to 8th November 2020,Reported / described as a false claim,107,69,38,9,9,24,17,12,18,27,41,22,27,17,9,5,13,7,9,5,4,7,17,12,14,6,89,,,
Table 101,Q10d. How claims about the potential dangers associated with Coronavirus vaccine have been reported,ONLINE Fieldwork: 6th to 8th November 2020,Unclear whether true or false,236,99,137,39,31,36,48,34,28,51,74,56,51,54,14,9,35,13,19,22,6,21,41,32,15,9,207,,,
Table 101,Q10d. How claims about the potential dangers associated with Coronavirus vaccine have been reported,ONLINE Fieldwork: 4th to 6th December 2020,Unweighted base,679,329,350,85,80,124,109,133,92,136,209,195,126,149,67,26,69,51,76,42,33,55,104,87,47,22,557,17,293,236
Table 101,Q10d. How claims about the potential dangers associated with Coronavirus vaccine have been reported,ONLINE Fieldwork: 4th to 6th December 2020,Weighted base,678,318,360,90*,83*,124*,113*,132,86*,133,200,185,156,137,64*,24**,78*,54*,67*,42*,31**,56*,99*,91*,51*,22**,562,19**,290,243
Table 101,Q10d. How claims about the potential dangers associated with Coronavirus vaccine have been reported,ONLINE Fieldwork: 4th to 6th December 2020,Reported / described as a true claim,247,96,151,35,33,45,42,50,24,50,86,56,49,55,24,4,21,22,23,19,10,24,38,29,26,7,206,9,113,81
Table 101,Q10d. How claims about the potential dangers associated with Coronavirus vaccine have been reported,ONLINE Fieldwork: 4th to 6th December 2020,Reported / described as a false claim,204,115,90,23,23,37,24,47,32,42,66,56,46,36,19,4,28,11,14,11,12,20,33,32,12,8,165,*,100,62
Table 101,Q10d. How claims about the potential dangers associated with Coronavirus vaccine have been reported,ONLINE Fieldwork: 4th to 6th December 2020,Unclear whether true or false,359,177,182,48,43,62,63,66,45,76,90,107,86,77,35,18,39,31,40,18,17,28,48,50,24,11,296,10,141,140
