table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A)
Table 106,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,265,126,139,29,28,48,47,48,44,49,72,76,65,52,35,12,36,22,21,16,19,19,30,27,20,8,203
Table 106,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,254,124,130,30**,29**,49*,46*,41*,41*,47*,62*,74*,66*,52*,30**,10**,37*,20**,22**,15**,15**,20**,32**,27**,19**,8**,202
Table 106,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 11th to 13th September 2020,Facebook,109,38,71,9,9,25,28,20,13,14,25,29,29,25,16,4,16,4,11,8,5,11,12,12,7,4,85
Table 106,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 11th to 13th September 2020,Family and friends directly,35,15,20,3,3,8,8,2,6,8,5,8,10,12,3,-,9,7,1,2,3,2,1,1,5,1,28
Table 106,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 11th to 13th September 2020,Twitter,31,17,14,7,7,7,5,6,4,2,13,10,5,4,4,4,3,5,3,1,-,1,4,5,2,-,27
Table 106,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 11th to 13th September 2020,Websites or apps that bring together news from different news providers,25,16,9,-,-,8,6,2,4,4,3,8,9,4,-,2,4,2,4,-,1,2,4,-,5,-,24
Table 106,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 11th to 13th September 2020,BBC - TV,21,15,6,2,2,4,3,1,4,8,4,8,6,3,1,-,4,4,-,-,3,-,3,2,4,-,17
Table 106,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 11th to 13th September 2020,Search engine (e.g. Google),18,8,10,4,4,4,1,*,4,4,3,4,10,1,2,1,-,3,5,-,1,-,3,2,-,2,13
Table 106,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 11th to 13th September 2020,"Websites/apps of online news organisations like Buzzfeed, Huffington Post, Vice, etc.",18,10,8,1,1,7,2,2,3,2,9,3,1,5,3,-,2,1,1,-,2,2,5,2,1,1,13
Table 106,Q10i. Source of claims about about masks offering no protection or being harmful  as true,ONLINE Fieldwork: 11th to 13th September 2020,YouTube,16,11,5,4,4,1,4,2,4,-,4,2,8,2,1,-,2,-,3,2,1,1,3,3,-,-,14
