table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 111,Q10k. To what extent are you concerned or not concerned about the following statements? - The amount of false or misleading information you may be getting about Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,2098,1007,1091,261,230,362,326,369,329,451,580,582,460,476,190,87,212,173,181,164,113,190,269,272,182,65,1730,,,
Table 111,Q10k. To what extent are you concerned or not concerned about the following statements? - The amount of false or misleading information you may be getting about Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,2098,1026,1072,289,249,350,325,361,302,471,570,592,426,510,175,83*,232,171,183,151,100*,197,277,287,179,63*,1760,,,
Table 111,Q10k. To what extent are you concerned or not concerned about the following statements? - The amount of false or misleading information you may be getting about Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,NET: Top 2 box,764,338,426,99,87,134,131,116,105,180,183,222,162,197,45,32,78,60,67,64,39,69,114,102,67,27,653,,,
Table 111,Q10k. To what extent are you concerned or not concerned about the following statements? - The amount of false or misleading information you may be getting about Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,5 - Very concerned,293,123,170,29,27,49,48,41,44,82,51,84,63,96,16,8,26,23,36,23,11,30,43,35,26,14,251,,,
Table 111,Q10k. To what extent are you concerned or not concerned about the following statements? - The amount of false or misleading information you may be getting about Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,4,471,215,256,70,60,85,83,75,61,98,133,138,99,101,29,24,52,37,31,41,28,38,71,67,40,13,401,,,
Table 111,Q10k. To what extent are you concerned or not concerned about the following statements? - The amount of false or misleading information you may be getting about Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,3,635,308,327,106,89,104,94,114,92,124,176,171,127,160,61,23,73,55,58,44,28,60,74,91,53,14,531,,,
Table 111,Q10k. To what extent are you concerned or not concerned about the following statements? - The amount of false or misleading information you may be getting about Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,2,375,191,184,54,46,67,55,56,53,89,116,107,76,75,32,20,38,30,40,27,20,30,49,43,31,13,309,,,
Table 111,Q10k. To what extent are you concerned or not concerned about the following statements? - The amount of false or misleading information you may be getting about Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,1 - Not at all concerned,325,189,136,31,27,44,45,74,53,78,94,91,61,78,36,9,43,25,18,16,12,38,39,51,28,9,268,,,
Table 111,Q10k. To what extent are you concerned or not concerned about the following statements? - The amount of false or misleading information you may be getting about Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,NET: Bottom 2 box,700,380,320,84,73,111,100,131,106,167,211,198,137,153,68,29,81,56,58,43,32,69,88,94,60,22,577,,,
Table 111,Q10k. To what extent are you concerned or not concerned about the following statements? - The amount of false or misleading information you may be getting about Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,Mean,3.02bh,2.9,3.13ab,3.04,3.06,3.08h,3.10h,2.87,2.97,3.04,2.88,3.03,3.06k,3.12k,2.76,3.04,2.92,3.02,3.15o,3.18o,3.06,2.96,3.11o,2.97,3.03,3.14,3.03o,,,
