table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A)
Table 114,Q10q. Source of claims about empty hospitals on social media posts prove that Coronavirus has been exaggerated reported as true,ONLINE Fieldwork: 15th to 17th January 2021,Unweighted base,199,91,108,28,26,32,26,29,36,48,62,68,26,43,17,12,15,10,20,15,15,11,23,38,15,8,159
Table 114,Q10q. Source of claims about empty hospitals on social media posts prove that Coronavirus has been exaggerated reported as true,ONLINE Fieldwork: 15th to 17th January 2021,Weighted base,200,98*,102*,30**,28**,34**,29**,29**,31*,47*,64*,62*,32**,42*,15**,9**,14**,12**,21**,15**,14**,11**,22**,42*,16**,9**,162
Table 114,Q10q. Source of claims about empty hospitals on social media posts prove that Coronavirus has been exaggerated reported as true,ONLINE Fieldwork: 15th to 17th January 2021,Facebook,78,36,43,11,11,20,11,11,14,12,18,25,17,18,5,4,7,8,1,8,6,6,5,18,8,3,64
Table 114,Q10q. Source of claims about empty hospitals on social media posts prove that Coronavirus has been exaggerated reported as true,ONLINE Fieldwork: 15th to 17th January 2021,Twitter,20,13,7,3,3,3,3,2,5,3,5,11,1,2,3,1,3,1,4,1,-,-,2,3,2,1,16
Table 114,Q10q. Source of claims about empty hospitals on social media posts prove that Coronavirus has been exaggerated reported as true,ONLINE Fieldwork: 15th to 17th January 2021,Websites or apps that bring together news from different news providers,15,10,5,2,1,1,2,2,2,6,4,5,4,2,-,1,2,-,2,1,2,1,1,5,-,-,13
Table 114,Q10q. Source of claims about empty hospitals on social media posts prove that Coronavirus has been exaggerated reported as true,ONLINE Fieldwork: 15th to 17th January 2021,Unspecified social media,14,9,5,-,-,3,2,1,3,5,5,7,-,2,2,-,-,2,1,1,1,5,1,1,-,1,10
Table 114,Q10q. Source of claims about empty hospitals on social media posts prove that Coronavirus has been exaggerated reported as true,ONLINE Fieldwork: 15th to 17th January 2021,Family and friends directly,13,5,8,4,4,2,5,2,1,-,5,2,-,6,1,-,-,*,1,2,-,-,3,4,*,1,11
Table 114,Q10q. Source of claims about empty hospitals on social media posts prove that Coronavirus has been exaggerated reported as true,ONLINE Fieldwork: 15th to 17th January 2021,Search engine (e.g. Google),12,9,3,1,-,-,2,2,-,7,3,4,4,2,-,2,1,-,1,1,1,-,2,2,2,-,11
Table 114,Q10q. Source of claims about empty hospitals on social media posts prove that Coronavirus has been exaggerated reported as true,ONLINE Fieldwork: 15th to 17th January 2021,YouTube,12,10,2,2,2,1,3,2,2,2,1,3,3,5,-,2,1,1,2,-,-,-,1,3,2,-,12
Table 114,Q10q. Source of claims about empty hospitals on social media posts prove that Coronavirus has been exaggerated reported as true,ONLINE Fieldwork: 15th to 17th January 2021,Instagram,10,3,7,4,4,2,3,1,-,-,6,3,1,1,-,-,1,-,-,1,3,1,2,2,1,-,8
Table 114,Q10q. Source of claims about empty hospitals on social media posts prove that Coronavirus has been exaggerated reported as true,ONLINE Fieldwork: 15th to 17th January 2021,“Mid-market tabloids” such as MailOnline or Express ( online ),10,3,7,-,-,1,1,1,1,5,3,3,-,4,-,-,1,*,1,1,1,-,2,3,-,1,8
Table 114,Q10q. Source of claims about empty hospitals on social media posts prove that Coronavirus has been exaggerated reported as true,ONLINE Fieldwork: 15th to 17th January 2021,BBC - TV,9,2,7,1,1,2,-,3,2,1,4,2,-,3,2,1,-,-,1,1,-,1,-,3,1,-,7
Table 114,Q10q. Source of claims about empty hospitals on social media posts prove that Coronavirus has been exaggerated reported as true,ONLINE Fieldwork: 15th to 17th January 2021,Weighted base,200,98*,102*,30**,28**,34**,29**,29**,31*,47*,64*,62*,32**,42*,15**,9**,14**,12**,21**,15**,14**,11**,22**,42*,16**,9**,162
Table 114,Q10q. Source of claims about empty hospitals on social media posts prove that Coronavirus has been exaggerated reported as true,ONLINE Fieldwork: 15th to 17th January 2021,BBC - Online/ app,8,3,5,-,-,-,3,2,1,2,5,-,1,2,-,-,-,1,-,1,3,-,1,2,-,-,5
Table 114,Q10q. Source of claims about empty hospitals on social media posts prove that Coronavirus has been exaggerated reported as true,ONLINE Fieldwork: 15th to 17th January 2021,WhatsApp group(s),7,7,-,4,4,2,2,-,-,-,5,2,-,-,-,-,-,1,-,-,-,-,6,-,-,-,7
Table 114,Q10q. Source of claims about empty hospitals on social media posts prove that Coronavirus has been exaggerated reported as true,ONLINE Fieldwork: 15th to 17th January 2021,WhatsApp,7,7,-,1,1,1,-,-,1,3,1,1,3,2,-,2,-,-,2,1,-,-,1,-,1,-,7
Table 114,Q10q. Source of claims about empty hospitals on social media posts prove that Coronavirus has been exaggerated reported as true,ONLINE Fieldwork: 15th to 17th January 2021,“Red-top tabloids” such as The Sun or Daily Mirror ( printed ),6,*,5,2,2,-,*,-,1,2,*,-,2,3,2,-,-,*,2,-,-,1,-,1,-,-,4
Table 114,Q10q. Source of claims about empty hospitals on social media posts prove that Coronavirus has been exaggerated reported as true,ONLINE Fieldwork: 15th to 17th January 2021,“Red-top tabloids” such as The Sun or Mirror ( online ),6,2,3,1,-,*,*,1,-,3,2,2,*,1,-,-,*,2,-,-,-,-,1,2,-,1,4
Table 114,Q10q. Source of claims about empty hospitals on social media posts prove that Coronavirus has been exaggerated reported as true,ONLINE Fieldwork: 15th to 17th January 2021,"Local sources across TV, radio and online",5,4,1,2,2,1,*,-,1,1,3,2,-,-,-,-,-,*,-,-,1,-,2,-,-,2,2
Table 114,Q10q. Source of claims about empty hospitals on social media posts prove that Coronavirus has been exaggerated reported as true,ONLINE Fieldwork: 15th to 17th January 2021,People in your local area/neighbourhood,5,2,2,-,-,-,1,3,1,-,1,1,2,-,-,-,-,*,-,-,-,-,1,2,2,-,5
Table 114,Q10q. Source of claims about empty hospitals on social media posts prove that Coronavirus has been exaggerated reported as true,ONLINE Fieldwork: 15th to 17th January 2021,Facebook messenger,4,4,-,2,2,-,2,-,-,1,2,2,1,-,-,-,-,-,-,-,-,-,3,-,-,1,3
Table 114,Q10q. Source of claims about empty hospitals on social media posts prove that Coronavirus has been exaggerated reported as true,ONLINE Fieldwork: 15th to 17th January 2021,Email,4,4,-,3,3,-,-,-,-,1,2,3,-,-,-,-,-,-,1,-,-,-,3,1,-,-,4
Table 114,Q10q. Source of claims about empty hospitals on social media posts prove that Coronavirus has been exaggerated reported as true,ONLINE Fieldwork: 15th to 17th January 2021,Sky,4,1,3,-,-,-,3,-,-,1,4,-,-,-,-,-,-,-,1,-,3,-,-,-,-,-,1
Table 114,Q10q. Source of claims about empty hospitals on social media posts prove that Coronavirus has been exaggerated reported as true,ONLINE Fieldwork: 15th to 17th January 2021,"Websites/apps of online news organisations like Buzzfeed, Huffington Post, Vice, etc.",4,2,2,1,-,-,1,1,1,*,-,3,-,1,-,-,1,-,-,-,-,-,-,2,*,-,4
Table 114,Q10q. Source of claims about empty hospitals on social media posts prove that Coronavirus has been exaggerated reported as true,ONLINE Fieldwork: 15th to 17th January 2021,Weighted base,200,98*,102*,30**,28**,34**,29**,29**,31*,47*,64*,62*,32**,42*,15**,9**,14**,12**,21**,15**,14**,11**,22**,42*,16**,9**,162
Table 114,Q10q. Source of claims about empty hospitals on social media posts prove that Coronavirus has been exaggerated reported as true,ONLINE Fieldwork: 15th to 17th January 2021,Direct from NHS website/ email/ text/ post,4,2,2,-,-,1,2,1,-,-,1,2,-,1,-,-,1,-,2,-,-,-,-,1,-,-,4
