table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A)
Table 119,Q10r. How claims that the Coronavirus vaccine is a cover for a plan to implant trackable microchips in people have been reported,ONLINE Fieldwork: 5th to 11th April 2021,Unweighted base,334,167,167,53,50,78,59,44,38,62,95,82,72,85,32,7,32,32,29,23,19,23,53,44,23,17,266
Table 119,Q10r. How claims that the Coronavirus vaccine is a cover for a plan to implant trackable microchips in people have been reported,ONLINE Fieldwork: 5th to 11th April 2021,Weighted base,335,162,174,59*,56*,71*,65*,48*,36*,55*,95*,88*,74*,79*,31**,6**,35**,38**,28**,24**,16**,25**,50*,45*,24**,13**,275
Table 119,Q10r. How claims that the Coronavirus vaccine is a cover for a plan to implant trackable microchips in people have been reported,ONLINE Fieldwork: 5th to 11th April 2021,Reported / described as a true claim,123,63,59,23,21,36,18,14,14,17,35,29,26,32,15,1,12,15,9,7,3,11,15,19,10,6,99
Table 119,Q10r. How claims that the Coronavirus vaccine is a cover for a plan to implant trackable microchips in people have been reported,ONLINE Fieldwork: 5th to 11th April 2021,Reported / described as a false claim,145,73,72,30,28,29,25,16,18,27,43,38,28,37,9,6,15,11,15,14,8,13,23,19,9,3,124
Table 119,Q10r. How claims that the Coronavirus vaccine is a cover for a plan to implant trackable microchips in people have been reported,ONLINE Fieldwork: 5th to 11th April 2021,Unclear whether true or false,110,52,58,13,12,19,26,22,9,21,32,30,28,20,12,-,12,16,10,7,6,4,18,13,8,5,87
Table 119,Q10r. How claims that the Coronavirus vaccine is a cover for a plan to implant trackable microchips in people have been reported,ONLINE Fieldwork: 12th to 14th March 2021,Unweighted base,369,179,190,55,49,80,63,52,58,61,102,86,83,98,25,17,41,25,41,26,15,29,48,64,26,12,317
Table 119,Q10r. How claims that the Coronavirus vaccine is a cover for a plan to implant trackable microchips in people have been reported,ONLINE Fieldwork: 12th to 14th March 2021,Weighted base,369,179,191,64*,57*,82*,60*,53*,53*,58*,97*,93*,81*,98*,25**,19**,40*,27**,38*,25**,18**,30**,50*,61*,29**,10**,317
Table 119,Q10r. How claims that the Coronavirus vaccine is a cover for a plan to implant trackable microchips in people have been reported,ONLINE Fieldwork: 12th to 14th March 2021,Reported / described as a true claim,114,49,65,18,14,30,20,15,18,12,31,30,32,21,7,4,14,5,16,9,9,6,10,19,11,3,94
Table 119,Q10r. How claims that the Coronavirus vaccine is a cover for a plan to implant trackable microchips in people have been reported,ONLINE Fieldwork: 12th to 14th March 2021,Reported / described as a false claim,175,88,86,34,30,41,24,22,22,31,47,50,37,41,16,11,15,17,12,14,6,16,23,28,12,5,148
Table 119,Q10r. How claims that the Coronavirus vaccine is a cover for a plan to implant trackable microchips in people have been reported,ONLINE Fieldwork: 12th to 14th March 2021,Unclear whether true or false,142,73,69,22,22,24,28,23,19,26,33,29,28,52,7,7,17,11,17,7,5,11,25,27,8,2,129
