table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 124,Q11. Actions done after coming across claims which could be considered false/misleading in the last week,ONLINE Fieldwork: 5th to 11th April 2021,Unweighted base,1149,601,548,156,147,224,198,166,177,228,355,319,223,252,98,36,125,87,99,84,67,103,176,144,93,37,947,,,
Table 124,Q11. Actions done after coming across claims which could be considered false/misleading in the last week,ONLINE Fieldwork: 5th to 11th April 2021,Weighted base,1160,592,568,178,167,220,208,175,159,221,342,332,241,245,96*,37*,139,99*,101*,86*,54*,98*,166,157,99*,29*,982,,,
Table 124,Q11. Actions done after coming across claims which could be considered false/misleading in the last week,ONLINE Fieldwork: 5th to 11th April 2021,NET: Did anything,539,317,222,106,98,140,84,67,67,73,174,138,107,120,39,17,64,39,50,35,26,43,98,76,44,8,466,,,
Table 124,Q11. Actions done after coming across claims which could be considered false/misleading in the last week,ONLINE Fieldwork: 5th to 11th April 2021,Forwarded/ shared it with people I know,58,41,17,13,12,17,9,10,6,3,13,15,13,17,4,1,4,8,7,5,4,2,13,8,3,-,51,,,
Table 124,Q11. Actions done after coming across claims which could be considered false/misleading in the last week,ONLINE Fieldwork: 5th to 11th April 2021,Used a fact checking site or tools,173,107,65,28,27,55,30,19,23,19,55,42,38,38,11,6,17,13,17,12,6,14,36,22,17,2,153,,,
Table 124,Q11. Actions done after coming across claims which could be considered false/misleading in the last week,ONLINE Fieldwork: 5th to 11th April 2021,Used tips from media such as BBC website,134,90,44,29,28,38,21,14,14,17,49,43,18,24,7,-,13,15,18,12,5,10,28,16,9,1,121,,,
Table 124,Q11. Actions done after coming across claims which could be considered false/misleading in the last week,ONLINE Fieldwork: 5th to 11th April 2021,Checked whether it was misleading with family and friends,166,97,69,40,36,45,30,15,20,16,50,45,30,41,11,5,17,10,6,10,8,15,44,24,12,4,143,,,
Table 124,Q11. Actions done after coming across claims which could be considered false/misleading in the last week,ONLINE Fieldwork: 5th to 11th April 2021,Asked the person who forwarded/shared it with me whether it was accurate,106,72,34,28,28,36,17,11,5,8,31,32,24,19,8,3,13,8,11,6,7,7,28,4,10,1,90,,,
Table 124,Q11. Actions done after coming across claims which could be considered false/misleading in the last week,ONLINE Fieldwork: 5th to 11th April 2021,Blocked it or reported it to a social media platform,128,69,59,36,33,35,18,20,8,11,50,20,27,31,12,6,18,9,11,6,5,11,23,18,5,3,108,,,
Table 124,Q11. Actions done after coming across claims which could be considered false/misleading in the last week,ONLINE Fieldwork: 5th to 11th April 2021,Other,53,27,26,2,2,4,4,9,16,19,18,10,9,16,4,6,7,1,8,2,2,4,3,10,5,1,45,,,
Table 124,Q11. Actions done after coming across claims which could be considered false/misleading in the last week,ONLINE Fieldwork: 5th to 11th April 2021,Weighted base,1160,592,568,178,167,220,208,175,159,221,342,332,241,245,96*,37*,139,99*,101*,86*,54*,98*,166,157,99*,29*,982,,,
Table 124,Q11. Actions done after coming across claims which could be considered false/misleading in the last week,ONLINE Fieldwork: 5th to 11th April 2021,Did nothing,621,275,346,71,69,80,123,108,92,147,168,194,134,125,57,20,74,61,51,52,28,55,68,80,55,20,516,,,
Table 124,Q11. Actions done after coming across claims which could be considered false/misleading in the last week,ONLINE Fieldwork: 12th to 14th March 2021,Unweighted base,1224,583,641,163,149,220,198,198,185,260,362,315,247,300,98,52,128,94,123,92,53,106,171,169,96,42,1031,,,
Table 124,Q11. Actions done after coming across claims which could be considered false/misleading in the last week,ONLINE Fieldwork: 12th to 14th March 2021,Weighted base,1241,600,641,188,170,238,199,198,170,249,354,344,246,298,94*,55*,144,104*,118,90*,56*,100*,169,174,104*,32*,1058,,,
