table,question,date,response,I find it hard to know what is true and what is false about Coronavirus,I am trying to avoid news about Coronavirus,The mainstream media is exaggerating the seriousness of Coronavirus,"This crisis is showing some positive sides of society (e.g. more local/community spirit, support for NHS)",I am confused about what I should be doing in response to Coronavirus,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i)
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,2127,2127,2127,2127,2127,,,,,,,,,,,,,,,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,2127,2127,2127,2127,2127,,,,,,,,,,,,,,,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 9th to 13th April 2020,NET: Agree,684,576,363,1795,266,,,,,,,,,,,,,,,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 9th to 13th April 2020,Strongly agree      (+2),120,127,106,861,43,,,,,,,,,,,,,,,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 9th to 13th April 2020,Slightly agree      (+1),564,450,258,934,222,,,,,,,,,,,,,,,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 9th to 13th April 2020,Neither agree nor    (0) disagree,487,518,510,215,339,,,,,,,,,,,,,,,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 9th to 13th April 2020,Slightly disagree   (-1),580,524,456,64,609,,,,,,,,,,,,,,,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 9th to 13th April 2020,Strongly disagree   (-2),376,508,797,53,914,,,,,,,,,,,,,,,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 9th to 13th April 2020,NET: Disagree,956,1032,1253,117,1522,,,,,,,,,,,,,,,,,,,,
Table 85,Q12. To what extent do you agree or disagree with the following statements?,ONLINE Fieldwork: 9th to 13th April 2020,Mean,-0.25,-0.39,-0.74,1.17,-1,,,,,,,,,,,,,,,,,,,,
