table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 115,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,2098,1007,1091,261,230,362,326,369,329,451,580,582,460,476,190,87,212,173,181,164,113,190,269,272,182,65,1730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 115,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,2098,1026,1072,289,249,350,325,361,302,471,570,592,426,510,175,83*,232,171,183,151,100*,197,277,287,179,63*,1760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 115,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,NET: Agree,664,326,338,116,104,157,107,109,79,96,181,192,142,150,51,21,73,65,47,52,34,65,100,85,50,21,559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 115,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,Strongly agree      (+2),168,84,84,23,18,54,26,24,18,22,49,41,39,38,10,9,17,20,14,15,6,18,21,25,10,4,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 115,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,Slightly agree      (+1),497,242,255,93,85,103,81,85,61,74,132,151,103,111,41,13,56,45,33,37,28,48,79,60,40,16,411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 115,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,Neither agree nor    (0) disagree,563,268,295,72,61,94,94,107,73,123,145,143,129,147,43,24,63,44,52,46,31,50,77,73,49,10,479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 115,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,Slightly disagree   (-1),475,227,248,63,50,67,79,81,71,115,132,146,86,112,47,29,48,34,47,34,14,46,54,67,35,19,394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 115,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,Strongly disagree   (-2),395,204,191,38,34,32,45,63,79,138,113,111,69,102,33,8,49,27,37,19,20,35,45,62,45,13,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 115,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,NET: Disagree,870,432,439,101,84,99,124,144,150,252,245,257,155,214,81,38,97,62,84,53,34,82,100,129,80,32,723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 115,Q12. To what extent do you agree or disagree with the following statements? I am trying to avoid news about Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,Mean,-0.21i,-0.22,-0.19,*ai,0.02ah,0.23a,-0.11i,-0.20i,-0.44,-0.58,-0.22,-0.23,-0.1,-0.25,-0.31,-0.19,-0.24,-0.02o,-0.33,-0.03o,-0.16,-0.17,-0.09y,-0.28,-0.36,-0.31,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
