table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 128,Q12. To what extent do you agree or disagree with the following statements? I intend to form a ‘Christmas bubble’ between 23-27 December,ONLINE Fieldwork: 4th to 6th December 2020,Unweighted base,2107,1075,1032,272,241,366,329,356,313,471,582,631,352,542,184,89,205,178,201,148,101,206,293,278,153,71,1751,48,907,741
Table 128,Q12. To what extent do you agree or disagree with the following statements? I intend to form a ‘Christmas bubble’ between 23-27 December,ONLINE Fieldwork: 4th to 6th December 2020,Weighted base,2107,1030,1077,291,252,352,327,362,303,472,573,594,428,512,176,84*,233,172,184,151,100*,198,278,288,180,63*,1768,55*,906,757
Table 128,Q12. To what extent do you agree or disagree with the following statements? I intend to form a ‘Christmas bubble’ between 23-27 December,ONLINE Fieldwork: 4th to 6th December 2020,NET: Agree,1029,454,575,159,143,174,150,168,149,230,276,311,229,213,85,44,109,71,99,71,51,94,132,151,87,35,859,28,446,367
Table 128,Q12. To what extent do you agree or disagree with the following statements? I intend to form a ‘Christmas bubble’ between 23-27 December,ONLINE Fieldwork: 4th to 6th December 2020,Strongly agree      (+2),576,225,351,92,80,87,76,92,80,148,149,182,125,120,41,22,62,46,52,44,28,55,58,95,57,18,489,16,245,219
Table 128,Q12. To what extent do you agree or disagree with the following statements? I intend to form a ‘Christmas bubble’ between 23-27 December,ONLINE Fieldwork: 4th to 6th December 2020,Slightly agree      (+1),454,229,225,66,63,87,74,76,69,82,127,129,104,94,44,23,46,25,48,27,23,39,74,56,30,17,369,12,201,148
Table 128,Q12. To what extent do you agree or disagree with the following statements? I intend to form a ‘Christmas bubble’ between 23-27 December,ONLINE Fieldwork: 4th to 6th December 2020,Neither agree nor    (0) disagree,461,272,189,77,63,90,86,79,51,77,117,122,88,133,28,15,52,37,39,29,21,45,65,66,54,10,401,20,205,159
Table 128,Q12. To what extent do you agree or disagree with the following statements? I intend to form a ‘Christmas bubble’ between 23-27 December,ONLINE Fieldwork: 4th to 6th December 2020,Slightly disagree   (-1),232,116,116,27,25,31,42,48,38,46,55,66,47,64,26,12,26,25,15,19,7,27,37,21,11,5,194,3,95,90
Table 128,Q12. To what extent do you agree or disagree with the following statements? I intend to form a ‘Christmas bubble’ between 23-27 December,ONLINE Fieldwork: 4th to 6th December 2020,Strongly disagree   (-2),385,189,196,28,21,57,48,68,65,119,124,95,64,102,37,12,46,39,31,32,22,32,43,51,28,13,314,4,160,141
Table 128,Q12. To what extent do you agree or disagree with the following statements? I intend to form a ‘Christmas bubble’ between 23-27 December,ONLINE Fieldwork: 4th to 6th December 2020,NET: Disagree,617,305,313,55,46,88,91,116,103,165,180,161,111,166,63,24,72,64,46,51,28,60,80,72,39,18,508,7,255,231
Table 128,Q12. To what extent do you agree or disagree with the following statements? I intend to form a ‘Christmas bubble’ between 23-27 December,ONLINE Fieldwork: 4th to 6th December 2020,Mean,0.29,0.18,0.39,0.58,0.62,0.33,0.26,0.21,0.2,0.2,0.21,0.4,0.42,0.13,0.15,0.36,0.22,0.08,0.4,0.22,0.28,0.29,0.24,0.43,0.43,0.34,0.3,0.62,0.3,0.28
Table 128,Q12. To what extent do you agree or disagree with the following statements? I intend to form a ‘Christmas bubble’ between 23-27 December,ONLINE Fieldwork: 4th to 6th December 2020,Standard deviation Standard error,1.44,1.38,1.48,1.28,1.26,1.36,1.35,1.44,1.5,1.58,1.48,1.43,1.4,1.42,1.47,1.38,1.46,1.51,1.41,1.51,1.49,1.42,1.34,1.45,1.4,1.48,1.43,1.17,1.42,1.46
