table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n)
Table 118,Q12. To what extent do you agree or disagree with the following statements? I would be comfortable to be vaccinated against the Coronavirus if there was a vaccine approved by the,ONLINE Fieldwork: 7th to 9th August 2020,Unweighted base,2120,1031,1089,252,219,339,351,389,311,478,605,573,429,513
Table 118,Q12. To what extent do you agree or disagree with the following statements? I would be comfortable to be vaccinated against the Coronavirus if there was a vaccine approved by the,ONLINE Fieldwork: 7th to 9th August 2020,Weighted base,2120,1037,1083,292,251,354,328,365,305,475,577,598,430,515
Table 118,Q12. To what extent do you agree or disagree with the following statements? I would be comfortable to be vaccinated against the Coronavirus if there was a vaccine approved by the,ONLINE Fieldwork: 7th to 9th August 2020,NET: Agree,1431,726,705,194,168,211,191,233,208,393,427,397,275,332
Table 118,Q12. To what extent do you agree or disagree with the following statements? I would be comfortable to be vaccinated against the Coronavirus if there was a vaccine approved by the,ONLINE Fieldwork: 7th to 9th August 2020,Strongly agree      (+2),917,477,439,93,77,103,104,147,156,314,275,250,171,221
Table 118,Q12. To what extent do you agree or disagree with the following statements? I would be comfortable to be vaccinated against the Coronavirus if there was a vaccine approved by the,ONLINE Fieldwork: 7th to 9th August 2020,Slightly agree      (+1),514,248,265,101,91,108,87,86,52,80,153,146,104,110
Table 118,Q12. To what extent do you agree or disagree with the following statements? I would be comfortable to be vaccinated against the Coronavirus if there was a vaccine approved by the,ONLINE Fieldwork: 7th to 9th August 2020,Neither agree nor    (0) disagree,380,172,209,56,46,85,81,69,41,48,86,121,81,92
Table 118,Q12. To what extent do you agree or disagree with the following statements? I would be comfortable to be vaccinated against the Coronavirus if there was a vaccine approved by the,ONLINE Fieldwork: 7th to 9th August 2020,Slightly disagree   (-1),157,68,89,32,29,28,24,36,21,17,32,44,32,49
Table 118,Q12. To what extent do you agree or disagree with the following statements? I would be comfortable to be vaccinated against the Coronavirus if there was a vaccine approved by the,ONLINE Fieldwork: 7th to 9th August 2020,Strongly disagree   (-2),152,71,82,10,8,30,32,27,35,18,31,36,42,43
Table 118,Q12. To what extent do you agree or disagree with the following statements? I would be comfortable to be vaccinated against the Coronavirus if there was a vaccine approved by the,ONLINE Fieldwork: 7th to 9th August 2020,NET: Disagree,309,139,170,42,37,58,56,62,57,34,63,81,74,91
Table 118,Q12. To what extent do you agree or disagree with the following statements? I would be comfortable to be vaccinated against the Coronavirus if there was a vaccine approved by the,ONLINE Fieldwork: 7th to 9th August 2020,Mean,0.89,0.96,0.82,0.8,0.8,0.64,0.63,0.8,0.89,1.38,1.05,0.89,0.76,0.81
Table 118,Q12. To what extent do you agree or disagree with the following statements? I would be comfortable to be vaccinated against the Coronavirus if there was a vaccine approved by the,ONLINE Fieldwork: 7th to 9th August 2020,Standard deviation Standard error,1.24,1.23,1.25,1.11,1.09,1.22,1.27,1.27,1.4,1.05,1.15,1.2,1.31,1.31
