table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A)
Table 121,"Q12. To what extent do you agree or disagree with the following statements? On balance, I am comfortable that my child/children is/are back at school",ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,536,240,296,31,27,140,183,148,30,4,140,132,126,138,48,14,62,35,45,41,28,46,66,76,50,25,435
Table 121,"Q12. To what extent do you agree or disagree with the following statements? On balance, I am comfortable that my child/children is/are back at school",ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,526,253,273,34**,29**,127,178,151,30**,4**,139,130,112,144,45*,13**,63*,37**,42*,36*,24**,52*,66*,76*,46*,25**,431
Table 121,"Q12. To what extent do you agree or disagree with the following statements? On balance, I am comfortable that my child/children is/are back at school",ONLINE Fieldwork: 11th to 13th September 2020,NET: Agree,291,147,144,13,13,65,111,84,17,1,87,67,71,66,27,7,38,21,18,22,13,30,32,45,23,14,237
Table 121,"Q12. To what extent do you agree or disagree with the following statements? On balance, I am comfortable that my child/children is/are back at school",ONLINE Fieldwork: 11th to 13th September 2020,Strongly agree      (+2),127,66,61,5,5,33,41,41,7,1,39,25,29,34,9,3,18,11,10,13,6,9,8,23,12,5,108
Table 121,"Q12. To what extent do you agree or disagree with the following statements? On balance, I am comfortable that my child/children is/are back at school",ONLINE Fieldwork: 11th to 13th September 2020,Slightly agree      (+1),163,81,83,7,7,32,70,43,10,-,48,42,42,32,18,3,20,10,8,9,7,21,24,22,11,8,129
Table 121,"Q12. To what extent do you agree or disagree with the following statements? On balance, I am comfortable that my child/children is/are back at school",ONLINE Fieldwork: 11th to 13th September 2020,Neither agree nor    (0) disagree,130,59,71,10,9,33,41,39,4,3,32,32,22,43,10,6,16,12,12,10,5,13,20,12,8,7,108
Table 121,"Q12. To what extent do you agree or disagree with the following statements? On balance, I am comfortable that my child/children is/are back at school",ONLINE Fieldwork: 11th to 13th September 2020,Slightly disagree   (-1),55,25,31,5,5,12,17,16,5,1,8,21,9,18,4,1,1,3,5,*,5,6,4,13,10,2,44
Table 121,"Q12. To what extent do you agree or disagree with the following statements? On balance, I am comfortable that my child/children is/are back at school",ONLINE Fieldwork: 11th to 13th September 2020,Strongly disagree   (-2),49,23,27,6,3,17,10,13,4,-,12,10,9,18,3,-,8,1,7,4,2,3,8,7,5,2,43
Table 121,"Q12. To what extent do you agree or disagree with the following statements? On balance, I am comfortable that my child/children is/are back at school",ONLINE Fieldwork: 11th to 13th September 2020,NET: Disagree,105,47,57,11,8,29,26,29,8,1,20,31,18,36,8,1,9,4,12,4,6,9,13,20,15,4,87
Table 121,"Q12. To what extent do you agree or disagree with the following statements? On balance, I am comfortable that my child/children is/are back at school",ONLINE Fieldwork: 11th to 13th September 2020,Mean,0.5,0.56,0.45,0.02,0.26,0.4,0.65,0.55,0.4,0.11,0.67n,0.38,0.67n,0.32,0.55,0.75,0.6,0.77,0.22,0.76,0.45,0.51,0.29,0.54,0.33,0.55,0.5
Table 121,"Q12. To what extent do you agree or disagree with the following statements? On balance, I am comfortable that my child/children is/are back at school",ONLINE Fieldwork: 11th to 13th September 2020,Standard deviation Standard error,1.23,1.23,1.23,1.32,1.24,1.33,1.1,1.23,1.34,0.92,1.2,1.19,1.18,1.3,1.14,0.95,1.28,1.03,1.4,1.26,1.23,1.1,1.17,1.32,1.37,1.14,1.25
Table 121,"Q12. To what extent do you agree or disagree with the following statements? On balance, I am comfortable that my child/children is/are back at school",ONLINE Fieldwork: 9th to 11th October 2020,Unweighted base,561,257,304,26,24,156,197,149,23,10,138,138,130,155,44,19,66,46,64,45,30,43,79,55,47,23,464
Table 121,"Q12. To what extent do you agree or disagree with the following statements? On balance, I am comfortable that my child/children is/are back at school",ONLINE Fieldwork: 9th to 11th October 2020,Weighted base,577,285,292,33**,30**,168,182,157,27**,10**,145,135,148,149,47*,21**,65*,48*,67*,41*,38**,48*,79*,57*,43*,24**,468
Table 121,"Q12. To what extent do you agree or disagree with the following statements? On balance, I am comfortable that my child/children is/are back at school",ONLINE Fieldwork: 9th to 11th October 2020,NET: Agree,334,174,160,12,12,88,107,105,13,9,90,76,92,77,28,11,35,24,31,21,28,21,52,42,26,15,263
Table 121,"Q12. To what extent do you agree or disagree with the following statements? On balance, I am comfortable that my child/children is/are back at school",ONLINE Fieldwork: 9th to 11th October 2020,Strongly agree      (+2),148,77,70,5,5,36,49,46,7,5,38,43,42,25,13,6,13,11,16,5,11,9,19,18,15,11,113
Table 121,"Q12. To what extent do you agree or disagree with the following statements? On balance, I am comfortable that my child/children is/are back at school",ONLINE Fieldwork: 9th to 11th October 2020,Slightly agree      (+1),186,97,89,8,8,52,57,59,6,4,52,34,50,51,15,5,22,14,16,15,17,11,33,23,12,5,150
Table 121,"Q12. To what extent do you agree or disagree with the following statements? On balance, I am comfortable that my child/children is/are back at school",ONLINE Fieldwork: 9th to 11th October 2020,Neither agree nor    (0) disagree,131,67,64,9,9,48,38,25,10,1,28,33,35,35,12,4,14,16,21,11,5,9,13,9,12,4,109
Table 121,"Q12. To what extent do you agree or disagree with the following statements? On balance, I am comfortable that my child/children is/are back at school",ONLINE Fieldwork: 9th to 11th October 2020,Slightly disagree   (-1),60,26,35,5,3,20,21,12,2,-,9,16,14,22,4,3,8,4,6,8,2,5,8,7,3,1,52
Table 121,"Q12. To what extent do you agree or disagree with the following statements? On balance, I am comfortable that my child/children is/are back at school",ONLINE Fieldwork: 9th to 11th October 2020,Strongly disagree   (-2),52,17,34,7,6,11,16,15,2,-,19,11,7,15,2,2,8,4,8,1,3,13,6,-,2,3,44
Table 121,"Q12. To what extent do you agree or disagree with the following statements? On balance, I am comfortable that my child/children is/are back at school",ONLINE Fieldwork: 9th to 11th October 2020,NET: Disagree,112,43,69,12,9,32,38,27,3,-,27,26,21,37,6,5,16,8,14,9,5,18,14,7,5,4,96
Table 121,"Q12. To what extent do you agree or disagree with the following statements? On balance, I am comfortable that my child/children is/are back at school",ONLINE Fieldwork: 9th to 11th October 2020,Mean,0.55,0.67,0.44,-0.06,0.08,0.48,0.56,0.69,0.56,1.39,0.56,0.61,0.71,0.33,0.73,0.5,0.38,0.46,0.36,0.4,0.79,-0.02,0.64,0.93,0.8,0.8,0.5
Table 121,"Q12. To what extent do you agree or disagree with the following statements? On balance, I am comfortable that my child/children is/are back at school",ONLINE Fieldwork: 9th to 11th October 2020,Standard deviation Standard error,1.23,1.15,1.29,1.36,1.33,1.16,1.25,1.24,1.15,0.66,1.29,1.26,1.12,1.22,1.09,1.35,1.28,1.19,1.29,1.02,1.18,1.5,1.19,0.98,1.11,1.42,1.23
