table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 123,"Q12. To what extent do you agree or disagree with the following statements? On balance, I am happy that my child/children is/are still able to go to school",ONLINE Fieldwork: 6th to 8th November 2020,Unweighted base,563,256,307,34,33,152,202,145,25,5,153,139,149,122,39,25,63,43,49,42,23,49,97,76,37,20,481,,,
Table 123,"Q12. To what extent do you agree or disagree with the following statements? On balance, I am happy that my child/children is/are still able to go to school",ONLINE Fieldwork: 6th to 8th November 2020,Weighted base,551,252,299,39**,37**,159,183,140,25**,5**,132,147,147,125*,40*,25**,69*,47*,54*,34*,23**,47*,86*,68*,41*,18**,470,,,
Table 123,"Q12. To what extent do you agree or disagree with the following statements? On balance, I am happy that my child/children is/are still able to go to school",ONLINE Fieldwork: 6th to 8th November 2020,NET: Agree,346,162,184,15,15,106,127,77,18,4,94,93,87,72,29,13,40,21,39,19,11,28,61,46,25,13,293,,,
Table 123,"Q12. To what extent do you agree or disagree with the following statements? On balance, I am happy that my child/children is/are still able to go to school",ONLINE Fieldwork: 6th to 8th November 2020,Strongly agree      (+2),169,73,95,8,8,46,60,43,10,3,45,41,45,38,14,5,25,12,24,11,5,9,24,21,9,10,140,,,
Table 123,"Q12. To what extent do you agree or disagree with the following statements? On balance, I am happy that my child/children is/are still able to go to school",ONLINE Fieldwork: 6th to 8th November 2020,Slightly agree      (+1),178,89,89,8,8,60,67,34,8,1,49,51,43,35,16,7,15,9,15,8,6,20,37,25,16,3,153,,,
Table 123,"Q12. To what extent do you agree or disagree with the following statements? On balance, I am happy that my child/children is/are still able to go to school",ONLINE Fieldwork: 6th to 8th November 2020,Neither agree nor    (0) disagree,115,53,62,10,10,34,32,34,3,2,25,31,36,23,7,6,17,13,9,8,8,9,14,15,7,1,99,,,
Table 123,"Q12. To what extent do you agree or disagree with the following statements? On balance, I am happy that my child/children is/are still able to go to school",ONLINE Fieldwork: 6th to 8th November 2020,Slightly disagree   (-1),52,23,29,8,6,6,17,19,2,-,6,17,14,15,2,4,6,7,2,4,4,6,7,6,3,2,44,,,
Table 123,"Q12. To what extent do you agree or disagree with the following statements? On balance, I am happy that my child/children is/are still able to go to school",ONLINE Fieldwork: 6th to 8th November 2020,Strongly disagree   (-2),38,14,24,5,5,13,8,9,2,-,6,7,9,16,2,3,6,5,3,3,-,4,3,2,6,1,35,,,
Table 123,"Q12. To what extent do you agree or disagree with the following statements? On balance, I am happy that my child/children is/are still able to go to school",ONLINE Fieldwork: 6th to 8th November 2020,NET: Disagree,90,37,53,13,12,19,25,29,4,-,12,24,23,31,4,7,12,12,5,6,4,10,11,7,9,3,79,,,
Table 123,"Q12. To what extent do you agree or disagree with the following statements? On balance, I am happy that my child/children is/are still able to go to school",ONLINE Fieldwork: 6th to 8th November 2020,Mean,0.7,0.73,0.68,0.1,0.14,0.75,0.84,0.59,0.87,1.11,0.91,0.71,0.68,0.5,0.93,0.34,0.67,0.35,1.04,0.6,0.54,0.49,0.83,0.86,0.49,1.01,0.68,,,
Table 123,"Q12. To what extent do you agree or disagree with the following statements? On balance, I am happy that my child/children is/are still able to go to school",ONLINE Fieldwork: 6th to 8th November 2020,Standard deviation Standard error,1.19,1.14,1.24,1.33,1.34,1.16,1.11,1.24,1.29,1,1.07,1.13,1.19,1.36,1.09,1.3,1.3,1.33,1.13,1.28,1.06,1.18,1.06,1.03,1.31,1.34,1.2,,,
Table 125,"Q12. To what extent do you agree or disagree with the following statements? On balance, I am happy that my child/children is/are still able to go to school",ONLINE Fieldwork: 4th to 6th December 2020,Unweighted base,532,251,281,36,35,175,183,114,22,2,137,134,123,138,44,23,53,44,67,42,18,39,77,58,39,28,442,23,207,197
Table 125,"Q12. To what extent do you agree or disagree with the following statements? On balance, I am happy that my child/children is/are still able to go to school",ONLINE Fieldwork: 4th to 6th December 2020,Weighted base,524,254,270,34*,33**,159,182,121*,24**,3**,132,117,145,130,42*,23**,66*,35*,62*,47*,17**,41*,74*,53*,36*,27**,437,20**,200,204
Table 125,"Q12. To what extent do you agree or disagree with the following statements? On balance, I am happy that my child/children is/are still able to go to school",ONLINE Fieldwork: 4th to 6th December 2020,NET: Agree,332,167,165,18,18,97,116,85,14,2,90,78,95,69,25,11,45,22,37,26,11,27,48,40,18,22,274,13,127,128
Table 125,"Q12. To what extent do you agree or disagree with the following statements? On balance, I am happy that my child/children is/are still able to go to school",ONLINE Fieldwork: 4th to 6th December 2020,Strongly agree      (+2),184,87,98,9,9,55,71,38,9,2,49,50,49,37,11,6,26,14,24,13,7,13,20,21,13,15,151,6,66,74
Table 125,"Q12. To what extent do you agree or disagree with the following statements? On balance, I am happy that my child/children is/are still able to go to school",ONLINE Fieldwork: 4th to 6th December 2020,Slightly agree      (+1),147,80,67,9,9,42,45,47,5,-,41,28,46,33,14,5,19,8,13,13,4,14,28,19,5,7,123,7,60,54
Table 125,"Q12. To what extent do you agree or disagree with the following statements? On balance, I am happy that my child/children is/are still able to go to school",ONLINE Fieldwork: 4th to 6th December 2020,Neither agree nor    (0) disagree,126,57,69,12,11,49,43,16,6,-,30,23,37,36,13,6,14,7,18,16,3,6,20,7,13,3,106,5,51,46
Table 125,"Q12. To what extent do you agree or disagree with the following statements? On balance, I am happy that my child/children is/are still able to go to school",ONLINE Fieldwork: 4th to 6th December 2020,Slightly disagree   (-1),39,18,21,1,1,6,12,13,4,1,8,9,9,13,2,1,4,6,5,3,3,4,2,4,3,2,32,2,11,19
Table 125,"Q12. To what extent do you agree or disagree with the following statements? On balance, I am happy that my child/children is/are still able to go to school",ONLINE Fieldwork: 4th to 6th December 2020,Strongly disagree   (-2),27,11,16,2,2,7,11,7,1,-,5,6,5,12,2,4,3,1,3,2,-,3,4,2,2,1,24,1,12,11
Table 125,"Q12. To what extent do you agree or disagree with the following statements? On balance, I am happy that my child/children is/are still able to go to school",ONLINE Fieldwork: 4th to 6th December 2020,NET: Disagree,66,29,37,3,3,13,23,20,5,1,12,15,14,25,4,6,7,7,8,5,3,7,6,6,4,3,57,3,22,30
Table 125,"Q12. To what extent do you agree or disagree with the following statements? On balance, I am happy that my child/children is/are still able to go to school",ONLINE Fieldwork: 4th to 6th December 2020,Mean,0.81,0.84,0.78,0.64,0.66,0.83,0.85,0.79,0.73,0.64,0.92,0.92,0.86,0.53,0.71,0.34,0.93,0.76,0.81,0.66,0.89,0.77,0.78,0.98,0.7,1.24,0.79,0.73,0.8,0.79
Table 125,"Q12. To what extent do you agree or disagree with the following statements? On balance, I am happy that my child/children is/are still able to go to school",ONLINE Fieldwork: 4th to 6th December 2020,Standard deviation Standard error,1.15,1.11,1.19,1.1,1.12,1.09,1.19,1.16,1.23,1.83,1.07,1.18,1.06,1.26,1.07,1.45,1.13,1.25,1.17,1.11,1.14,1.21,1.06,1.12,1.19,1.09,1.16,1.15,1.13,1.18
