table,question,date,response,I find it hard to know what is true and what is false about Coronavirus,I am trying to avoid news about Coronavirus,The mainstream media is exaggerating the seriousness of Coronavirus,"This crisis is showing some positive sides of society (e.g. more local/community spirit, support for NHS)",I am confused about what I should be doing in response to Coronavirus,I feel confident that I understand the statistics and data used to provide the number of Coronavirus cases and deaths in the UK,I would agree to be vaccinated against the Coronavirus if there was a vaccine approved by the NHS available tomorrow,"On balance, I am comfortable that my child/ children is/are back at school",I am happy to be vaccinated against the Coronavirus,I follow international/ world news about Coronavirus,"On balance, I am happy that my child/ children is/are still able to go to school",I am confident that I understand the different rules that apply in each tier,I am confident that I understand the different rules that apply in each protection level,I intend to form a 'Christmas bubble' between 23-27 December,"I am confident that I understand the rules around forming a 'Christmas bubble', including who can be part of the bubble and the extra travel dates for Northern Ireland",I would be comfortable to be vaccinated against the Coronavirus if there was a vaccine approved by the NHS available tomorrow
Table 113,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,2098,2098,2098,2098,2098,2098,2098,536,,,,,,,,
Table 113,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,2098,2098,2098,2098,2098,2098,2098,526,,,,,,,,
Table 113,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 11th to 13th September 2020,NET: Agree,838,664,523,1456,643,1162,1425,291,,,,,,,,
Table 113,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 11th to 13th September 2020,Strongly agree      (+2),215,168,168,412,125,331,902,127,,,,,,,,
Table 113,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 11th to 13th September 2020,Slightly agree      (+1),623,497,355,1044,518,831,523,163,,,,,,,,
Table 113,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 11th to 13th September 2020,Neither agree nor    (0) disagree,495,563,588,437,457,515,308,130,,,,,,,,
Table 113,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 11th to 13th September 2020,Slightly disagree   (-1),481,475,435,129,493,315,140,55,,,,,,,,
Table 113,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 11th to 13th September 2020,Strongly disagree   (-2),284,395,551,76,505,106,224,49,,,,,,,,
Table 113,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 11th to 13th September 2020,NET: Disagree,765,870,986,205,999,421,364,105,,,,,,,,
Table 113,Q12. To what extent do you agree or disagree with the following statements? Summary,ONLINE Fieldwork: 11th to 13th September 2020,Mean,*,-0.21,-0.4,0.76,-0.35,0.46,0.83,0.5,,,,,,,,
