table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 116,Q12. To what extent do you agree or disagree with the following statements? The mainstream media is exaggerating the seriousness of Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,2098,1007,1091,261,230,362,326,369,329,451,580,582,460,476,190,87,212,173,181,164,113,190,269,272,182,65,1730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 116,Q12. To what extent do you agree or disagree with the following statements? The mainstream media is exaggerating the seriousness of Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,2098,1026,1072,289,249,350,325,361,302,471,570,592,426,510,175,83*,232,171,183,151,100*,197,277,287,179,63*,1760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 116,Q12. To what extent do you agree or disagree with the following statements? The mainstream media is exaggerating the seriousness of Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,NET: Agree,523,312,211,79,72,111,103,90,62,79,133,145,114,132,28,24,53,56,46,44,31,44,72,62,43,20,445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 116,Q12. To what extent do you agree or disagree with the following statements? The mainstream media is exaggerating the seriousness of Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,Strongly agree      (+2),168,105,63,17,15,40,35,34,21,20,43,44,43,38,11,3,14,21,12,15,8,17,18,23,20,6,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 116,Q12. To what extent do you agree or disagree with the following statements? The mainstream media is exaggerating the seriousness of Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,Slightly agree      (+1),355,207,148,62,57,71,67,55,41,59,90,100,71,94,18,21,39,35,34,29,23,26,54,40,23,14,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 116,Q12. To what extent do you agree or disagree with the following statements? The mainstream media is exaggerating the seriousness of Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,Neither agree nor    (0) disagree,588,259,330,76,64,112,82,110,86,122,158,159,134,137,36,23,76,55,51,44,36,58,71,80,47,12,505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 116,Q12. To what extent do you agree or disagree with the following statements? The mainstream media is exaggerating the seriousness of Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,Slightly disagree   (-1),435,192,243,73,60,72,60,65,58,107,106,128,84,117,37,16,36,25,41,35,11,45,62,68,43,18,370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 116,Q12. To what extent do you agree or disagree with the following statements? The mainstream media is exaggerating the seriousness of Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,Strongly disagree   (-2),551,263,288,61,54,54,80,96,95,163,173,160,93,124,74,21,67,35,45,28,22,51,72,77,46,14,441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 116,Q12. To what extent do you agree or disagree with the following statements? The mainstream media is exaggerating the seriousness of Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,NET: Disagree,986,455,531,135,113,127,140,161,154,270,279,288,178,242,111,37,103,60,86,63,33,96,134,145,89,31,811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 116,Q12. To what extent do you agree or disagree with the following statements? The mainstream media is exaggerating the seriousness of Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,Mean,-0.40c,-0.29a,-0.51,-0.34j,-0.32j,-0.09a,-0.25a,-0.37j,-0.55,-0.71,-0.48,-0.44,-0.27a,-0.39,-0.84,-0.37o,-0.44o,-0.10a,-0.39o,-0.21o,-0.17o,-0.44o,-0.42o,-0.48o,-0.39o,-0.31o,-0.38o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
