table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 117,"Q12. To what extent do you agree or disagree with the following statements? This crisis is showing some positive sides of society (e.g. more local/community spirit, support for NHS)",ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,2098,1007,1091,261,230,362,326,369,329,451,580,582,460,476,190,87,212,173,181,164,113,190,269,272,182,65,1730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 117,"Q12. To what extent do you agree or disagree with the following statements? This crisis is showing some positive sides of society (e.g. more local/community spirit, support for NHS)",ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,2098,1026,1072,289,249,350,325,361,302,471,570,592,426,510,175,83*,232,171,183,151,100*,197,277,287,179,63*,1760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 117,"Q12. To what extent do you agree or disagree with the following statements? This crisis is showing some positive sides of society (e.g. more local/community spirit, support for NHS)",ONLINE Fieldwork: 11th to 13th September 2020,NET: Agree,1456,687,769,193,158,227,219,237,231,350,388,418,292,359,121,59,169,112,128,107,68,140,179,194,130,51,1216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 117,"Q12. To what extent do you agree or disagree with the following statements? This crisis is showing some positive sides of society (e.g. more local/community spirit, support for NHS)",ONLINE Fieldwork: 11th to 13th September 2020,Strongly agree      (+2),412,198,215,36,33,59,55,86,69,107,114,96,77,126,27,12,60,22,50,33,19,37,47,53,33,20,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 117,"Q12. To what extent do you agree or disagree with the following statements? This crisis is showing some positive sides of society (e.g. more local/community spirit, support for NHS)",ONLINE Fieldwork: 11th to 13th September 2020,Slightly agree      (+1),1044,489,555,157,125,168,164,151,162,243,274,322,215,233,94,47,110,90,77,74,49,103,132,140,97,31,870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 117,"Q12. To what extent do you agree or disagree with the following statements? This crisis is showing some positive sides of society (e.g. more local/community spirit, support for NHS)",ONLINE Fieldwork: 11th to 13th September 2020,Neither agree nor    (0) disagree,437,222,215,65,59,90,71,79,47,84,122,114,97,104,40,18,43,42,34,29,19,38,71,61,33,9,369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 117,"Q12. To what extent do you agree or disagree with the following statements? This crisis is showing some positive sides of society (e.g. more local/community spirit, support for NHS)",ONLINE Fieldwork: 11th to 13th September 2020,Slightly disagree   (-1),129,74,56,21,21,22,22,29,12,23,40,37,23,28,12,3,12,10,17,8,7,11,15,22,12,2,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 117,"Q12. To what extent do you agree or disagree with the following statements? This crisis is showing some positive sides of society (e.g. more local/community spirit, support for NHS)",ONLINE Fieldwork: 11th to 13th September 2020,Strongly disagree   (-2),76,44,32,11,11,12,12,16,12,13,20,22,14,19,2,3,8,7,5,8,5,9,12,11,4,2,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 117,"Q12. To what extent do you agree or disagree with the following statements? This crisis is showing some positive sides of society (e.g. more local/community spirit, support for NHS)",ONLINE Fieldwork: 11th to 13th September 2020,NET: Disagree,205,117,87,32,32,33,35,45,24,37,61,60,38,47,14,6,20,17,22,16,13,19,27,32,16,3,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 117,"Q12. To what extent do you agree or disagree with the following statements? This crisis is showing some positive sides of society (e.g. more local/community spirit, support for NHS)",ONLINE Fieldwork: 11th to 13th September 2020,Mean,0.76be,0.7,0.81ab,0.64,0.6,0.69,0.7,0.73,0.88ad,0.87ad,0.74,0.73,0.74,0.82,0.75,0.73,0.87rw,0.65,0.82,0.77,0.71,0.76,0.67,0.71,0.79,1.05ao,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 117,"Q12. To what extent do you agree or disagree with the following statements? This crisis is showing some positive sides of society (e.g. more local/community spirit, support for NHS)",ONLINE Fieldwork: 11th to 13th September 2020,Standard deviation Standard error,0.96,1,0.92,0.92,0.97,0.94,0.96,1.05,0.94,0.92,0.97,0.94,0.93,0.98,0.84,0.89,0.97,0.93,1.03,1.02,1.03,0.96,0.97,0.97,0.9,0.89,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 101,"Q12. To what extent do you agree or disagree with the following statements? This crisis is showing some positive sides of society (e.g. more local/community spirit, support for NHS)",ONLINE Fieldwork: 29th to 31st May 2020,Unweighted base,2119,1016,1103,261,229,328,340,383,329,478,554,596,460,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 101,"Q12. To what extent do you agree or disagree with the following statements? This crisis is showing some positive sides of society (e.g. more local/community spirit, support for NHS)",ONLINE Fieldwork: 29th to 31st May 2020,Weighted base,2119,1036,1083,292,253,354,328,364,305,475,576,597,430,515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 101,"Q12. To what extent do you agree or disagree with the following statements? This crisis is showing some positive sides of society (e.g. more local/community spirit, support for NHS)",ONLINE Fieldwork: 29th to 31st May 2020,NET: Agree,1675,787,888,222,190,240,246,297,257,413,444,483,324,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
