table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A)
Table 158,Q13. How closely followed official advice in last week: Only meeting outside with up to six people from any number of households or any number of people from two households,ONLINE Fieldwork: 5th to 11th April 2021,Unweighted base,1730,881,849,227,201,297,251,255,281,419,496,471,335,428,-,77,215,161,188,150,-,204,290,276,169,-,1730
Table 158,Q13. How closely followed official advice in last week: Only meeting outside with up to six people from any number of households or any number of people from two households,ONLINE Fieldwork: 5th to 11th April 2021,Weighted base,1780,872,907,263,232,297,259,287,261,412,479,499,371,431,-**,84*,235,173,185,152,-**,200,280,290,181,-**,1780
Table 158,Q13. How closely followed official advice in last week: Only meeting outside with up to six people from any number of households or any number of people from two households,ONLINE Fieldwork: 5th to 11th April 2021,NET: Closely,1622,790,832,232,202,263,228,262,249,388,441,453,330,398,-,77,207,156,166,137,-,183,260,269,166,-,1622
Table 158,Q13. How closely followed official advice in last week: Only meeting outside with up to six people from any number of households or any number of people from two households,ONLINE Fieldwork: 5th to 11th April 2021,Very closely        (+2),1217,567,650,150,127,167,160,212,205,323,315,339,254,309,-,58,153,122,123,107,-,147,174,207,124,-,1217
Table 158,Q13. How closely followed official advice in last week: Only meeting outside with up to six people from any number of households or any number of people from two households,ONLINE Fieldwork: 5th to 11th April 2021,Fairly closely      (+1),405,223,182,82,75,96,68,50,44,65,126,114,76,89,-,19,54,34,43,30,-,36,85,62,41,-,405
Table 158,Q13. How closely followed official advice in last week: Only meeting outside with up to six people from any number of households or any number of people from two households,ONLINE Fieldwork: 5th to 11th April 2021,Not very closely    (-1),98,49,49,21,20,21,25,13,7,10,28,24,25,21,-,3,20,13,10,11,-,7,14,11,9,-,98
Table 158,Q13. How closely followed official advice in last week: Only meeting outside with up to six people from any number of households or any number of people from two households,ONLINE Fieldwork: 5th to 11th April 2021,Not at all closely  (-2),60,34,26,10,10,13,6,12,5,14,10,22,16,12,-,4,7,4,9,4,-,10,6,10,7,-,60
Table 158,Q13. How closely followed official advice in last week: Only meeting outside with up to six people from any number of households or any number of people from two households,ONLINE Fieldwork: 5th to 11th April 2021,NET: Not closely,158,82,76,31,30,34,31,25,12,25,38,46,41,33,-,7,27,16,19,15,-,17,20,21,15,-,158
Table 158,Q13. How closely followed official advice in last week: Only meeting outside with up to six people from any number of households or any number of people from two households,ONLINE Fieldwork: 5th to 11th April 2021,Mean,1.47,1.42,1.52,1.29,1.24,1.29,1.36,1.52,1.68,1.63,1.48,1.45,1.42,1.54,-,1.46,1.39,1.5,1.42,1.48,-,1.52,1.46,1.53,1.48,-,1.47
Table 158,Q13. How closely followed official advice in last week: Only meeting outside with up to six people from any number of households or any number of people from two households,ONLINE Fieldwork: 5th to 11th April 2021,Standard deviation Standard error,0.99,1.02,0.96,1.07,1.11,1.08,1.04,1.02,0.77,0.9,0.92,1.03,1.08,0.93,-,1.03,1.06,0.98,1.07,1,-,1.03,0.9,0.95,0.99,-,0.99
